 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | Muon ID (syst.) | 0.00335008 / -0.00335008 | 0.00323945 / -0.00323945 | 0.00343624 / -0.00343624 | 0.003766 / -0.003766 | 0.00350916 / -0.00350916 | 0.00396898 / -0.00396898 | 0.00385267 / -0.00385267 | 0.00407621 / -0.00407621 | 0.00258863 / -0.00258863 | 0.00294462 / -0.00294462 | 0.0025475 / -0.0025475 | 0.00353491 / -0.00353491 | 0.0038363 / -0.0038363 | 0 / 0 | 0 / 0 | 0.00373378 / -0.00373378 | 0.00336683 / -0.00336683 |
 | Muon Trig. (stat.) | 0.00268212 / -0.00268212 | 0.00262526 / -0.00262526 | 0.00266254 / -0.00266254 | 0.00265762 / -0.00265762 | 0.0025816 / -0.0025816 | 0.00264218 / -0.00264218 | 0.00263399 / -0.00263399 | 0.00256994 / -0.00256994 | 0.00170231 / -0.00170231 | 0.0019162 / -0.0019162 | 0.00177231 / -0.00177231 | 0.00270766 / -0.00270766 | 0.00242129 / -0.00242129 | 0 / 0 | 0 / 0 | 0.00242639 / -0.00242639 | 0.00268149 / -0.00268149 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon TTVA (syst.) | 0.000381321 / -0.000381321 | 0.000380576 / -0.000380576 | 0.000364751 / -0.000364751 | 0.00035435 / -0.00035435 | 0.000345647 / -0.000345647 | 0.000223905 / -0.000223905 | 0.000256419 / -0.000256419 | 0.000213712 / -0.000213712 | 0.000192165 / -0.000192165 | 0.000225872 / -0.000225872 | 0.000206947 / -0.000206947 | 0.000388324 / -0.000388324 | 0.000281543 / -0.000281543 | 0 / 0 | 0 / 0 | 0.000206292 / -0.000206292 | 0.000394613 / -0.000394613 |
 | Pile-up uncertainty | -0.00525773 / 0.00525773 | -0.00675017 / 0.00675017 | -0.00226793 / 0.00226793 | -0.00310269 / 0.00310269 | -0.00904563 / 0.00904563 | 0.0103143 / -0.0103143 | 0.0239088 / -0.0239088 | -0.00236458 / 0.00236458 | -0.00327852 / 0.00327852 | -0.00380149 / 0.00380149 | -0.00459781 / 0.00459781 | -0.0059455 / 0.0059455 | 0.000207067 / -0.000207067 | 0 / 0 | 0 / 0 | 0.056934 / -0.056934 | 0.0120761 / -0.0120761 |
 | btag B EV 0 | -0.0448604 / 0.0448604 | -0.0416887 / 0.0416887 | -0.028569 / 0.028569 | -0.0386612 / 0.0386612 | -0.0233338 / 0.0233338 | 0 / 0 | 0 / 0 | -0.0550558 / 0.0550558 | 0 / 0 | 0 / 0 | -0.0581578 / 0.0581578 | -0.0472078 / 0.0472078 | -0.0498819 / 0.0498819 | 0 / 0 | 0 / 0 | -0.0236468 / 0.0236468 | -0.0272678 / 0.0272678 |
 | btag B EV 1 | -0.0144354 / 0.0144354 | -0.0135819 / 0.0135819 | -0.00786445 / 0.00786445 | -0.0168034 / 0.0168034 | -0.00928125 / 0.00928125 | 0 / 0 | 0 / 0 | -0.00946569 / 0.00946569 | 0 / 0 | 0 / 0 | -0.00744134 / 0.00744134 | -0.0141719 / 0.0141719 | -0.0120324 / 0.0120324 | 0 / 0 | 0 / 0 | -0.0117734 / 0.0117734 | -0.00731513 / 0.00731513 |
 | btag B EV 2 | 0.0122811 / -0.0122811 | 0.0112064 / -0.0112064 | 0.00660878 / -0.00660878 | 0.00938517 / -0.00938517 | 0.00546581 / -0.00546581 | 0 / 0 | 0 / 0 | 0.00947851 / -0.00947851 | 0 / 0 | 0 / 0 | 0.0107422 / -0.0107422 | 0.010809 / -0.010809 | 0.0102263 / -0.0102263 | 0 / 0 | 0 / 0 | 0.00289476 / -0.00289476 | 0.00675794 / -0.00675794 |
 | btag B EV 3 | -0.000528336 / 0.000528336 | -0.000352472 / 0.000352472 | -0.000481337 / 0.000481337 | 0.000406027 / -0.000406027 | 0.000262022 / -0.000262022 | 0 / 0 | 0 / 0 | -0.00188065 / 0.00188065 | 0 / 0 | 0 / 0 | -0.00242165 / 0.00242165 | -0.000706673 / 0.000706673 | -0.0015142 / 0.0015142 | 0 / 0 | 0 / 0 | 0.000233799 / -0.000233799 | -0.000752717 / 0.000752717 |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 0 | -0.00463474 / 0.00463474 | -0.0136074 / 0.0136074 | -0.00174123 / 0.00174123 | -0.00607479 / 0.00607479 | -0.00264704 / 0.00264704 | -6.31809e-05 / 6.31809e-05 | -0.247876 / 0.247876 | -0.00763631 / 0.00763631 | -0.0231727 / 0.0231727 | -0.26159 / 0.26159 | -0.00512397 / 0.00512397 | -0.00657713 / 0.00657713 | -0.00612271 / 0.00612271 | 0 / 0 | 0 / 0 | -0.00142717 / 0.00142717 | -0.00315213 / 0.00315213 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 0 | -0.0018844 / 0.0018844 | -0.00219378 / 0.00219378 | -0.000551701 / 0.000551701 | -0.00174761 / 0.00174761 | -0.0012536 / 0.0012536 | -0.941437 / 0.941437 | -0.192028 / 0.192028 | -0.00628042 / 0.00628042 | -0.872805 / 0.872805 | -0.158832 / 0.158832 | -0.00534096 / 0.00534096 | -0.00470367 / 0.00470367 | -0.0019972 / 0.0019972 | 0 / 0 | 0 / 0 | 0.000440747 / -0.000440747 | -0.00360981 / 0.00360981 |
 | btag L EV 1 | 7.89762e-06 / -7.89762e-06 | 1.98781e-05 / -1.98781e-05 | -1.81794e-06 / 1.81794e-06 | 1.68979e-05 / -1.68979e-05 | -8.73208e-06 / 8.73208e-06 | 0.00173879 / -0.00173879 | 0.000244081 / -0.000244081 | -0.000170022 / 0.000170022 | -1.41263e-05 / 1.41263e-05 | -0.000606865 / 0.000606865 | 0.00018087 / -0.00018087 | 2.30074e-05 / -2.30074e-05 | 3.8892e-05 / -3.8892e-05 | 0 / 0 | 0 / 0 | 5.33462e-06 / -5.33462e-06 | -3.3319e-05 / 3.3319e-05 |
 | btag L EV 2 | -1.78814e-06 / 1.78814e-06 | -6.88434e-06 / 6.88434e-06 | 2.6226e-06 / -2.6226e-06 | -4.08292e-06 / 4.08292e-06 | 1.53184e-05 / -1.53184e-05 | 0.000493377 / -0.000493377 | 0.00018549 / -0.00018549 | 2.94149e-05 / -2.94149e-05 | 6.41942e-05 / -6.41942e-05 | -0.000256807 / 0.000256807 | 4.87566e-05 / -4.87566e-05 | -7.27177e-06 / 7.27177e-06 | 0.000221312 / -0.000221312 | 0 / 0 | 0 / 0 | -2.77162e-06 / 2.77162e-06 | -6.31809e-06 / 6.31809e-06 |
 | btag L EV 3 | -1.10269e-06 / 1.10269e-06 | 0 / 0 | 5.96046e-08 / -5.96046e-08 | -8.70228e-06 / 8.70228e-06 | -2.5034e-06 / 2.5034e-06 | -0.000395715 / 0.000395715 | -0.000175953 / 0.000175953 | 5.97239e-05 / -5.97239e-05 | -0.000934273 / 0.000934273 | -0.000189692 / 0.000189692 | -0.000109911 / 0.000109911 | -5.63264e-06 / 5.63264e-06 | -2.29478e-05 / 2.29478e-05 | 0 / 0 | 0 / 0 | 2.71201e-06 / -2.71201e-06 | -4.61936e-06 / 4.61936e-06 |
 | btag L EV 4 | -1.78814e-06 / 1.78814e-06 | -2.17557e-06 / 2.17557e-06 | 1.57952e-06 / -1.57952e-06 | -1.3113e-06 / 1.3113e-06 | 1.52588e-05 / -1.52588e-05 | 0.000185251 / -0.000185251 | -4.80413e-05 / 4.80413e-05 | -1.51992e-06 / 1.51992e-06 | 0.000483274 / -0.000483274 | 0.000140607 / -0.000140607 | -3.0309e-05 / 3.0309e-05 | -9.56655e-06 / 9.56655e-06 | -3.65973e-05 / 3.65973e-05 | 0 / 0 | 0 / 0 | -1.78814e-06 / 1.78814e-06 | 5.96046e-06 / -5.96046e-06 |
 | btag L EV 5 | 5.06639e-07 / -5.06639e-07 | -1.40071e-06 / 1.40071e-06 | 5.06639e-07 / -5.06639e-07 | -2.95043e-06 / 2.95043e-06 | -5.36442e-06 / 5.36442e-06 | -0.000179172 / 0.000179172 | -2.563e-05 / 2.563e-05 | -3.06666e-05 / 3.06666e-05 | -0.000286937 / 0.000286937 | -9.6947e-05 / 9.6947e-05 | -3.69549e-06 / 3.69549e-06 | 2.11596e-06 / -2.11596e-06 | 1.97887e-05 / -1.97887e-05 | 0 / 0 | 0 / 0 | 6.25849e-07 / -6.25849e-07 | -2.5928e-06 / 2.5928e-06 |
 | btag L EV 6 | 5.06639e-07 / -5.06639e-07 | -6.25849e-07 / 6.25849e-07 | 2.08616e-07 / -2.08616e-07 | 1.93715e-06 / -1.93715e-06 | -2.68221e-07 / 2.68221e-07 | 0.000122368 / -0.000122368 | 6.11842e-05 / -6.11842e-05 | 1.31726e-05 / -1.31726e-05 | 0.000260949 / -0.000260949 | 0.000138253 / -0.000138253 | -9.77516e-06 / 9.77516e-06 | 3.75509e-06 / -3.75509e-06 | -4.50015e-06 / 4.50015e-06 | 0 / 0 | 0 / 0 | -4.76837e-07 / 4.76837e-07 | 1.69873e-06 / -1.69873e-06 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 11 | -0.000541538 / 0.000541538 | -0.000177234 / 0.000177234 | -0.000112951 / 0.000112951 | -0.000929475 / 0.000929475 | -0.000228822 / 0.000228822 | -0.216381 / 0.216381 | -0.0328941 / 0.0328941 | -0.00293949 / 0.00293949 | -0.184092 / 0.184092 | -0.0297728 / 0.0297728 | -0.00314364 / 0.00314364 | -0.000738919 / 0.000738919 | -0.00196519 / 0.00196519 | 0 / 0 | 0 / 0 | 0.000271052 / -0.000271052 | -0.000744313 / 0.000744313 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 13 | 0.000465363 / -0.000465363 | 0.000223339 / -0.000223339 | 0.000267804 / -0.000267804 | 0.000481516 / -0.000481516 | -1.95205e-05 / 1.95205e-05 | 0.216632 / -0.216632 | 0.0428418 / -0.0428418 | 0.000725746 / -0.000725746 | 0.211312 / -0.211312 | 0.041492 / -0.041492 | 0.00313643 / -0.00313643 | 0.000870317 / -0.000870317 | 0.0015628 / -0.0015628 | 0 / 0 | 0 / 0 | -4.94123e-05 / 4.94123e-05 | 0.000752509 / -0.000752509 |
 | btag L EV 14 | -0.000409931 / 0.000409931 | -0.000254095 / 0.000254095 | -3.62098e-05 / 3.62098e-05 | -0.000650316 / 0.000650316 | -0.000275701 / 0.000275701 | -0.150131 / 0.150131 | -0.0263295 / 0.0263295 | -0.00303605 / 0.00303605 | -0.126197 / 0.126197 | -0.0219029 / 0.0219029 | -0.00255272 / 0.00255272 | -0.000684828 / 0.000684828 | -0.00118107 / 0.00118107 | 0 / 0 | 0 / 0 | 0.000209034 / -0.000209034 | -0.000698894 / 0.000698894 |
 | btag L EV 15 | -0.000130355 / 0.000130355 | -6.60121e-05 / 6.60121e-05 | -2.17259e-05 / 2.17259e-05 | -0.000157118 / 0.000157118 | -5.94854e-05 / 5.94854e-05 | -0.0456059 / 0.0456059 | -0.00821868 / 0.00821868 | -0.00160143 / 0.00160143 | -0.0433379 / 0.0433379 | -0.00769189 / 0.00769189 | 0.00116509 / -0.00116509 | -0.00022614 / 0.00022614 | -0.000102609 / 0.000102609 | 0 / 0 | 0 / 0 | 4.8995e-05 / -4.8995e-05 | -0.000296474 / 0.000296474 |
 | btag L EV 16 | 9.77516e-06 / -9.77516e-06 | -5.76675e-05 / 5.76675e-05 | 6.46114e-05 / -6.46114e-05 | -9.53972e-05 / 9.53972e-05 | 1.72555e-05 / -1.72555e-05 | 0.0257578 / -0.0257578 | 0.00623912 / -0.00623912 | -1.67489e-05 / 1.67489e-05 | 0.0315796 / -0.0315796 | 0.00559929 / -0.00559929 | -0.0020324 / 0.0020324 | -2.58386e-05 / 2.58386e-05 | -9.56059e-05 / 9.56059e-05 | 0 / 0 | 0 / 0 | 5.93066e-06 / -5.93066e-06 | -0.000175864 / 0.000175864 |
 | b-tag extrap. | 0.000343293 / -0.000343293 | 0.000708133 / -0.000708133 | 0.000352144 / -0.000352144 | 0.0013952 / -0.0013952 | 0.000442147 / -0.000442147 | 1.66893e-06 / -1.66893e-06 | 0.00929731 / -0.00929731 | 0.000968695 / -0.000968695 | 0.000262082 / -0.000262082 | 0.00777778 / -0.00777778 | 0.000328213 / -0.000328213 | 0.000749677 / -0.000749677 | 0.000778049 / -0.000778049 | 0 / 0 | 0 / 0 | -0.000326902 / 0.000326902 | 0.000348628 / -0.000348628 |
 | b-tag extrap. from charm | 0.00024423 / -0.00024423 | 0.000166655 / -0.000166655 | 0.000100762 / -0.000100762 | 0.000530273 / -0.000530273 | 0.000179708 / -0.000179708 | 0.000101924 / -0.000101924 | 4.02033e-05 / -4.02033e-05 | 4.26173e-06 / -4.26173e-06 | 0.034735 / -0.034735 | 0.00709355 / -0.00709355 | 0.00186631 / -0.00186631 | 0.000110567 / -0.000110567 | -1.18017e-05 / 1.18017e-05 | 0 / 0 | 0 / 0 | -0.0003227 / 0.0003227 | 0.000179559 / -0.000179559 |
 | JVT uncertainty | 0.00340763 / -0.00340763 | 0.00202817 / -0.00202817 | 0.00224721 / -0.00224721 | -0.000900447 / 0.000900447 | -0.00142843 / 0.00142843 | 0.00726169 / -0.00726169 | 0.00553697 / -0.00553697 | 0.00608823 / -0.00608823 | 0.00746942 / -0.00746942 | 0.00726455 / -0.00726455 | 0.00685668 / -0.00685668 | 0.00537232 / -0.00537232 | 0.00561568 / -0.00561568 | 0 / 0 | 0 / 0 | -0.0082438 / 0.0082438 | 0.00573903 / -0.00573903 |
 | Electron E_{T} res. | 5.70714e-05 / -5.70714e-05 | 1.68979e-05 / -1.68979e-05 | -3.09944e-06 / 3.09944e-06 | 0.000101328 / -0.000101328 | 0.000513703 / -0.000513703 | 5.53429e-05 / -5.53429e-05 | -0.00079152 / 0.00079152 | 0.000687659 / -0.000687659 | -0.00115398 / 0.00115398 | -0.000855982 / 0.000855982 | 0.000136524 / -0.000136524 | -6.35684e-05 / 6.35684e-05 | 0.00125182 / -0.00125182 | 0 / 0 | 0 / 0 | -0.000453085 / 0.000453085 | 9.36091e-05 / -9.36091e-05 |
 | Electron E_{T} scale | 0.000283092 / -0.000283092 | 0.000291586 / -0.000291586 | 0.00070399 / -0.00070399 | 0.000296116 / -0.000296116 | 0.00028801 / -0.00028801 | 0.00032118 / -0.00032118 | 0.000466317 / -0.000466317 | 0.00136846 / -0.00136846 | 0.000584066 / -0.000584066 | -0.000559628 / 0.000559628 | -0.000815272 / 0.000815272 | 0.000674009 / -0.000674009 | 0.000302821 / -0.000302821 | 0 / 0 | 0 / 0 | 0.000453085 / -0.000453085 | 0.0001809 / -0.0001809 |
 | Muon ID p_{T} res. | -1.35005e-05 / 1.35005e-05 | -0.000127584 / 0.000127584 | -1.5527e-05 / 1.5527e-05 | 0.000168115 / -0.000168115 | 0.000116765 / -0.000116765 | -2.71201e-05 / 2.71201e-05 | -4.90248e-05 / 4.90248e-05 | 0.00132358 / -0.00132358 | -0.000215799 / 0.000215799 | -0.000893891 / 0.000893891 | -0.00116846 / 0.00116846 | -0.000179559 / 0.000179559 | 0.000457346 / -0.000457346 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000369072 / -0.000369072 |
 | Muon MS p_{T} res. | 3.32296e-05 / -3.32296e-05 | 1.07288e-06 / -1.07288e-06 | 0.000308007 / -0.000308007 | 9.05097e-05 / -9.05097e-05 | 8.52942e-05 / -8.52942e-05 | -3.85344e-05 / 3.85344e-05 | 3.58224e-05 / -3.58224e-05 | -0.000439137 / 0.000439137 | -0.00107285 / 0.00107285 | -5.26309e-05 / 5.26309e-05 | 0.000917554 / -0.000917554 | 0.000366688 / -0.000366688 | -0.00127271 / 0.00127271 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000116587 / -0.000116587 |
 | Muon p_{T} scale | -0.000189066 / 0.000189066 | -0.000224441 / 0.000224441 | -2.88486e-05 / 2.88486e-05 | -6.00815e-05 / 6.00815e-05 | -9.56655e-06 / 9.56655e-06 | -0.000665277 / 0.000665277 | -0.000189185 / 0.000189185 | -0.00026533 / 0.00026533 | -5.53131e-05 / 5.53131e-05 | 9.82285e-05 / -9.82285e-05 | 4.41372e-05 / -4.41372e-05 | -0.00037536 / 0.00037536 | -0.000643075 / 0.000643075 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000519991 / 0.000519991 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Effective NP 1 | 0.00041762 / -0.00041762 | -0.0148359 / 0.0148359 | -0.0177869 / 0.0177869 | -0.0184635 / 0.0184635 | -0.0316179 / 0.0316179 | 0.0498453 / -0.0498453 | 0.0559502 / -0.0559502 | 0.0318322 / -0.0318322 | 0.0541417 / -0.0541417 | 0.0486728 / -0.0486728 | 0.0426639 / -0.0426639 | 0.0162453 / -0.0162453 | 0.0196267 / -0.0196267 | 0 / 0 | 0 / 0 | -0.0614 / 0.0614 | 0.00332665 / -0.00332665 |
 | Effective NP 2 | -0.000709504 / 0.000709504 | 0.00339746 / -0.00339746 | 0.00282577 / -0.00282577 | 0.00473723 / -0.00473723 | 0.0077785 / -0.0077785 | -0.0127602 / 0.0127602 | -0.013327 / 0.013327 | -0.0087024 / 0.0087024 | -0.0165015 / 0.0165015 | -0.0119668 / 0.0119668 | -0.0129371 / 0.0129371 | -0.00395703 / 0.00395703 | 0.00147185 / -0.00147185 | 0 / 0 | 0 / 0 | 0.0381647 / -0.0381647 | 0.000682652 / -0.000682652 |
 | Effective NP 3 | 0.000307977 / -0.000307977 | 0.000413179 / -0.000413179 | 0.00109923 / -0.00109923 | -0.0015862 / 0.0015862 | -0.000859737 / 0.000859737 | 0.00170717 / -0.00170717 | 0.00192037 / -0.00192037 | 0.000890255 / -0.000890255 | 0.00669834 / -0.00669834 | 0.00284055 / -0.00284055 | 0.00166503 / -0.00166503 | 0.00075978 / -0.00075978 | -0.00128934 / 0.00128934 | 0 / 0 | 0 / 0 | 8.87811e-05 / -8.87811e-05 | -0.00217628 / 0.00217628 |
 | Effective NP 4 | -0.000405848 / 0.000405848 | -0.00109136 / 0.00109136 | -0.000964314 / 0.000964314 | 0.000807434 / -0.000807434 | -0.000194818 / 0.000194818 | -0.00166643 / 0.00166643 | -0.00101563 / 0.00101563 | -0.00128806 / 0.00128806 | -0.00393865 / 0.00393865 | -0.00250521 / 0.00250521 | -0.00124642 / 0.00124642 | -0.000913322 / 0.000913322 | 0.000537902 / -0.000537902 | 0 / 0 | 0 / 0 | -3.98755e-05 / 3.98755e-05 | 0.0016782 / -0.0016782 |
