 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | btag B EV 3 | -0.000601136 / 0.000601136 | -0.00293909 / 0.00293909 | 0.000103179 / -0.000103179 | 0.000693867 / -0.000693867 | 0.000856309 / -0.000856309 | 0 / 0 | 0 / 0 | -0.00438588 / 0.00438588 | 0 / 0 | 0 / 0 | -0.00236452 / 0.00236452 | -0.00273725 / 0.00273725 | -0.00300195 / 0.00300195 | 0 / 0 | 0 / 0 | 0.00299284 / -0.00299284 | -0.000322209 / 0.000322209 |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 0 | -0.151203 / 0.151203 | -0.31051 / 0.31051 | -0.0258988 / 0.0258988 | -0.0118128 / 0.0118128 | -0.00870729 / 0.00870729 | -0.000748681 / 0.000748681 | -0.526068 / 0.526068 | -0.0221815 / 0.0221815 | -0.0327193 / 0.0327193 | -0.560645 / 0.560645 | -0.00289281 / 0.00289281 | -0.0162141 / 0.0162141 | -0.0191151 / 0.0191151 | 0 / 0 | 0 / 0 | -0.0106511 / 0.0106511 | -0.0214905 / 0.0214905 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 0 | -0.430917 / 0.430917 | -0.0152167 / 0.0152167 | -0.00378812 / 0.00378812 | -0.00769694 / 0.00769694 | -0.00352232 / 0.00352232 | -0.970606 / 0.970606 | -0.381469 / 0.381469 | -0.0205642 / 0.0205642 | -0.970606 / 0.970606 | -0.314896 / 0.314896 | -0.0269183 / 0.0269183 | -0.00716551 / 0.00716551 | -0.00615037 / 0.00615037 | 0 / 0 | 0 / 0 | 0.000214138 / -0.000214138 | 0.0405371 / -0.0405371 |
 | btag L EV 1 | 0.00736104 / -0.00736104 | 1.74815e-05 / -1.74815e-05 | 0.000310065 / -0.000310065 | 0.000100772 / -0.000100772 | 0.000107028 / -0.000107028 | 0.00479829 / -0.00479829 | 0.00251716 / -0.00251716 | 0.000157295 / -0.000157295 | 0.00416142 / -0.00416142 | 1.23177e-05 / -1.23177e-05 | 0.000351034 / -0.000351034 | -0.000728281 / 0.000728281 | 0.00019686 / -0.00019686 | 0 / 0 | 0 / 0 | -1.36689e-05 / 1.36689e-05 | 0.00230384 / -0.00230384 |
 | btag L EV 2 | -4.9525e-05 / 4.9525e-05 | -0.000138252 / 0.000138252 | -4.74208e-05 / 4.74208e-05 | -5.96574e-06 / 5.96574e-06 | 2.98083e-05 / -2.98083e-05 | 0.00126131 / -0.00126131 | 0.000761372 / -0.000761372 | 0.000108499 / -0.000108499 | 0.00130156 / -0.00130156 | -0.00100699 / 0.00100699 | -0.00271431 / 0.00271431 | 0.000649396 / -0.000649396 | 0.000219795 / -0.000219795 | 0 / 0 | 0 / 0 | -4.5901e-06 / 4.5901e-06 | -0.000511731 / 0.000511731 |
 | btag L EV 3 | 0.00176592 / -0.00176592 | -0.00043088 / 0.00043088 | 1.92137e-05 / -1.92137e-05 | -1.38792e-05 / 1.38792e-05 | 3.72514e-06 / -3.72514e-06 | -0.00165947 / 0.00165947 | -5.41745e-05 / 5.41745e-05 | 3.76538e-05 / -3.76538e-05 | -0.00097841 / 0.00097841 | -0.00121748 / 0.00121748 | 0.000166664 / -0.000166664 | -0.000239384 / 0.000239384 | 0.00110901 / -0.00110901 | 0 / 0 | 0 / 0 | -4.23195e-06 / 4.23195e-06 | 0.000315306 / -0.000315306 |
 | btag L EV 4 | -0.00130386 / 0.00130386 | -0.000136084 / 0.000136084 | -6.21894e-05 / 6.21894e-05 | -2.01593e-05 / 2.01593e-05 | -1.63755e-05 / 1.63755e-05 | 0.000507162 / -0.000507162 | 0.000308528 / -0.000308528 | 8.31169e-05 / -8.31169e-05 | 0.000490755 / -0.000490755 | -0.000139886 / 0.000139886 | -0.00127628 / 0.00127628 | 0.00073986 / -0.00073986 | -4.67116e-06 / 4.67116e-06 | 0 / 0 | 0 / 0 | 1.03614e-07 / -1.03614e-07 | -0.000890666 / 0.000890666 |
 | btag L EV 5 | 0.000355342 / -0.000355342 | -1.24201e-05 / 1.24201e-05 | 8.18135e-06 / -8.18135e-06 | 1.8642e-06 / -1.8642e-06 | 3.00079e-06 / -3.00079e-06 | -0.000507554 / 0.000507554 | -0.000214269 / 0.000214269 | -2.6711e-06 / 2.6711e-06 | -0.000339538 / 0.000339538 | -0.000133214 / 0.000133214 | -9.30609e-05 / 9.30609e-05 | -0.000118798 / 0.000118798 | -0.000113208 / 0.000113208 | 0 / 0 | 0 / 0 | -5.58882e-07 / 5.58882e-07 | 0.000360112 / -0.000360112 |
 | btag L EV 6 | -0.000378882 / 0.000378882 | 0.000211499 / -0.000211499 | 4.81195e-06 / -4.81195e-06 | 1.01692e-05 / -1.01692e-05 | 6.33988e-06 / -6.33988e-06 | 0.000457213 / -0.000457213 | -7.49393e-06 / 7.49393e-06 | 3.73744e-05 / -3.73744e-05 | 0.000243604 / -0.000243604 | 0.000234864 / -0.000234864 | -0.00143192 / 0.00143192 | 1.39903e-06 / -1.39903e-06 | -2.47664e-07 / 2.47664e-07 | 0 / 0 | 0 / 0 | 9.6409e-07 / -9.6409e-07 | 1.96962e-06 / -1.96962e-06 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 11 | -0.0792746 / 0.0792746 | -0.0184201 / 0.0184201 | -0.00366899 / 0.00366899 | -0.00279916 / 0.00279916 | -0.0021651 / 0.0021651 | -0.512901 / 0.512901 | -0.132048 / 0.132048 | -0.00951093 / 0.00951093 | -0.478893 / 0.478893 | -0.0871956 / 0.0871956 | -0.00323478 / 0.00323478 | -0.0042237 / 0.0042237 | -0.00562997 / 0.00562997 | 0 / 0 | 0 / 0 | 0.000193094 / -0.000193094 | 0.00940201 / -0.00940201 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 13 | 0.0665089 / -0.0665089 | 0.028519 / -0.028519 | 0.00124493 / -0.00124493 | -6.75086e-05 / 6.75086e-05 | 0.000365849 / -0.000365849 | 0.362165 / -0.362165 | 0.0919059 / -0.0919059 | 0.0102039 / -0.0102039 | 0.41239 / -0.41239 | 0.0807083 / -0.0807083 | 0.0207991 / -0.0207991 | -0.000912733 / 0.000912733 | 0.00140776 / -0.00140776 | 0 / 0 | 0 / 0 | -4.62026e-05 / 4.62026e-05 | 0.0262058 / -0.0262058 |
 | btag L EV 14 | -0.0717415 / 0.0717415 | -0.00348102 / 0.00348102 | -0.00254277 / 0.00254277 | -0.00276394 / 0.00276394 | -0.0016856 / 0.0016856 | -0.351996 / 0.351996 | -0.0919343 / 0.0919343 | -0.00523944 / 0.00523944 | -0.311018 / 0.311018 | -0.059515 / 0.059515 | -0.00455895 / 0.00455895 | -0.00296871 / 0.00296871 | -0.00542664 / 0.00542664 | 0 / 0 | 0 / 0 | 0.000137751 / -0.000137751 | 0.0222695 / -0.0222695 |
 | btag L EV 15 | -0.019814 / 0.019814 | -0.00125057 / 0.00125057 | -0.000468255 / 0.000468255 | -0.00075674 / 0.00075674 | -0.000375675 / 0.000375675 | -0.0895087 / 0.0895087 | -0.0239139 / 0.0239139 | -0.00111461 / 0.00111461 | -0.0887113 / 0.0887113 | -0.0185767 / 0.0185767 | -0.00616527 / 0.00616527 | 0.000602425 / -0.000602425 | -8.12406e-05 / 8.12406e-05 | 0 / 0 | 0 / 0 | 2.98513e-05 / -2.98513e-05 | 0.00855006 / -0.00855006 |
 | btag L EV 16 | -0.00330374 / 0.00330374 | 0.00586754 / -0.00586754 | -0.00110582 / 0.00110582 | 7.24389e-05 / -7.24389e-05 | 1.46245e-05 / -1.46245e-05 | 0.0430754 / -0.0430754 | 0.0042375 / -0.0042375 | -0.000543642 / 0.000543642 | 0.0571123 / -0.0571123 | 0.0237638 / -0.0237638 | 0.00130786 / -0.00130786 | -0.00132677 / 0.00132677 | 0.00146687 / -0.00146687 | 0 / 0 | 0 / 0 | -4.91324e-06 / 4.91324e-06 | 0.00759305 / -0.00759305 |
 | b-tag extrap. | 0.00238784 / -0.00238784 | 0.00877543 / -0.00877543 | 0.00129551 / -0.00129551 | 0.00275803 / -0.00275803 | 0.00188985 / -0.00188985 | 1.57476e-05 / -1.57476e-05 | 0.0254479 / -0.0254479 | 0.00352775 / -0.00352775 | 0.00064519 / -0.00064519 | 0.021474 / -0.021474 | 0.000558531 / -0.000558531 | 0.00346107 / -0.00346107 | 0.00341594 / -0.00341594 | 0 / 0 | 0 / 0 | 0.0108917 / -0.0108917 | 0.00318723 / -0.00318723 |
 | b-tag extrap. from charm | 0 / 0 | 0 / 0 | 0.000955199 / -0.000955199 | 0.00116842 / -0.00116842 | 0.00070434 / -0.00070434 | 0.00130327 / -0.00130327 | 8.0419e-05 / -8.0419e-05 | 6.52742e-06 / -6.52742e-06 | 0.0515682 / -0.0515682 | 0.0115864 / -0.0115864 | 0.00108804 / -0.00108804 | 0 / 0 | 0.000813588 / -0.000813588 | 0 / 0 | 0 / 0 | -0.000218212 / 0.000218212 | 0 / 0 |
 | JVT uncertainty | 0.00531921 / -0.00531921 | 0.00386363 / -0.00386363 | 0.00467649 / -0.00467649 | 0.00277372 / -0.00277372 | 0.0025755 / -0.0025755 | 0.00870172 / -0.00870172 | 0.00785305 / -0.00785305 | 0.00938407 / -0.00938407 | 0.00878116 / -0.00878116 | 0.00824701 / -0.00824701 | 0.0088892 / -0.0088892 | 0.00910244 / -0.00910244 | 0.00155106 / -0.00155106 | 0 / 0 | 0 / 0 | -0.00821242 / 0.00821242 | 0.00742322 / -0.00742322 |
 | Electron E_{T} res. | 0 / 0 | -7.7188e-06 / 7.7188e-06 | 0.000441992 / -0.000441992 | -0.000742146 / 0.000742146 | -0.000145494 / 0.000145494 | 0.000486387 / -0.000486387 | -0.000297536 / 0.000297536 | -5.92547e-05 / 5.92547e-05 | -0.0014796 / 0.0014796 | -0.00180714 / 0.00180714 | -5.10216e-05 / 5.10216e-05 | -0.000130884 / 0.000130884 | 1.43159e-06 / -1.43159e-06 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Electron E_{T} scale | 0 / 0 | 0 / 0 | -0.000462451 / 0.000462451 | -0.000601781 / 0.000601781 | 0.000684203 / -0.000684203 | 0.000603985 / -0.000603985 | 0.000144848 / -0.000144848 | 7.39098e-05 / -7.39098e-05 | -0.000260204 / 0.000260204 | -0.00086365 / 0.00086365 | 6.79473e-05 / -6.79473e-05 | 0 / 0 | 4.79817e-06 / -4.79817e-06 | 0 / 0 | 0 / 0 | 0.000376786 / -0.000376786 | 9.29832e-05 / -9.29832e-05 |
 | Muon ID p_{T} res. | 0 / 0 | 0 / 0 | -0.000110138 / 0.000110138 | -0.000776648 / 0.000776648 | 0.000324212 / -0.000324212 | -3.65889e-05 / 3.65889e-05 | -8.32677e-05 / 8.32677e-05 | 5.46149e-06 / -5.46149e-06 | 3.15309e-05 / -3.15309e-05 | 4.11868e-05 / -4.11868e-05 | -5.04624e-07 / 5.04624e-07 | 0 / 0 | 3.69657e-06 / -3.69657e-06 | 0 / 0 | 0 / 0 | -6.01418e-06 / 6.01418e-06 | 1.23627e-06 / -1.23627e-06 |
 | Muon MS p_{T} res. | 0 / 0 | 0 / 0 | -5.64586e-05 / 5.64586e-05 | -0.000191475 / 0.000191475 | 0.00024768 / -0.00024768 | 0.0002154 / -0.0002154 | 6.19992e-05 / -6.19992e-05 | -0.00130315 / 0.00130315 | -0.000521004 / 0.000521004 | -0.0153585 / 0.0153585 | 1.62402e-05 / -1.62402e-05 | 0 / 0 | -2.86698e-05 / 2.86698e-05 | 0 / 0 | 0 / 0 | -6.07378e-06 / 6.07378e-06 | 0 / 0 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | -0.000437624 / 0.000437624 | -0.000235037 / 0.000235037 | -0.000154833 / 0.000154833 | -0.000319448 / 0.000319448 | -7.96221e-05 / 7.96221e-05 | -1.18528e-06 / 1.18528e-06 | 0.000532061 / -0.000532061 | 2.95881e-05 / -2.95881e-05 | 3.2581e-07 / -3.2581e-07 | 0 / 0 | -9.76689e-08 / 9.76689e-08 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | Effective NP 1 | 0.130518 / -0.130518 | 0.0235711 / -0.0235711 | -0.00353767 / 0.00353767 | -0.00437552 / 0.00437552 | -0.0056709 / 0.0056709 | 0.0657143 / -0.0657143 | 0.0443425 / -0.0443425 | 0.0509918 / -0.0509918 | 0.0529805 / -0.0529805 | 0.0425745 / -0.0425745 | 0.0130178 / -0.0130178 | 0.0421113 / -0.0421113 | 0.0183417 / -0.0183417 | 0 / 0 | 0 / 0 | -0.0337154 / 0.0337154 | -0.10079 / 0.10079 |
 | Effective NP 2 | -2.07237e-05 / 2.07237e-05 | -0.000166222 / 0.000166222 | 0.00155699 / -0.00155699 | 0.00073729 / -0.00073729 | 0.00311434 / -0.00311434 | -0.0137385 / 0.0137385 | -0.016185 / 0.016185 | -0.00614889 / 0.00614889 | -0.0129339 / 0.0129339 | -0.0150329 / 0.0150329 | -0.00311431 / 0.00311431 | 0.00215636 / -0.00215636 | 0.00513332 / -0.00513332 | 0 / 0 | 0 / 0 | 0.0258419 / -0.0258419 | -0.0051675 / 0.0051675 |
 | Effective NP 3 | -1.84774e-06 / 1.84774e-06 | 7.46837e-05 / -7.46837e-05 | -0.00113233 / 0.00113233 | 0.000650175 / -0.000650175 | 0.000192189 / -0.000192189 | 0.00166425 / -0.00166425 | 0.00112878 / -0.00112878 | 0.000388987 / -0.000388987 | 0.00159791 / -0.00159791 | 6.73532e-06 / -6.73532e-06 | 0.000279518 / -0.000279518 | 8.30889e-05 / -8.30889e-05 | 0.000258945 / -0.000258945 | 0 / 0 | 0 / 0 | 0.000185259 / -0.000185259 | 0.00019747 / -0.00019747 |
 | Effective NP 4 | 8.95771e-07 / -8.95771e-07 | 2.07885e-05 / -2.07885e-05 | 0.00115156 / -0.00115156 | 9.05417e-06 / -9.05417e-06 | -0.000123328 / 0.000123328 | -0.000892191 / 0.000892191 | -0.00143329 / 0.00143329 | 0.000535235 / -0.000535235 | -0.000657767 / 0.000657767 | 0.00014142 / -0.00014142 | 0.000267114 / -0.000267114 | -4.63208e-05 / 4.63208e-05 | 0.000289829 / -0.000289829 | 0 / 0 | 0 / 0 | -7.41199e-05 / 7.41199e-05 | -4.32355e-05 / 4.32355e-05 |
 | Effective NP 5 | -2.89083e-06 / 2.89083e-06 | -0.000149847 / 0.000149847 | 0.00167453 / -0.00167453 | -7.3721e-05 / 7.3721e-05 | -0.000227084 / 0.000227084 | 0.000960694 / -0.000960694 | -0.00153584 / 0.00153584 | -0.000971854 / 0.000971854 | 0.00053671 / -0.00053671 | -0.000246948 / 0.000246948 | -0.000598824 / 0.000598824 | -0.000342258 / 0.000342258 | -0.000794433 / 0.000794433 | 0 / 0 | 0 / 0 | -3.51609e-05 / 3.51609e-05 | -0.000174269 / 0.000174269 |
 | Effective NP 6 | 7.95552e-06 / -7.95552e-06 | 0.000109611 / -0.000109611 | -0.00205167 / 0.00205167 | -0.000263098 / 0.000263098 | -0.000339705 / 0.000339705 | 0.0023433 / -0.0023433 | 0.00425466 / -0.00425466 | 0.000720181 / -0.000720181 | 0.00251839 / -0.00251839 | 0.00124773 / -0.00124773 | 0.000810027 / -0.000810027 | 0.000362196 / -0.000362196 | 0.000690996 / -0.000690996 | 0 / 0 | 0 / 0 | 3.62738e-05 / -3.62738e-05 | 0.000229882 / -0.000229882 |
