 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | Pile-up uncertainty | 0.0812422 / -0.0812422 | -0.0484465 / 0.0484465 | 0.0028708 / -0.0028708 | -0.0090398 / 0.0090398 | -0.00690348 / 0.00690348 | 0.0194547 / -0.0194547 | -0.012854 / 0.012854 | -0.00101969 / 0.00101969 | 0.0112063 / -0.0112063 | 0.00429501 / -0.00429501 | 0.0446186 / -0.0446186 | 0.0125192 / -0.0125192 | -0.0490415 / 0.0490415 | -0.0156185 / 0.0156185 | 0 / 0 | 0 / 0 | 0.0967923 / -0.0967923 |
 | btag B EV 0 | -0.0414314 / 0.0414314 | -0.0420448 / 0.0420448 | -0.087468 / 0.087468 | -0.0815208 / 0.0815208 | -0.08311 / 0.08311 | 0 / 0 | 0 / 0 | -0.113091 / 0.113091 | 0 / 0 | 0 / 0 | -0.100785 / 0.100785 | -0.097559 / 0.097559 | -0.108139 / 0.108139 | -0.0731231 / 0.0731231 | 0 / 0 | 0 / 0 | -0.0796068 / 0.0796068 |
 | btag B EV 1 | -0.0176133 / 0.0176133 | -0.0219238 / 0.0219238 | -0.0308121 / 0.0308121 | -0.0364023 / 0.0364023 | -0.0349711 / 0.0349711 | 0 / 0 | 0 / 0 | -0.0206234 / 0.0206234 | 0 / 0 | 0 / 0 | -0.0278808 / 0.0278808 | -0.0271833 / 0.0271833 | -0.0198447 / 0.0198447 | -0.0449911 / 0.0449911 | 0 / 0 | 0 / 0 | -0.0286401 / 0.0286401 |
 | btag B EV 2 | 0.0167731 / -0.0167731 | 0.00933306 / -0.00933306 | 0.018923 / -0.018923 | 0.0189426 / -0.0189426 | 0.0202771 / -0.0202771 | 0 / 0 | 0 / 0 | 0.0165575 / -0.0165575 | 0 / 0 | 0 / 0 | 0.0210171 / -0.0210171 | 0.0159543 / -0.0159543 | 0.020476 / -0.020476 | 0.0135435 / -0.0135435 | 0 / 0 | 0 / 0 | 0.0174281 / -0.0174281 |
 | btag B EV 3 | -0.000835267 / 0.000835267 | 0.0015201 / -0.0015201 | -0.000454601 / 0.000454601 | 0.000763211 / -0.000763211 | 0.000470579 / -0.000470579 | 0 / 0 | 0 / 0 | -0.00352759 / 0.00352759 | 0 / 0 | 0 / 0 | -0.00150196 / 0.00150196 | -0.00321886 / 0.00321886 | -0.00614845 / 0.00614845 | 0.00213181 / -0.00213181 | 0 / 0 | 0 / 0 | 0.000184874 / -0.000184874 |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 0 | -0.118802 / 0.118802 | -0.274384 / 0.274384 | -0.0155117 / 0.0155117 | -0.0141485 / 0.0141485 | -0.00967478 / 0.00967478 | -0.000787206 / 0.000787206 | -0.477522 / 0.477522 | -0.0175463 / 0.0175463 | -0.0336085 / 0.0336085 | -0.490387 / 0.490387 | -0.0181054 / 0.0181054 | -0.0263153 / 0.0263153 | -0.015631 / 0.015631 | -0.0179684 / 0.0179684 | 0 / 0 | 0 / 0 | -0.0538108 / 0.0538108 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 0 | -0.406679 / 0.406679 | -0.0766884 / 0.0766884 | -0.010746 / 0.010746 | -0.00715898 / 0.00715898 | -0.00503699 / 0.00503699 | -0.958273 / 0.958273 | -0.432572 / 0.432572 | -0.0118616 / 0.0118616 | -0.975685 / 0.975685 | -0.333195 / 0.333195 | -0.0136138 / 0.0136138 | -0.0141626 / 0.0141626 | -0.0163569 / 0.0163569 | -0.00838386 / 0.00838386 | 0 / 0 | 0 / 0 | -0.0148848 / 0.0148848 |
 | btag L EV 1 | 0.00196272 / -0.00196272 | 0.000729838 / -0.000729838 | 0.000313287 / -0.000313287 | -6.59998e-05 / 6.59998e-05 | 7.02675e-06 / -7.02675e-06 | 0.00331587 / -0.00331587 | -0.000244186 / 0.000244186 | -0.00017965 / 0.00017965 | 0.00248878 / -0.00248878 | 0.000264631 / -0.000264631 | 0.000345604 / -0.000345604 | 0.00085491 / -0.00085491 | 0.000330546 / -0.000330546 | -0.000156572 / 0.000156572 | 0 / 0 | 0 / 0 | -0.000369964 / 0.000369964 |
 | btag L EV 2 | -0.00216966 / 0.00216966 | -0.000425151 / 0.000425151 | -6.17208e-05 / 6.17208e-05 | 3.85711e-05 / -3.85711e-05 | 7.17552e-06 / -7.17552e-06 | 0.00140077 / -0.00140077 | 0.00101994 / -0.00101994 | -0.000199914 / 0.000199914 | 0.0015315 / -0.0015315 | 0.000371349 / -0.000371349 | -7.40815e-06 / 7.40815e-06 | -7.51403e-05 / 7.51403e-05 | -0.000542833 / 0.000542833 | 0.00019542 / -0.00019542 | 0 / 0 | 0 / 0 | 6.79315e-05 / -6.79315e-05 |
 | btag L EV 3 | -0.000804 / 0.000804 | -0.000328571 / 0.000328571 | -1.78852e-05 / 1.78852e-05 | -1.35779e-05 / 1.35779e-05 | -2.6016e-05 / 2.6016e-05 | -0.00136436 / 0.00136436 | -0.00024034 / 0.00024034 | -0.000484055 / 0.000484055 | -0.00185748 / 0.00185748 | -0.000703273 / 0.000703273 | -0.000215973 / 0.000215973 | -0.000235668 / 0.000235668 | 0.000652267 / -0.000652267 | 7.66688e-07 / -7.66688e-07 | 0 / 0 | 0 / 0 | -0.000131261 / 0.000131261 |
 | btag L EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 5 | -0.000211431 / 0.000211431 | 5.72048e-05 / -5.72048e-05 | -6.35796e-06 / 6.35796e-06 | -1.49226e-05 / 1.49226e-05 | -1.14763e-05 / 1.14763e-05 | -0.000696057 / 0.000696057 | -0.000195691 / 0.000195691 | 8.73234e-05 / -8.73234e-05 | -0.000262798 / 0.000262798 | -0.00017773 / 0.00017773 | -5.91004e-05 / 5.91004e-05 | -2.10307e-05 / 2.10307e-05 | -5.8846e-05 / 5.8846e-05 | -1.82299e-05 / 1.82299e-05 | 0 / 0 | 0 / 0 | -5.66368e-05 / 5.66368e-05 |
 | btag L EV 6 | -0.000114688 / 0.000114688 | 0.000159053 / -0.000159053 | 8.23453e-06 / -8.23453e-06 | 1.47386e-06 / -1.47386e-06 | -1.09705e-06 / 1.09705e-06 | 0.000265508 / -0.000265508 | -5.83981e-05 / 5.83981e-05 | -4.12027e-05 / 4.12027e-05 | 0.000696858 / -0.000696858 | 0.000101744 / -0.000101744 | -2.70527e-05 / 2.70527e-05 | 4.35676e-06 / -4.35676e-06 | 0.00011213 / -0.00011213 | -1.1768e-05 / 1.1768e-05 | 0 / 0 | 0 / 0 | 5.47713e-05 / -5.47713e-05 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 11 | -0.122051 / 0.122051 | -0.0163785 / 0.0163785 | -0.00439561 / 0.00439561 | -0.00393069 / 0.00393069 | -0.00151608 / 0.00151608 | -0.564716 / 0.564716 | -0.114943 / 0.114943 | -0.0110317 / 0.0110317 | -0.542357 / 0.542357 | -0.0995778 / 0.0995778 | -0.00802185 / 0.00802185 | -0.00965671 / 0.00965671 | -0.0046243 / 0.0046243 | -0.00341863 / 0.00341863 | 0 / 0 | 0 / 0 | -0.00898125 / 0.00898125 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 13 | 0.104544 / -0.104544 | 0.0182443 / -0.0182443 | 0.00279546 / -0.00279546 | 0.00107624 / -0.00107624 | 0.000925021 / -0.000925021 | 0.329688 / -0.329688 | 0.0791063 / -0.0791063 | 0.00848951 / -0.00848951 | 0.348341 / -0.348341 | 0.0601588 / -0.0601588 | 0.0124112 / -0.0124112 | -0.00227407 / 0.00227407 | -0.00476378 / 0.00476378 | 0.000247781 / -0.000247781 | 0 / 0 | 0 / 0 | 0.0037033 / -0.0037033 |
 | btag L EV 14 | -0.0812194 / 0.0812194 | -0.0122631 / 0.0122631 | -0.00307462 / 0.00307462 | -0.00323574 / 0.00323574 | -0.00116832 / 0.00116832 | -0.379802 / 0.379802 | -0.0877706 / 0.0877706 | -0.00650355 / 0.00650355 | -0.353635 / 0.353635 | -0.0723794 / 0.0723794 | -0.00291816 / 0.00291816 | -0.00382899 / 0.00382899 | -0.00269642 / 0.00269642 | -0.00287762 / 0.00287762 | 0 / 0 | 0 / 0 | -0.0068088 / 0.0068088 |
 | btag L EV 15 | -0.0216329 / 0.0216329 | -0.00343414 / 0.00343414 | -0.000644618 / 0.000644618 | -0.0010536 / 0.0010536 | -0.000239945 / 0.000239945 | -0.0867237 / 0.0867237 | -0.0208799 / 0.0208799 | 0.00231992 / -0.00231992 | -0.0851341 / 0.0851341 | -0.0173124 / 0.0173124 | -0.000807758 / 0.000807758 | 0.00352354 / -0.00352354 | 0.000637468 / -0.000637468 | -0.000585887 / 0.000585887 | 0 / 0 | 0 / 0 | -0.00258722 / 0.00258722 |
 | btag L EV 16 | 0.0533274 / -0.0533274 | -0.000526543 / 0.000526543 | -0.000324703 / 0.000324703 | 9.04672e-05 / -9.04672e-05 | -0.000345316 / 0.000345316 | 0.0366711 / -0.0366711 | 0.0057229 / -0.0057229 | -3.60258e-05 / 3.60258e-05 | 0.0628536 / -0.0628536 | 0.00953879 / -0.00953879 | 0.000855413 / -0.000855413 | -0.00261761 / 0.00261761 | 0.00221006 / -0.00221006 | -0.000215991 / 0.000215991 | 0 / 0 | 0 / 0 | 0.00189268 / -0.00189268 |
 | b-tag extrap. | 0.0037723 / -0.0037723 | 0.0163539 / -0.0163539 | 0.00291571 / -0.00291571 | 0.00297594 / -0.00297594 | 0.00230269 / -0.00230269 | 0.000111952 / -0.000111952 | 0.0296149 / -0.0296149 | 0.00450866 / -0.00450866 | 0.00111328 / -0.00111328 | 0.0251398 / -0.0251398 | 0.00106106 / -0.00106106 | 0.0047075 / -0.0047075 | 0.00294431 / -0.00294431 | 0.0071236 / -0.0071236 | 0 / 0 | 0 / 0 | 0.0043479 / -0.0043479 |
 | b-tag extrap. from charm | 0 / 0 | 0.00310662 / -0.00310662 | 0.000572744 / -0.000572744 | 0.00111649 / -0.00111649 | 0.000496934 / -0.000496934 | 0.00132582 / -0.00132582 | 0.000112342 / -0.000112342 | 2.3229e-05 / -2.3229e-05 | 0.0568734 / -0.0568734 | 0.0164702 / -0.0164702 | 0.00506087 / -0.00506087 | 0.00193575 / -0.00193575 | 7.89241e-05 / -7.89241e-05 | 0.00101782 / -0.00101782 | 0 / 0 | 0 / 0 | -0 / -0 |
 | JVT uncertainty | 0.0080668 / -0.0080668 | 0.0108482 / -0.0108482 | 0.00989015 / -0.00989015 | 0.00813685 / -0.00813685 | 0.00867229 / -0.00867229 | 0.0119014 / -0.0119014 | 0.0124312 / -0.0124312 | 0.0111659 / -0.0111659 | 0.01182 / -0.01182 | 0.0123577 / -0.0123577 | 0.00883898 / -0.00883898 | 0.00927866 / -0.00927866 | 0.0148577 / -0.0148577 | 0.00715478 / -0.00715478 | 0 / 0 | 0 / 0 | 0.00949158 / -0.00949158 |
 | Electron E_{T} res. | -4.68665e-05 / 4.68665e-05 | 0 / 0 | -0.000458512 / 0.000458512 | 6.05817e-05 / -6.05817e-05 | 8.37909e-05 / -8.37909e-05 | 0.000141101 / -0.000141101 | -0.000176176 / 0.000176176 | 7.21681e-05 / -7.21681e-05 | -0.000207537 / 0.000207537 | -0.0753334 / 0.0753334 | -0.000198691 / 0.000198691 | -0.000125454 / 0.000125454 | -0.000440706 / 0.000440706 | -0.000385412 / 0.000385412 | 0 / 0 | 0 / 0 | -0.000177084 / 0.000177084 |
 | Electron E_{T} scale | 0 / 0 | 0 / 0 | 0.000260189 / -0.000260189 | 0.000335118 / -0.000335118 | 0.000167952 / -0.000167952 | 0.000281198 / -0.000281198 | 3.41684e-05 / -3.41684e-05 | 0.000106867 / -0.000106867 | -0.000578043 / 0.000578043 | 0.0753744 / -0.0753744 | -5.72331e-05 / 5.72331e-05 | 4.13954e-05 / -4.13954e-05 | 0.000375242 / -0.000375242 | -0.000344595 / 0.000344595 | 0 / 0 | 0 / 0 | -0.000373557 / 0.000373557 |
 | Muon ID p_{T} res. | 0 / 0 | -1.7864e-05 / 1.7864e-05 | 0.000392768 / -0.000392768 | -5.89246e-05 / 5.89246e-05 | -0.000131368 / 0.000131368 | -4.62665e-05 / 4.62665e-05 | 8.94962e-05 / -8.94962e-05 | 0.00178806 / -0.00178806 | 2.22097e-05 / -2.22097e-05 | -0.00272226 / 0.00272226 | 7.59959e-06 / -7.59959e-06 | 2.41908e-06 / -2.41908e-06 | -5.60284e-06 / 5.60284e-06 | -0.000372079 / 0.000372079 | 0 / 0 | 0 / 0 | 2.54737e-06 / -2.54737e-06 |
 | Muon MS p_{T} res. | 0 / 0 | -1.35601e-05 / 1.35601e-05 | -0.000501633 / 0.000501633 | -2.48689e-05 / 2.48689e-05 | 9.61233e-05 / -9.61233e-05 | -0.00154519 / 0.00154519 | -0.000240751 / 0.000240751 | -0.000130061 / 0.000130061 | -0.000553531 / 0.000553531 | -0.00403427 / 0.00403427 | 0.000166211 / -0.000166211 | 0 / 0 | -9.61681e-06 / 9.61681e-06 | 0.000407498 / -0.000407498 | 0 / 0 | 0 / 0 | -1.68407e-06 / 1.68407e-06 |
 | Muon p_{T} scale | 0 / 0 | -1.51818e-05 / 1.51818e-05 | -0.000110944 / 0.000110944 | -5.23819e-05 / 5.23819e-05 | -0.000244885 / 0.000244885 | -0.0001741 / 0.0001741 | -0.0113528 / 0.0113528 | -7.04643e-06 / 7.04643e-06 | -0.000447578 / 0.000447578 | 7.24633e-05 / -7.24633e-05 | 6.10039e-06 / -6.10039e-06 | 0 / 0 | -7.82867e-06 / 7.82867e-06 | -0.000466037 / 0.000466037 | 0 / 0 | 0 / 0 | -1.40818e-05 / 1.40818e-05 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Effective NP 1 | 0.0272557 / -0.0272557 | 0.0371631 / -0.0371631 | 0.0289258 / -0.0289258 | 0.0209777 / -0.0209777 | 0.0216661 / -0.0216661 | 0.0795169 / -0.0795169 | 0.0739297 / -0.0739297 | 0.0584942 / -0.0584942 | 0.0806487 / -0.0806487 | 0.050699 / -0.050699 | 0.162354 / -0.162354 | 0.0339248 / -0.0339248 | 0.0626945 / -0.0626945 | 0.0117679 / -0.0117679 | 0 / 0 | 0 / 0 | 0.0290288 / -0.0290288 |
 | Effective NP 2 | 0.001837 / -0.001837 | -0.0111495 / 0.0111495 | -0.00699436 / 0.00699436 | -0.00616817 / 0.00616817 | -0.0057048 / 0.0057048 | -0.0178918 / 0.0178918 | -0.0122796 / 0.0122796 | -0.0106325 / 0.0106325 | -0.0259939 / 0.0259939 | -0.0127781 / 0.0127781 | -0.116411 / 0.116411 | -0.0101983 / 0.0101983 | -0.0118678 / 0.0118678 | -0.00335169 / 0.00335169 | 0 / 0 | 0 / 0 | -0.00300601 / 0.00300601 |
 | Effective NP 3 | -0.000235881 / 0.000235881 | 5.23627e-05 / -5.23627e-05 | 0.0010711 / -0.0010711 | 0.00084657 / -0.00084657 | 0.000934705 / -0.000934705 | 0.00181803 / -0.00181803 | 0.00177604 / -0.00177604 | 0.000594696 / -0.000594696 | 0.00350657 / -0.00350657 | 0.000892631 / -0.000892631 | 0.000154261 / -0.000154261 | 9.9995e-05 / -9.9995e-05 | 0.00564611 / -0.00564611 | 0.000117933 / -0.000117933 | 0 / 0 | 0 / 0 | 0.00109993 / -0.00109993 |
 | Effective NP 4 | 0.000288665 / -0.000288665 | -5.48048e-07 / 5.48048e-07 | -0.000806035 / 0.000806035 | -0.000308627 / 0.000308627 | -0.000437557 / 0.000437557 | -0.00157244 / 0.00157244 | -0.000773996 / 0.000773996 | 0.000287606 / -0.000287606 | -0.00209097 / 0.00209097 | -0.000793113 / 0.000793113 | 0.00029296 / -0.00029296 | -5.86808e-05 / 5.86808e-05 | 0.000374476 / -0.000374476 | 3.44429e-05 / -3.44429e-05 | 0 / 0 | 0 / 0 | -0.00104269 / 0.00104269 |
 | Effective NP 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Effective NP 6 | 5.06341e-05 / -5.06341e-05 | 9.95978e-06 / -9.95978e-06 | 0.00155228 / -0.00155228 | 0.0011536 / -0.0011536 | 0.00112969 / -0.00112969 | 0.00244083 / -0.00244083 | 0.002318 / -0.002318 | 0.00102006 / -0.00102006 | 0.00476015 / -0.00476015 | 0.00157634 / -0.00157634 | 0.000578748 / -0.000578748 | 6.85371e-05 / -6.85371e-05 | 0.00598112 / -0.00598112 | 0.000130859 / -0.000130859 | 0 / 0 | 0 / 0 | 0.00114891 / -0.00114891 |
