 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | Muon ID (syst.) | 0.00364721 / -0.00364721 | 0.00372529 / -0.00372529 | 0.00362024 / -0.00362024 | 0.00386536 / -0.00386536 | 0.00374455 / -0.00374455 | 0.00452018 / -0.00452018 | 0.00488857 / -0.00488857 | 0.00463033 / -0.00463033 | 0.00297322 / -0.00297322 | 0.00291811 / -0.00291811 | 0.0030817 / -0.0030817 | 0.00377429 / -0.00377429 | 0.00396839 / -0.00396839 | 0.0040786 / -0.0040786 | 0 / 0 | 0 / 0 | 0.00331691 / -0.00331691 |
 | Muon Trig. (stat.) | 0.00267161 / -0.00267161 | 0.00274171 / -0.00274171 | 0.00271408 / -0.00271408 | 0.00268249 / -0.00268249 | 0.0027493 / -0.0027493 | 0.00273157 / -0.00273157 | 0.00285592 / -0.00285592 | 0.00278033 / -0.00278033 | 0.00172476 / -0.00172476 | 0.00171955 / -0.00171955 | 0.00199537 / -0.00199537 | 0.0025919 / -0.0025919 | 0.00253634 / -0.00253634 | 0.00275718 / -0.00275718 | 0 / 0 | 0 / 0 | 0.00261346 / -0.00261346 |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon TTVA (syst.) | 0.0003924 / -0.0003924 | 0.000363735 / -0.000363735 | 0.000383932 / -0.000383932 | 0.000371211 / -0.000371211 | 0.000416349 / -0.000416349 | 0.000225357 / -0.000225357 | 0.000281091 / -0.000281091 | 0.00027473 / -0.00027473 | 0.000167025 / -0.000167025 | 0.000178696 / -0.000178696 | 0.00028737 / -0.00028737 | 0.0003981 / -0.0003981 | 0.000257242 / -0.000257242 | 0.000413323 / -0.000413323 | 0 / 0 | 0 / 0 | 0.00032939 / -0.00032939 |
 | Pile-up uncertainty | 0.00506411 / -0.00506411 | 0.00674104 / -0.00674104 | -0.00551307 / 0.00551307 | -0.000628144 / 0.000628144 | -0.00517456 / 0.00517456 | 0.0181553 / -0.0181553 | -0.00811828 / 0.00811828 | 0.0318664 / -0.0318664 | 0.0127958 / -0.0127958 | -0.00635753 / 0.00635753 | 0.0204369 / -0.0204369 | 0.0194559 / -0.0194559 | 0.00834662 / -0.00834662 | -0.00610987 / 0.00610987 | 0 / 0 | 0 / 0 | -0.0112894 / 0.0112894 |
 | btag B EV 0 | -0.0444772 / 0.0444772 | -0.0426526 / 0.0426526 | -0.0562569 / 0.0562569 | -0.0441467 / 0.0441467 | -0.0416646 / 0.0416646 | 0 / 0 | 0 / 0 | -0.0715477 / 0.0715477 | 0 / 0 | 0 / 0 | -0.0649694 / 0.0649694 | -0.0536029 / 0.0536029 | -0.0602401 / 0.0602401 | -0.0390357 / 0.0390357 | 0 / 0 | 0 / 0 | -0.0623978 / 0.0623978 |
 | btag B EV 1 | -0.017589 / 0.017589 | -0.0179658 / 0.0179658 | -0.0211249 / 0.0211249 | -0.0203165 / 0.0203165 | -0.0188073 / 0.0188073 | 0 / 0 | 0 / 0 | -0.0152599 / 0.0152599 | 0 / 0 | 0 / 0 | -0.0160024 / 0.0160024 | -0.0222484 / 0.0222484 | -0.0171656 / 0.0171656 | -0.0236018 / 0.0236018 | 0 / 0 | 0 / 0 | -0.0212119 / 0.0212119 |
 | btag B EV 2 | 0.0117768 / -0.0117768 | 0.0110245 / -0.0110245 | 0.0124576 / -0.0124576 | 0.00978283 / -0.00978283 | 0.00991941 / -0.00991941 | 0 / 0 | 0 / 0 | 0.011647 / -0.011647 | 0 / 0 | 0 / 0 | 0.0119692 / -0.0119692 | 0.00937998 / -0.00937998 | 0.0114661 / -0.0114661 | 0.00695542 / -0.00695542 | 0 / 0 | 0 / 0 | 0.016022 / -0.016022 |
 | btag B EV 3 | 0.000357191 / -0.000357191 | 0.000509411 / -0.000509411 | -0.000107622 / 0.000107622 | 0.000496794 / -0.000496794 | 0.000564816 / -0.000564816 | 0 / 0 | 0 / 0 | -0.00242272 / 0.00242272 | 0 / 0 | 0 / 0 | -0.00190485 / 0.00190485 | -0.0010766 / 0.0010766 | -0.00188444 / 0.00188444 | 0.000993604 / -0.000993604 | 0 / 0 | 0 / 0 | -7.85662e-05 / 7.85662e-05 |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 0 | -0.0981324 / 0.0981324 | -0.135216 / 0.135216 | -0.00327384 / 0.00327384 | -0.0295843 / 0.0295843 | -0.00548254 / 0.00548254 | -0.000529649 / 0.000529649 | -0.352727 / 0.352727 | -0.0291709 / 0.0291709 | -0.0273861 / 0.0273861 | -0.35855 / 0.35855 | -0.0286321 / 0.0286321 | -0.0400406 / 0.0400406 | -0.031241 / 0.031241 | -0.00288808 / 0.00288808 | 0 / 0 | 0 / 0 | -0.00579448 / 0.00579448 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 0 | -0.110365 / 0.110365 | -0.0242173 / 0.0242173 | -0.00207536 / 0.00207536 | -0.0123745 / 0.0123745 | -0.00224322 / 0.00224322 | -0.958273 / 0.958273 | -0.280769 / 0.280769 | -0.041806 / 0.041806 | -0.975685 / 0.975685 | -0.259563 / 0.259563 | -0.033049 / 0.033049 | -0.0400127 / 0.0400127 | -0.0244342 / 0.0244342 | -0.000692068 / 0.000692068 | 0 / 0 | 0 / 0 | -0.000965782 / 0.000965782 |
 | btag L EV 1 | 0.000492546 / -0.000492546 | 0.000179374 / -0.000179374 | 2.01532e-05 / -2.01532e-05 | 4.52173e-05 / -4.52173e-05 | -1.53706e-05 / 1.53706e-05 | 0.00372935 / -0.00372935 | 0.000640139 / -0.000640139 | 7.3811e-06 / -7.3811e-06 | 0.00313038 / -0.00313038 | 0.000924876 / -0.000924876 | -0.000198635 / 0.000198635 | -0.000535587 / 0.000535587 | 0.000142286 / -0.000142286 | 5.20076e-05 / -5.20076e-05 | 0 / 0 | 0 / 0 | -9.27181e-05 / 9.27181e-05 |
 | btag L EV 2 | -0.000155002 / 0.000155002 | 3.5252e-05 / -3.5252e-05 | 1.90317e-06 / -1.90317e-06 | 0.000128621 / -0.000128621 | 7.01767e-06 / -7.01767e-06 | 0.00156203 / -0.00156203 | 0.000562853 / -0.000562853 | 0.000738746 / -0.000738746 | 0.00215315 / -0.00215315 | 0.000649588 / -0.000649588 | -0.00135951 / 0.00135951 | 0.000155818 / -0.000155818 | 4.71581e-05 / -4.71581e-05 | -1.70058e-05 / 1.70058e-05 | 0 / 0 | 0 / 0 | 2.42954e-05 / -2.42954e-05 |
 | btag L EV 3 | -0.000234831 / 0.000234831 | -3.53329e-05 / 3.53329e-05 | 3.81867e-06 / -3.81867e-06 | -7.51291e-06 / 7.51291e-06 | -1.50936e-05 / 1.50936e-05 | -0.000842401 / 0.000842401 | -0.000321767 / 0.000321767 | -0.000306736 / 0.000306736 | -0.00209137 / 0.00209137 | -0.000541472 / 0.000541472 | 0.000585531 / -0.000585531 | -0.000112616 / 0.000112616 | 0.000111365 / -0.000111365 | -1.62159e-05 / 1.62159e-05 | 0 / 0 | 0 / 0 | -4.22499e-05 / 4.22499e-05 |
 | btag L EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 5 | -3.11943e-05 / 3.11943e-05 | -1.60245e-05 / 1.60245e-05 | -8.43743e-06 / 8.43743e-06 | -9.12027e-07 / 9.12027e-07 | -2.57984e-06 / 2.57984e-06 | -0.000447268 / 0.000447268 | -0.000128636 / 0.000128636 | -1.62199e-05 / 1.62199e-05 | -0.000463947 / 0.000463947 | 5.53593e-06 / -5.53593e-06 | -0.000116865 / 0.000116865 | -1.07649e-05 / 1.07649e-05 | 4.64495e-06 / -4.64495e-06 | -1.09749e-05 / 1.09749e-05 | 0 / 0 | 0 / 0 | 3.72302e-06 / -3.72302e-06 |
 | btag L EV 6 | 4.46923e-05 / -4.46923e-05 | 9.05069e-06 / -9.05069e-06 | -2.57265e-06 / 2.57265e-06 | 1.22321e-06 / -1.22321e-06 | 2.47413e-06 / -2.47413e-06 | 0.000191094 / -0.000191094 | -1.00632e-05 / 1.00632e-05 | -2.74191e-06 / 2.74191e-06 | 0.000425799 / -0.000425799 | 0.000136758 / -0.000136758 | 0.000247467 / -0.000247467 | 2.6503e-05 / -2.6503e-05 | -3.17978e-05 / 3.17978e-05 | 1.96733e-06 / -1.96733e-06 | 0 / 0 | 0 / 0 | 6.06318e-06 / -6.06318e-06 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 11 | -0.0389369 / 0.0389369 | -0.0106345 / 0.0106345 | -0.000651715 / 0.000651715 | -0.00623798 / 0.00623798 | -0.00075646 / 0.00075646 | -0.414362 / 0.414362 | -0.0870335 / 0.0870335 | -0.0214995 / 0.0214995 | -0.375782 / 0.375782 | -0.0791006 / 0.0791006 | -0.0114524 / 0.0114524 | -0.015618 / 0.015618 | -0.0094994 / 0.0094994 | -0.00124984 / 0.00124984 | 0 / 0 | 0 / 0 | -0.00113273 / 0.00113273 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 13 | 0.0285702 / -0.0285702 | 0.00729523 / -0.00729523 | 0.000160857 / -0.000160857 | 0.00225264 / -0.00225264 | 0.00074222 / -0.00074222 | 0.260121 / -0.260121 | 0.0534374 / -0.0534374 | 0.00804806 / -0.00804806 | 0.262001 / -0.262001 | 0.0658978 / -0.0658978 | 0.0128916 / -0.0128916 | 0.0133851 / -0.0133851 | 0.00745742 / -0.00745742 | 0.000412324 / -0.000412324 | 0 / 0 | 0 / 0 | 0.000442305 / -0.000442305 |
 | btag L EV 14 | -0.0271767 / 0.0271767 | -0.00715979 / 0.00715979 | -0.000586158 / 0.000586158 | -0.00449412 / 0.00449412 | -0.000473801 / 0.000473801 | -0.280778 / 0.280778 | -0.0606761 / 0.0606761 | -0.0132397 / 0.0132397 | -0.253161 / 0.253161 | -0.052582 / 0.052582 | -0.00579844 / 0.00579844 | -0.0100095 / 0.0100095 | -0.00854578 / 0.00854578 | -0.00076929 / 0.00076929 | 0 / 0 | 0 / 0 | -0.000645438 / 0.000645438 |
 | btag L EV 15 | -0.00748245 / 0.00748245 | -0.00187489 / 0.00187489 | -0.000139698 / 0.000139698 | -0.000910788 / 0.000910788 | -0.000132639 / 0.000132639 | -0.066472 / 0.066472 | -0.014323 / 0.014323 | -0.00255319 / 0.00255319 | -0.0658189 / 0.0658189 | -0.0139419 / 0.0139419 | -0.00230861 / 0.00230861 | -0.00328776 / 0.00328776 | -0.00214579 / 0.00214579 | -0.000200382 / 0.000200382 | 0 / 0 | 0 / 0 | -4.29447e-05 / 4.29447e-05 |
 | btag L EV 16 | 0.00394421 / -0.00394421 | 0.000290104 / -0.000290104 | -5.23415e-05 / 5.23415e-05 | -0.000303131 / 0.000303131 | 4.9525e-05 / -4.9525e-05 | 0.0315745 / -0.0315745 | 0.0096524 / -0.0096524 | -0.000709672 / 0.000709672 | 0.0421652 / -0.0421652 | 0.0133085 / -0.0133085 | 0.00365126 / -0.00365126 | 0.00192492 / -0.00192492 | -0.000251063 / 0.000251063 | 0.000394024 / -0.000394024 | 0 / 0 | 0 / 0 | -5.43094e-05 / 5.43094e-05 |
 | b-tag extrap. | 0.00342417 / -0.00342417 | 0.00754497 / -0.00754497 | 0.00153467 / -0.00153467 | 0.00360483 / -0.00360483 | 0.00126997 / -0.00126997 | 1.20221e-05 / -1.20221e-05 | 0.0234962 / -0.0234962 | 0.00559441 / -0.00559441 | 0.00076096 / -0.00076096 | 0.0199331 / -0.0199331 | 0.00208263 / -0.00208263 | 0.00494032 / -0.00494032 | 0.00480349 / -0.00480349 | 0.00324926 / -0.00324926 | 0 / 0 | 0 / 0 | 0.000228997 / -0.000228997 |
 | b-tag extrap. from charm | 0.0040447 / -0.0040447 | 0.00106208 / -0.00106208 | 0.000155921 / -0.000155921 | 0.0014277 / -0.0014277 | 0.00072943 / -0.00072943 | 0.0008402 / -0.0008402 | 0.000124937 / -0.000124937 | 3.06917e-05 / -3.06917e-05 | 0.0459326 / -0.0459326 | 0.0104033 / -0.0104033 | 0.00348395 / -0.00348395 | 0.00113551 / -0.00113551 | 0.000236957 / -0.000236957 | 0.00025764 / -0.00025764 | 0 / 0 | 0 / 0 | 0.00035875 / -0.00035875 |
 | JVT uncertainty | 0.010073 / -0.010073 | 0.009553 / -0.009553 | 0.00928087 / -0.00928087 | 0.00784734 / -0.00784734 | 0.00819061 / -0.00819061 | 0.0116353 / -0.0116353 | 0.0117557 / -0.0117557 | 0.00999518 / -0.00999518 | 0.0115132 / -0.0115132 | 0.0114926 / -0.0114926 | 0.0104132 / -0.0104132 | 0.0101913 / -0.0101913 | 0.0102823 / -0.0102823 | 0.00613424 / -0.00613424 | 0 / 0 | 0 / 0 | 0.0103417 / -0.0103417 |
 | Electron E_{T} res. | 0.000286714 / -0.000286714 | -0.000172312 / 0.000172312 | 7.86663e-05 / -7.86663e-05 | 0.000119292 / -0.000119292 | -0.000125385 / 0.000125385 | 0.000135224 / -0.000135224 | -0.000179179 / 0.000179179 | 0.000208735 / -0.000208735 | -0.000344968 / 0.000344968 | -0.0352986 / 0.0352986 | -0.00418139 / 0.00418139 | 0.00109089 / -0.00109089 | -0.000100089 / 0.000100089 | 0.000162957 / -0.000162957 | 0 / 0 | 0 / 0 | -0.000552087 / 0.000552087 |
 | Electron E_{T} scale | 0.000496954 / -0.000496954 | 0.000149665 / -0.000149665 | 0.000268201 / -0.000268201 | 0.000134799 / -0.000134799 | 0.000289641 / -0.000289641 | 0.000313719 / -0.000313719 | 4.87992e-05 / -4.87992e-05 | 0.000187995 / -0.000187995 | -0.000586246 / 0.000586246 | 0.0357472 / -0.0357472 | -0.000341608 / 0.000341608 | 0.000462608 / -0.000462608 | 0.000174529 / -0.000174529 | 0.000356618 / -0.000356618 | 0 / 0 | 0 / 0 | 0.000756527 / -0.000756527 |
 | Muon ID p_{T} res. | 0.000136661 / -0.000136661 | -0.000368763 / 0.000368763 | 5.09311e-05 / -5.09311e-05 | -0.000134605 / 0.000134605 | 2.76434e-05 / -2.76434e-05 | -6.27933e-06 / 6.27933e-06 | -3.72595e-05 / 3.72595e-05 | 0.000325942 / -0.000325942 | 1.19488e-06 / -1.19488e-06 | -0.00075094 / 0.00075094 | 1.70136e-06 / -1.70136e-06 | 1.97564e-05 / -1.97564e-05 | -0.000147525 / 0.000147525 | 4.70417e-06 / -4.70417e-06 | 0 / 0 | 0 / 0 | 0.000157365 / -0.000157365 |
 | Muon MS p_{T} res. | 8.90927e-05 / -8.90927e-05 | 0.000817241 / -0.000817241 | 0.000126285 / -0.000126285 | -0.000116925 / 0.000116925 | 0.000154674 / -0.000154674 | -0.00107028 / 0.00107028 | -0.000337036 / 0.000337036 | -0.000224957 / 0.000224957 | -0.000559098 / 0.000559098 | -0.00288923 / 0.00288923 | 0.00362097 / -0.00362097 | -0.00101049 / 0.00101049 | -0.000130418 / 0.000130418 | 0.000218965 / -0.000218965 | 0 / 0 | 0 / 0 | -0.00033083 / 0.00033083 |
 | Muon p_{T} scale | -0.000200043 / 0.000200043 | -9.10972e-07 / 9.10972e-07 | -0.000199151 / 0.000199151 | -0.000212521 / 0.000212521 | -0.000256808 / 0.000256808 | -0.000171393 / 0.000171393 | -0.00457051 / 0.00457051 | -8.63942e-05 / 8.63942e-05 | -0.000374147 / 0.000374147 | 0.000184878 / -0.000184878 | 9.61735e-06 / -9.61735e-06 | -4.65524e-06 / 4.65524e-06 | -0.000108583 / 0.000108583 | 7.60139e-05 / -7.60139e-05 | 0 / 0 | 0 / 0 | -0.000235366 / 0.000235366 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Effective NP 1 | 0.0438301 / -0.0438301 | 0.0329467 / -0.0329467 | 0.0297132 / -0.0297132 | 0.0209839 / -0.0209839 | 0.0228979 / -0.0228979 | 0.0758973 / -0.0758973 | 0.0725731 / -0.0725731 | 0.054957 / -0.054957 | 0.0768985 / -0.0768985 | 0.0571547 / -0.0571547 | 0.0583161 / -0.0583161 | 0.0415712 / -0.0415712 | 0.0395214 / -0.0395214 | 0.00490364 / -0.00490364 | 0 / 0 | 0 / 0 | 0.0438691 / -0.0438691 |
 | Effective NP 2 | -0.014444 / 0.014444 | -0.00848966 / 0.00848966 | -0.00730567 / 0.00730567 | -0.00572924 / 0.00572924 | -0.00603756 / 0.00603756 | -0.0175401 / 0.0175401 | -0.0138316 / 0.0138316 | -0.0124291 / 0.0124291 | -0.0238765 / 0.0238765 | -0.0137149 / 0.0137149 | -0.0146711 / 0.0146711 | -0.0151309 / 0.0151309 | -0.00985901 / 0.00985901 | -0.00142436 / 0.00142436 | 0 / 0 | 0 / 0 | -0.0101027 / 0.0101027 |
 | Effective NP 3 | 0.00189109 / -0.00189109 | 0.000981391 / -0.000981391 | 0.00105018 / -0.00105018 | 0.00107499 / -0.00107499 | 0.000883661 / -0.000883661 | 0.00205316 / -0.00205316 | 0.00194493 / -0.00194493 | 0.00175981 / -0.00175981 | 0.00401729 / -0.00401729 | 0.000978684 / -0.000978684 | 0.000259074 / -0.000259074 | 0.00354159 / -0.00354159 | 0.00145407 / -0.00145407 | 0.000245502 / -0.000245502 | 0 / 0 | 0 / 0 | 0.00154643 / -0.00154643 |
 | Effective NP 4 | -0.00085772 / 0.00085772 | -0.000414391 / 0.000414391 | -0.000444711 / 0.000444711 | -0.000610468 / 0.000610468 | -0.000340418 / 0.000340418 | -0.00148176 / 0.00148176 | -0.000816223 / 0.000816223 | -0.000454703 / 0.000454703 | -0.00193827 / 0.00193827 | -0.000805346 / 0.000805346 | 0.00011985 / -0.00011985 | -0.00099504 / 0.00099504 | -6.65505e-06 / 6.65505e-06 | -0.000119841 / 0.000119841 | 0 / 0 | 0 / 0 | -0.000241523 / 0.000241523 |
 | Effective NP 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Effective NP 6 | 0.00243848 / -0.00243848 | 0.00128861 / -0.00128861 | 0.00123442 / -0.00123442 | 0.00130689 / -0.00130689 | 0.00115372 / -0.00115372 | 0.00245947 / -0.00245947 | 0.00278947 / -0.00278947 | 0.00243856 / -0.00243856 | 0.0052467 / -0.0052467 | 0.00181168 / -0.00181168 | 0.000779306 / -0.000779306 | 0.00488889 / -0.00488889 | 0.00202985 / -0.00202985 | 0.000427722 / -0.000427722 | 0 / 0 | 0 / 0 | 0.00190382 / -0.00190382 |
