 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon TTVA (syst.) | 0.000392556 / -0.000392556 | 0.000386208 / -0.000386208 | 0.000370651 / -0.000370651 | 0.00034377 / -0.00034377 | 0.000371814 / -0.000371814 | 0.000226378 / -0.000226378 | 0.000246018 / -0.000246018 | 0.000208855 / -0.000208855 | 0.000172138 / -0.000172138 | 0.00013417 / -0.00013417 | 0.000214756 / -0.000214756 | 0.000401497 / -0.000401497 | 0.000355601 / -0.000355601 | 0.000258446 / -0.000258446 | 0 / 0 | 0 / 0 | 0.000315666 / -0.000315666 |
 | Pile-up uncertainty | -0.000685394 / 0.000685394 | -0.00236997 / 0.00236997 | 0.00043717 / -0.00043717 | -0.00650594 / 0.00650594 | 0.00122145 / -0.00122145 | 0.0179472 / -0.0179472 | 0.0418904 / -0.0418904 | 0.0133095 / -0.0133095 | 0.0277206 / -0.0277206 | 0.00855815 / -0.00855815 | 0.00995883 / -0.00995883 | 0.00304514 / -0.00304514 | 0.0136166 / -0.0136166 | -0.0145807 / 0.0145807 | 0 / 0 | 0 / 0 | -0.00613782 / 0.00613782 |
 | btag B EV 0 | -0.0448696 / 0.0448696 | -0.0403325 / 0.0403325 | -0.0221694 / 0.0221694 | -0.0361685 / 0.0361685 | -0.0162436 / 0.0162436 | 0 / 0 | 0 / 0 | -0.0519976 / 0.0519976 | 0 / 0 | 0 / 0 | -0.0479561 / 0.0479561 | -0.0446458 / 0.0446458 | -0.0466098 / 0.0466098 | -0.0187085 / 0.0187085 | 0 / 0 | 0 / 0 | -0.0222466 / 0.0222466 |
 | btag B EV 1 | -0.0139188 / 0.0139188 | -0.0131591 / 0.0131591 | -0.00590113 / 0.00590113 | -0.0156765 / 0.0156765 | -0.00647914 / 0.00647914 | 0 / 0 | 0 / 0 | -0.0113101 / 0.0113101 | 0 / 0 | 0 / 0 | -0.0112395 / 0.0112395 | -0.0156005 / 0.0156005 | -0.0144998 / 0.0144998 | -0.0101517 / 0.0101517 | 0 / 0 | 0 / 0 | -0.00666881 / 0.00666881 |
 | btag B EV 2 | 0.011808 / -0.011808 | 0.0107329 / -0.0107329 | 0.00496995 / -0.00496995 | 0.00840497 / -0.00840497 | 0.00340569 / -0.00340569 | 0 / 0 | 0 / 0 | 0.00945184 / -0.00945184 | 0 / 0 | 0 / 0 | 0.0104386 / -0.0104386 | 0.00972745 / -0.00972745 | 0.00870264 / -0.00870264 | 0.00415424 / -0.00415424 | 0 / 0 | 0 / 0 | 0.00530899 / -0.00530899 |
 | btag B EV 3 | -0.000632077 / 0.000632077 | -0.000478178 / 0.000478178 | -0.000523895 / 0.000523895 | 0.000331551 / -0.000331551 | 0.000117183 / -0.000117183 | 0 / 0 | 0 / 0 | -0.00103059 / 0.00103059 | 0 / 0 | 0 / 0 | -0.00128341 / 0.00128341 | -0.000449687 / 0.000449687 | -0.000709563 / 0.000709563 | 0.00069955 / -0.00069955 | 0 / 0 | 0 / 0 | -0.000634313 / 0.000634313 |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 0 | -0.00488526 / 0.00488526 | -0.0140549 / 0.0140549 | -0.00124961 / 0.00124961 | -0.00616717 / 0.00616717 | -0.00243121 / 0.00243121 | -0.000458539 / 0.000458539 | -0.237189 / 0.237189 | -0.00540137 / 0.00540137 | -0.0137598 / 0.0137598 | -0.237706 / 0.237706 | -0.00336659 / 0.00336659 | -0.00565392 / 0.00565392 | -0.00781721 / 0.00781721 | -0.00225848 / 0.00225848 | 0 / 0 | 0 / 0 | -0.00433499 / 0.00433499 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 0 | -0.00253406 / 0.00253406 | -0.0012452 / 0.0012452 | -0.000993818 / 0.000993818 | -0.00196913 / 0.00196913 | -0.000119299 / 0.000119299 | -0.859148 / 0.859148 | -0.160661 / 0.160661 | -0.00364569 / 0.00364569 | -0.846524 / 0.846524 | -0.148291 / 0.148291 | -0.0028685 / 0.0028685 | -0.00260773 / 0.00260773 | -0.0018211 / 0.0018211 | 0.000699043 / -0.000699043 | 0 / 0 | 0 / 0 | -0.0013909 / 0.0013909 |
 | btag L EV 1 | -8.22544e-06 / 8.22544e-06 | 2.25604e-05 / -2.25604e-05 | -1.0252e-05 / 1.0252e-05 | 1.89543e-05 / -1.89543e-05 | -1.63019e-05 / 1.63019e-05 | 0.00208995 / -0.00208995 | -0.000187665 / 0.000187665 | 0.000189304 / -0.000189304 | 0.00245139 / -0.00245139 | 0.000168681 / -0.000168681 | 0.000272006 / -0.000272006 | -2.66731e-05 / 2.66731e-05 | -4.24385e-05 / 4.24385e-05 | -1.17719e-05 / 1.17719e-05 | 0 / 0 | 0 / 0 | -2.46465e-05 / 2.46465e-05 |
 | btag L EV 2 | 1.19209e-07 / -1.19209e-07 | 1.45137e-05 / -1.45137e-05 | 9.77516e-06 / -9.77516e-06 | -2.74777e-05 / 2.74777e-05 | -2.89083e-06 / 2.89083e-06 | 0.000752777 / -0.000752777 | -0.00021705 / 0.00021705 | 0.000400215 / -0.000400215 | 0.00165558 / -0.00165558 | -0.000153154 / 0.000153154 | -0.000553936 / 0.000553936 | -3.69549e-06 / 3.69549e-06 | -0.000140935 / 0.000140935 | 1.3113e-06 / -1.3113e-06 | 0 / 0 | 0 / 0 | 2.39015e-05 / -2.39015e-05 |
 | btag L EV 3 | -3.75509e-06 / 3.75509e-06 | 8.91089e-06 / -8.91089e-06 | -2.17557e-06 / 2.17557e-06 | -3.15309e-05 / 3.15309e-05 | -1.06394e-05 / 1.06394e-05 | -0.0005458 / 0.0005458 | 0.000386894 / -0.000386894 | -0.000139832 / 0.000139832 | 7.30455e-05 / -7.30455e-05 | -0.000428438 / 0.000428438 | 1.21593e-05 / -1.21593e-05 | -1.0848e-05 / 1.0848e-05 | 6.6489e-05 / -6.6489e-05 | -1.63913e-06 / 1.63913e-06 | 0 / 0 | 0 / 0 | 1.28448e-05 / -1.28448e-05 |
 | btag L EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 5 | 1.19209e-06 / -1.19209e-06 | -7.7486e-07 / 7.7486e-07 | -2.17557e-06 / 2.17557e-06 | -9.23872e-07 / 9.23872e-07 | -8.9407e-08 / 8.9407e-08 | -0.000289828 / 0.000289828 | -0.000136346 / 0.000136346 | -1.07586e-05 / 1.07586e-05 | -0.00030598 / 0.00030598 | -8.74996e-05 / 8.74996e-05 | 3.72231e-05 / -3.72231e-05 | 8.34465e-07 / -8.34465e-07 | 1.50204e-05 / -1.50204e-05 | -5.66244e-07 / 5.66244e-07 | 0 / 0 | 0 / 0 | 4.20213e-06 / -4.20213e-06 |
 | btag L EV 6 | 9.53674e-07 / -9.53674e-07 | -1.19209e-06 / 1.19209e-06 | 3.27826e-07 / -3.27826e-07 | 3.57628e-06 / -3.57628e-06 | 5.06639e-07 / -5.06639e-07 | 8.56221e-05 / -8.56221e-05 | -4.3273e-05 / 4.3273e-05 | 1.10865e-05 / -1.10865e-05 | 7.06017e-05 / -7.06017e-05 | -1.2666e-05 / 1.2666e-05 | -6.27041e-05 / 6.27041e-05 | 3.24845e-06 / -3.24845e-06 | 8.49664e-05 / -8.49664e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -4.08292e-06 / 4.08292e-06 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 11 | -0.000902593 / 0.000902593 | -0.000805438 / 0.000805438 | -0.0001432 / 0.0001432 | -0.00140983 / 0.00140983 | -6.23763e-05 / 6.23763e-05 | -0.247121 / 0.247121 | -0.044304 / 0.044304 | -0.0037913 / 0.0037913 | -0.209116 / 0.209116 | -0.0402836 / 0.0402836 | -0.00204721 / 0.00204721 | -0.00113979 / 0.00113979 | -0.00462443 / 0.00462443 | 0.000421703 / -0.000421703 | 0 / 0 | 0 / 0 | 0.000238985 / -0.000238985 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 13 | 0.000799894 / -0.000799894 | 0.00028345 / -0.00028345 | 6.24657e-05 / -6.24657e-05 | 0.00031215 / -0.00031215 | 0.000134408 / -0.000134408 | 0.204556 / -0.204556 | 0.0367546 / -0.0367546 | 0.000758857 / -0.000758857 | 0.217505 / -0.217505 | 0.0362714 / -0.0362714 | -0.00167647 / 0.00167647 | 0.00102785 / -0.00102785 | 0.0017629 / -0.0017629 | -0.000107586 / 0.000107586 | 0 / 0 | 0 / 0 | -0.000395983 / 0.000395983 |
 | btag L EV 14 | -0.00061813 / 0.00061813 | -0.000599295 / 0.000599295 | -0.000184149 / 0.000184149 | -0.00103506 / 0.00103506 | 2.02358e-05 / -2.02358e-05 | -0.165593 / 0.165593 | -0.0293618 / 0.0293618 | -0.00367674 / 0.00367674 | -0.133671 / 0.133671 | -0.0279631 / 0.0279631 | -0.00544789 / 0.00544789 | -0.00070256 / 0.00070256 | -0.002597 / 0.002597 | 0.000282675 / -0.000282675 | 0 / 0 | 0 / 0 | -0.000113249 / 0.000113249 |
 | btag L EV 15 | -0.000210971 / 0.000210971 | -0.000171423 / 0.000171423 | -6.73831e-05 / 6.73831e-05 | -0.000211 / 0.000211 | 2.82526e-05 / -2.82526e-05 | -0.044289 / 0.044289 | -0.00815302 / 0.00815302 | 2.5183e-05 / -2.5183e-05 | -0.0403881 / 0.0403881 | -0.00821105 / 0.00821105 | -0.00160947 / 0.00160947 | -0.000218302 / 0.000218302 | -7.44462e-05 / 7.44462e-05 | 3.24547e-05 / -3.24547e-05 | 0 / 0 | 0 / 0 | -4.63128e-05 / 4.63128e-05 |
 | btag L EV 16 | 0.000106156 / -0.000106156 | -7.17938e-05 / 7.17938e-05 | -1.14143e-05 / 1.14143e-05 | -0.00019595 / 0.00019595 | -2.90573e-05 / 2.90573e-05 | 0.0269233 / -0.0269233 | 0.005795 / -0.005795 | -0.000136107 / 0.000136107 | 0.0237899 / -0.0237899 | 0.00661126 / -0.00661126 | 0.00157371 / -0.00157371 | 1.78814e-07 / -1.78814e-07 | 0.00112003 / -0.00112003 | 2.66433e-05 / -2.66433e-05 | 0 / 0 | 0 / 0 | 3.99947e-05 / -3.99947e-05 |
 | b-tag extrap. | 0.000483394 / -0.000483394 | 0.00082764 / -0.00082764 | 0.000264078 / -0.000264078 | 0.00135776 / -0.00135776 | 0.000362873 / -0.000362873 | 2.6226e-06 / -2.6226e-06 | 0.0156055 / -0.0156055 | 0.00114089 / -0.00114089 | 0.000267982 / -0.000267982 | 0.00994572 / -0.00994572 | 0.000436395 / -0.000436395 | 0.00130743 / -0.00130743 | 0.00199935 / -0.00199935 | -0.00178373 / 0.00178373 | 0 / 0 | 0 / 0 | 0.000502408 / -0.000502408 |
 | b-tag extrap. from charm | 0.000174582 / -0.000174582 | 0.000127435 / -0.000127435 | 0.000259161 / -0.000259161 | 0.00021866 / -0.00021866 | 0.000456244 / -0.000456244 | 0.000810564 / -0.000810564 | 3.01003e-05 / -3.01003e-05 | 8.34465e-07 / -8.34465e-07 | 0.0226454 / -0.0226454 | -0.00139737 / 0.00139737 | -0.000227243 / 0.000227243 | 4.9293e-05 / -4.9293e-05 | 0.000188738 / -0.000188738 | 0.00208467 / -0.00208467 | 0 / 0 | 0 / 0 | 0.000247777 / -0.000247777 |
 | JVT uncertainty | 0.00663027 / -0.00663027 | 0.00530481 / -0.00530481 | 0.00529611 / -0.00529611 | 0.00225294 / -0.00225294 | 0.00259498 / -0.00259498 | 0.00888583 / -0.00888583 | 0.00825778 / -0.00825778 | 0.00642258 / -0.00642258 | 0.00954112 / -0.00954112 | 0.00746158 / -0.00746158 | 0.00760913 / -0.00760913 | 0.00767073 / -0.00767073 | 0.00668558 / -0.00668558 | -0.00288403 / 0.00288403 | 0 / 0 | 0 / 0 | 0.00859293 / -0.00859293 |
 | Electron E_{T} res. | 7.03335e-05 / -7.03335e-05 | 0.000207394 / -0.000207394 | -0.000131279 / 0.000131279 | 0.000155836 / -0.000155836 | 0.000332415 / -0.000332415 | 0.000308931 / -0.000308931 | 0.000360847 / -0.000360847 | -0.000213712 / 0.000213712 | -0.000331253 / 0.000331253 | -0.00196651 / 0.00196651 | -0.00149533 / 0.00149533 | 0.000431031 / -0.000431031 | -0.000597954 / 0.000597954 | 0.000141591 / -0.000141591 | 0 / 0 | 0 / 0 | -0.00155157 / 0.00155157 |
 | Electron E_{T} scale | 0.000327021 / -0.000327021 | 0.00033313 / -0.00033313 | 0.000397563 / -0.000397563 | 0.000293672 / -0.000293672 | 0.000250906 / -0.000250906 | 0.000675917 / -0.000675917 | 0.00165781 / -0.00165781 | 2.58088e-05 / -2.58088e-05 | -0.00019449 / 0.00019449 | -0.000146747 / 0.000146747 | 0.00320646 / -0.00320646 | 0.000876248 / -0.000876248 | 0.000404596 / -0.000404596 | -3.02494e-05 / 3.02494e-05 | 0 / 0 | 0 / 0 | -0.000156462 / 0.000156462 |
 | Muon ID p_{T} res. | -4.56274e-05 / 4.56274e-05 | 0.000245929 / -0.000245929 | 0.000150353 / -0.000150353 | -0.000153512 / 0.000153512 | -0.000145882 / 0.000145882 | -0.000728875 / 0.000728875 | -0.000897616 / 0.000897616 | 0.00139114 / -0.00139114 | -0.000190407 / 0.000190407 | -0.000138938 / 0.000138938 | 0.000777811 / -0.000777811 | 0.0004282 / -0.0004282 | -0.000415027 / 0.000415027 | -0.00239351 / 0.00239351 | 0 / 0 | 0 / 0 | 0.00175297 / -0.00175297 |
 | Muon MS p_{T} res. | 0.000123948 / -0.000123948 | -6.55055e-05 / 6.55055e-05 | 5.23031e-05 / -5.23031e-05 | 0.000233471 / -0.000233471 | -0.000452578 / 0.000452578 | 0.000424981 / -0.000424981 | 0.00072965 / -0.00072965 | 0.012131 / -0.012131 | -0.000133425 / 0.000133425 | 0.000596404 / -0.000596404 | 5.64456e-05 / -5.64456e-05 | 0.000449508 / -0.000449508 | -0.00344011 / 0.00344011 | -8.91089e-06 / 8.91089e-06 | 0 / 0 | 0 / 0 | -0.000443906 / 0.000443906 |
 | Muon p_{T} scale | -0.00028953 / 0.00028953 | -0.000220627 / 0.000220627 | -0.000179321 / 0.000179321 | -0.000198513 / 0.000198513 | 7.35223e-05 / -7.35223e-05 | -0.000790656 / 0.000790656 | -0.000153691 / 0.000153691 | -0.000401855 / 0.000401855 | 0.00031659 / -0.00031659 | 0.000138253 / -0.000138253 | 7.14958e-05 / -7.14958e-05 | -0.000317484 / 0.000317484 | 0.000165552 / -0.000165552 | -2.38419e-07 / 2.38419e-07 | 0 / 0 | 0 / 0 | 0.000253171 / -0.000253171 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Effective NP 1 | 0.0207115 / -0.0207115 | 0.008836 / -0.008836 | 0.00135413 / -0.00135413 | -0.0031015 / 0.0031015 | -0.0098266 / 0.0098266 | 0.0620482 / -0.0620482 | 0.0465461 / -0.0465461 | 0.0472443 / -0.0472443 | 0.0577812 / -0.0577812 | 0.0365865 / -0.0365865 | 0.0256413 / -0.0256413 | 0.0322586 / -0.0322586 | 0.0422378 / -0.0422378 | -0.0995552 / 0.0995552 | 0 / 0 | 0 / 0 | 0.0218077 / -0.0218077 |
 | Effective NP 2 | -0.00561562 / 0.00561562 | -0.0043489 / 0.0043489 | -0.00179392 / 0.00179392 | 0.000914872 / -0.000914872 | 0.00177479 / -0.00177479 | -0.0112801 / 0.0112801 | -0.016145 / 0.016145 | -0.00936237 / 0.00936237 | -0.0209271 / 0.0209271 | -0.00858498 / 0.00858498 | -0.0148318 / 0.0148318 | -0.00840673 / 0.00840673 | -0.0112383 / 0.0112383 | 0.0375595 / -0.0375595 | 0 / 0 | 0 / 0 | -0.00178066 / 0.00178066 |
 | Effective NP 3 | 0.000744522 / -0.000744522 | 0.000635654 / -0.000635654 | 0.000124127 / -0.000124127 | 0.00045979 / -0.00045979 | 0.000331908 / -0.000331908 | 0.00218216 / -0.00218216 | 0.00558409 / -0.00558409 | 0.00440419 / -0.00440419 | 0.00200754 / -0.00200754 | -0.00246617 / 0.00246617 | 0.00497535 / -0.00497535 | 2.32756e-05 / -2.32756e-05 | 0.00378221 / -0.00378221 | -0.00585938 / 0.00585938 | 0 / 0 | 0 / 0 | -0.00279835 / 0.00279835 |
 | Effective NP 4 | -0.000394434 / 0.000394434 | -0.000612885 / 0.000612885 | -0.000948459 / 0.000948459 | -0.000591427 / 0.000591427 | 0.00070098 / -0.00070098 | -0.00236782 / 0.00236782 | 0.000783771 / -0.000783771 | -0.00461608 / 0.00461608 | -0.00140822 / 0.00140822 | 0.000418991 / -0.000418991 | -0.00141844 / 0.00141844 | -0.000186473 / 0.000186473 | -0.00165457 / 0.00165457 | -0.00202975 / 0.00202975 | 0 / 0 | 0 / 0 | 0.00363851 / -0.00363851 |
 | Effective NP 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Effective NP 6 | 0.00105909 / -0.00105909 | 0.000824213 / -0.000824213 | 0.00025034 / -0.00025034 | -0.000223726 / 0.000223726 | -0.00094533 / 0.00094533 | 0.00269222 / -0.00269222 | 0.00117946 / -0.00117946 | 0.00406733 / -0.00406733 | 0.00453901 / -0.00453901 | 0.000727743 / -0.000727743 | -9.01818e-05 / 9.01818e-05 | 0.00142938 / -0.00142938 | 0.00366434 / -0.00366434 | -0.00300291 / 0.00300291 | 0 / 0 | 0 / 0 | 0.000977695 / -0.000977695 |
