 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | btag B EV 0 | -0.0442521 / 0.0442521 | -0.0411267 / 0.0411267 | -0.0281928 / 0.0281928 | -0.0381429 / 0.0381429 | -0.0230294 / 0.0230294 | 0 / 0 | 0 / 0 | -0.0542953 / 0.0542953 | 0 / 0 | 0 / 0 | -0.0573499 / 0.0573499 | -0.0465651 / 0.0465651 | -0.0491993 / 0.0491993 | -0.0233382 / 0.0233382 | 0 / 0 | 0 / 0 | -0.0245338 / 0.0245338 |
 | btag B EV 1 | -0.0144235 / 0.0144235 | -0.0135706 / 0.0135706 | -0.00785789 / 0.00785789 | -0.0167896 / 0.0167896 | -0.00927344 / 0.00927344 | 0 / 0 | 0 / 0 | -0.00945789 / 0.00945789 | 0 / 0 | 0 / 0 | -0.0074352 / 0.0074352 | -0.0141603 / 0.0141603 | -0.0120225 / 0.0120225 | -0.0117637 / 0.0117637 | 0 / 0 | 0 / 0 | -0.00740001 / 0.00740001 |
 | btag B EV 2 | 0.0122841 / -0.0122841 | 0.0112092 / -0.0112092 | 0.00661063 / -0.00661063 | 0.00938755 / -0.00938755 | 0.00546724 / -0.00546724 | 0 / 0 | 0 / 0 | 0.00948098 / -0.00948098 | 0 / 0 | 0 / 0 | 0.010745 / -0.010745 | 0.0108118 / -0.0108118 | 0.0102289 / -0.0102289 | 0.00289562 / -0.00289562 | 0 / 0 | 0 / 0 | 0.00644878 / -0.00644878 |
 | btag B EV 3 | -0.000528336 / 0.000528336 | -0.000352472 / 0.000352472 | -0.000481337 / 0.000481337 | 0.000406027 / -0.000406027 | 0.000262022 / -0.000262022 | 0 / 0 | 0 / 0 | -0.00188065 / 0.00188065 | 0 / 0 | 0 / 0 | -0.00242165 / 0.00242165 | -0.000706673 / 0.000706673 | -0.00151423 / 0.00151423 | 0.000233859 / -0.000233859 | 0 / 0 | 0 / 0 | -0.000546724 / 0.000546724 |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 0 | -0.00429696 / 0.00429696 | -0.0126233 / 0.0126233 | -0.00161403 / 0.00161403 | -0.00563258 / 0.00563258 | -0.0024538 / 0.0024538 | -5.85318e-05 / 5.85318e-05 | -0.232607 / 0.232607 | -0.00708121 / 0.00708121 | -0.0215102 / 0.0215102 | -0.245593 / 0.245593 | -0.00475067 / 0.00475067 | -0.00609875 / 0.00609875 | -0.00567698 / 0.00567698 | -0.00132287 / 0.00132287 | 0 / 0 | 0 / 0 | -0.00559705 / 0.00559705 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 0 | -0.00186673 / 0.00186673 | -0.00217319 / 0.00217319 | -0.000546515 / 0.000546515 | -0.00173125 / 0.00173125 | -0.00124186 / 0.00124186 | -0.929479 / 0.929479 | -0.190031 / 0.190031 | -0.00622129 / 0.00622129 | -0.861783 / 0.861783 | -0.157206 / 0.157206 | -0.00529069 / 0.00529069 | -0.00465938 / 0.00465938 | -0.00197849 / 0.00197849 | 0.000436574 / -0.000436574 | 0 / 0 | 0 / 0 | -0.00113472 / 0.00113472 |
 | btag L EV 1 | 7.89762e-06 / -7.89762e-06 | 1.9908e-05 / -1.9908e-05 | -1.81794e-06 / 1.81794e-06 | 1.69277e-05 / -1.69277e-05 | -8.73208e-06 / 8.73208e-06 | 0.00173873 / -0.00173873 | 0.000244051 / -0.000244051 | -0.000169992 / 0.000169992 | -1.41263e-05 / 1.41263e-05 | -0.000606865 / 0.000606865 | 0.000180811 / -0.000180811 | 2.30074e-05 / -2.30074e-05 | 3.88622e-05 / -3.88622e-05 | 5.33462e-06 / -5.33462e-06 | 0 / 0 | 0 / 0 | -3.98159e-05 / 3.98159e-05 |
 | btag L EV 2 | -1.78814e-06 / 1.78814e-06 | -6.88434e-06 / 6.88434e-06 | 2.6226e-06 / -2.6226e-06 | -4.08292e-06 / 4.08292e-06 | 1.53184e-05 / -1.53184e-05 | 0.000493377 / -0.000493377 | 0.00018549 / -0.00018549 | 2.94149e-05 / -2.94149e-05 | 6.41942e-05 / -6.41942e-05 | -0.000256807 / 0.000256807 | 4.87566e-05 / -4.87566e-05 | -7.27177e-06 / 7.27177e-06 | 0.000221312 / -0.000221312 | -2.77162e-06 / 2.77162e-06 | 0 / 0 | 0 / 0 | 4.17233e-06 / -4.17233e-06 |
 | btag L EV 3 | -1.10269e-06 / 1.10269e-06 | 0 / 0 | 5.96046e-08 / -5.96046e-08 | -8.73208e-06 / 8.73208e-06 | -2.5034e-06 / 2.5034e-06 | -0.000395715 / 0.000395715 | -0.000175893 / 0.000175893 | 5.97537e-05 / -5.97537e-05 | -0.000934213 / 0.000934213 | -0.000189662 / 0.000189662 | -0.000109971 / 0.000109971 | -5.63264e-06 / 5.63264e-06 | -2.29478e-05 / 2.29478e-05 | 2.71201e-06 / -2.71201e-06 | 0 / 0 | 0 / 0 | -3.9041e-06 / 3.9041e-06 |
 | btag L EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 5 | 5.06639e-07 / -5.06639e-07 | -1.40071e-06 / 1.40071e-06 | 5.06639e-07 / -5.06639e-07 | -2.95043e-06 / 2.95043e-06 | -5.36442e-06 / 5.36442e-06 | -0.000179172 / 0.000179172 | -2.563e-05 / 2.563e-05 | -3.06666e-05 / 3.06666e-05 | -0.000286937 / 0.000286937 | -9.6947e-05 / 9.6947e-05 | -3.69549e-06 / 3.69549e-06 | 2.11596e-06 / -2.11596e-06 | 1.97887e-05 / -1.97887e-05 | 6.25849e-07 / -6.25849e-07 | 0 / 0 | 0 / 0 | 1.54972e-06 / -1.54972e-06 |
 | btag L EV 6 | 5.06639e-07 / -5.06639e-07 | -6.25849e-07 / 6.25849e-07 | 2.08616e-07 / -2.08616e-07 | 1.93715e-06 / -1.93715e-06 | -2.68221e-07 / 2.68221e-07 | 0.000122368 / -0.000122368 | 6.11842e-05 / -6.11842e-05 | 1.31726e-05 / -1.31726e-05 | 0.000260949 / -0.000260949 | 0.000138253 / -0.000138253 | -9.77516e-06 / 9.77516e-06 | 3.75509e-06 / -3.75509e-06 | -4.50015e-06 / 4.50015e-06 | -4.76837e-07 / 4.76837e-07 | 0 / 0 | 0 / 0 | 1.87755e-06 / -1.87755e-06 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 11 | -0.000541627 / 0.000541627 | -0.000177234 / 0.000177234 | -0.000112981 / 0.000112981 | -0.000929654 / 0.000929654 | -0.000228852 / 0.000228852 | -0.216447 / 0.216447 | -0.0329019 / 0.0329019 | -0.00294012 / 0.00294012 | -0.184146 / 0.184146 | -0.0297798 / 0.0297798 | -0.00314435 / 0.00314435 | -0.000739127 / 0.000739127 | -0.00196561 / 0.00196561 | 0.000271112 / -0.000271112 | 0 / 0 | 0 / 0 | 0.000589579 / -0.000589579 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 13 | 0.000464708 / -0.000464708 | 0.000222951 / -0.000222951 | 0.000267386 / -0.000267386 | 0.000480771 / -0.000480771 | -1.94907e-05 / 1.94907e-05 | 0.216831 / -0.216831 | 0.042797 / -0.042797 | 0.000724733 / -0.000724733 | 0.211493 / -0.211493 | 0.0414479 / -0.0414479 | 0.00313178 / -0.00313178 | 0.000868917 / -0.000868917 | 0.00156042 / -0.00156042 | -4.93526e-05 / 4.93526e-05 | 0 / 0 | 0 / 0 | -0.000134885 / 0.000134885 |
 | btag L EV 14 | -0.000409424 / 0.000409424 | -0.000253767 / 0.000253767 | -3.62694e-05 / 3.62694e-05 | -0.000649422 / 0.000649422 | -0.000275373 / 0.000275373 | -0.150041 / 0.150041 | -0.0262985 / 0.0262985 | -0.00303212 / 0.00303212 | -0.126107 / 0.126107 | -0.0218767 / 0.0218767 | -0.00254938 / 0.00254938 | -0.000683993 / 0.000683993 | -0.00117958 / 0.00117958 | 0.000208795 / -0.000208795 | 0 / 0 | 0 / 0 | 0.000243396 / -0.000243396 |
 | btag L EV 15 | -0.000130355 / 0.000130355 | -6.59823e-05 / 6.59823e-05 | -2.17259e-05 / 2.17259e-05 | -0.000157118 / 0.000157118 | -5.95152e-05 / 5.95152e-05 | -0.0456043 / 0.0456043 | -0.00821853 / 0.00821853 | -0.00160137 / 0.00160137 | -0.0433362 / 0.0433362 | -0.00769165 / 0.00769165 | 0.00116509 / -0.00116509 | -0.00022614 / 0.00022614 | -0.000102609 / 0.000102609 | 4.8995e-05 / -4.8995e-05 | 0 / 0 | 0 / 0 | 1.75238e-05 / -1.75238e-05 |
 | btag L EV 16 | 9.74536e-06 / -9.74536e-06 | -5.76377e-05 / 5.76377e-05 | 6.45518e-05 / -6.45518e-05 | -9.53972e-05 / 9.53972e-05 | 1.72555e-05 / -1.72555e-05 | 0.0257454 / -0.0257454 | 0.00623637 / -0.00623637 | -1.67489e-05 / 1.67489e-05 | 0.0315641 / -0.0315641 | 0.00559685 / -0.00559685 | -0.00203156 / 0.00203156 | -2.58088e-05 / 2.58088e-05 | -9.55462e-05 / 9.55462e-05 | 5.87106e-06 / -5.87106e-06 | 0 / 0 | 0 / 0 | -1.16527e-05 / 1.16527e-05 |
 | b-tag extrap. | 0.000343323 / -0.000343323 | 0.000708193 / -0.000708193 | 0.000352204 / -0.000352204 | 0.00139531 / -0.00139531 | 0.000442177 / -0.000442177 | 1.66893e-06 / -1.66893e-06 | 0.00929803 / -0.00929803 | 0.000968724 / -0.000968724 | 0.000262082 / -0.000262082 | 0.00777835 / -0.00777835 | 0.000328243 / -0.000328243 | 0.000749767 / -0.000749767 | 0.000778079 / -0.000778079 | -0.000326932 / 0.000326932 | 0 / 0 | 0 / 0 | 0.000377148 / -0.000377148 |
 | b-tag extrap. from charm | 0.000244111 / -0.000244111 | 0.000166565 / -0.000166565 | 0.000100732 / -0.000100732 | 0.000530034 / -0.000530034 | 0.000179589 / -0.000179589 | 0.000101954 / -0.000101954 | 4.02331e-05 / -4.02331e-05 | 4.32134e-06 / -4.32134e-06 | 0.0347227 / -0.0347227 | 0.00709057 / -0.00709057 | 0.00186539 / -0.00186539 | 0.000110507 / -0.000110507 | -1.18613e-05 / 1.18613e-05 | -0.000322521 / 0.000322521 | 0 / 0 | 0 / 0 | 0.000496 / -0.000496 |
 | JVT uncertainty | 0.00340754 / -0.00340754 | 0.00202811 / -0.00202811 | 0.00224715 / -0.00224715 | -0.000900358 / 0.000900358 | -0.00142837 / 0.00142837 | 0.00726148 / -0.00726148 | 0.00553682 / -0.00553682 | 0.00608811 / -0.00608811 | 0.00746918 / -0.00746918 | 0.00726441 / -0.00726441 | 0.00685653 / -0.00685653 | 0.0053722 / -0.0053722 | 0.0056155 / -0.0056155 | -0.00824347 / 0.00824347 | 0 / 0 | 0 / 0 | 0.00536022 / -0.00536022 |
 | Electron E_{T} res. | 5.70714e-05 / -5.70714e-05 | 1.68979e-05 / -1.68979e-05 | -3.09944e-06 / 3.09944e-06 | 0.000101328 / -0.000101328 | 0.000513732 / -0.000513732 | 5.53429e-05 / -5.53429e-05 | -0.00079152 / 0.00079152 | 0.000687659 / -0.000687659 | -0.00115395 / 0.00115395 | -0.000855982 / 0.000855982 | 0.000136524 / -0.000136524 | -6.35684e-05 / 6.35684e-05 | 0.00125185 / -0.00125185 | -0.000453085 / 0.000453085 | 0 / 0 | 0 / 0 | -0.000372916 / 0.000372916 |
 | Electron E_{T} scale | 0.000283092 / -0.000283092 | 0.000291586 / -0.000291586 | 0.00070399 / -0.00070399 | 0.000296116 / -0.000296116 | 0.00028801 / -0.00028801 | 0.00032118 / -0.00032118 | 0.000466317 / -0.000466317 | 0.00136846 / -0.00136846 | 0.000584066 / -0.000584066 | -0.000559628 / 0.000559628 | -0.000815272 / 0.000815272 | 0.000674009 / -0.000674009 | 0.000302821 / -0.000302821 | 0.000453085 / -0.000453085 | 0 / 0 | 0 / 0 | -0.000310153 / 0.000310153 |
 | Muon ID p_{T} res. | -1.35601e-05 / 1.35601e-05 | -0.000127584 / 0.000127584 | -1.5527e-05 / 1.5527e-05 | 0.000168115 / -0.000168115 | 0.000116765 / -0.000116765 | -2.71201e-05 / 2.71201e-05 | -4.90248e-05 / 4.90248e-05 | 0.00132355 / -0.00132355 | -0.000215799 / 0.000215799 | -0.000893861 / 0.000893861 | -0.00116843 / 0.00116843 | -0.000179559 / 0.000179559 | 0.000457346 / -0.000457346 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000389606 / -0.000389606 |
 | Muon MS p_{T} res. | 3.32594e-05 / -3.32594e-05 | 1.07288e-06 / -1.07288e-06 | 0.000308007 / -0.000308007 | 9.05395e-05 / -9.05395e-05 | 8.52644e-05 / -8.52644e-05 | -3.85344e-05 / 3.85344e-05 | 3.58224e-05 / -3.58224e-05 | -0.000439137 / 0.000439137 | -0.00107285 / 0.00107285 | -5.26011e-05 / 5.26011e-05 | 0.000917554 / -0.000917554 | 0.000366658 / -0.000366658 | -0.00127274 / 0.00127274 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000315279 / -0.000315279 |
 | Muon p_{T} scale | -0.000189066 / 0.000189066 | -0.000224441 / 0.000224441 | -2.88486e-05 / 2.88486e-05 | -6.00815e-05 / 6.00815e-05 | -9.56655e-06 / 9.56655e-06 | -0.000665277 / 0.000665277 | -0.000189185 / 0.000189185 | -0.00026533 / 0.00026533 | -5.53131e-05 / 5.53131e-05 | 9.82284e-05 / -9.82284e-05 | 4.41372e-05 / -4.41372e-05 | -0.00037536 / 0.00037536 | -0.000643075 / 0.000643075 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000511616 / 0.000511616 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Effective NP 1 | 0.00041765 / -0.00041765 | -0.0148377 / 0.0148377 | -0.0177895 / 0.0177895 | -0.0184663 / 0.0184663 | -0.0316251 / 0.0316251 | 0.0498319 / -0.0498319 | 0.0559327 / -0.0559327 | 0.0318271 / -0.0318271 | 0.0541255 / -0.0541255 | 0.04866 / -0.04866 | 0.0426542 / -0.0426542 | 0.0162443 / -0.0162443 | 0.019625 / -0.019625 | -0.0614249 / 0.0614249 | 0 / 0 | 0 / 0 | 0.00278422 / -0.00278422 |
 | Effective NP 2 | -0.000708938 / 0.000708938 | 0.00339487 / -0.00339487 | 0.00282356 / -0.00282356 | 0.00473356 / -0.00473356 | 0.00777245 / -0.00777245 | -0.0127505 / 0.0127505 | -0.0133169 / 0.0133169 | -0.00869566 / 0.00869566 | -0.016489 / 0.016489 | -0.0119577 / 0.0119577 | -0.0129272 / 0.0129272 | -0.00395396 / 0.00395396 | 0.00147077 / -0.00147077 | 0.0381338 / -0.0381338 | 0 / 0 | 0 / 0 | -0.000555843 / 0.000555843 |
 | Effective NP 3 | 0.000308007 / -0.000308007 | 0.000413179 / -0.000413179 | 0.00109923 / -0.00109923 | -0.0015862 / 0.0015862 | -0.000859678 / 0.000859678 | 0.00170714 / -0.00170714 | 0.00192031 / -0.00192031 | 0.000890225 / -0.000890225 | 0.00669822 / -0.00669822 | 0.00284052 / -0.00284052 | 0.00166497 / -0.00166497 | 0.000759751 / -0.000759751 | -0.00128928 / 0.00128928 | 8.87215e-05 / -8.87215e-05 | 0 / 0 | 0 / 0 | -0.000188589 / 0.000188589 |
 | Effective NP 4 | -0.000405818 / 0.000405818 | -0.00109133 / 0.00109133 | -0.000964284 / 0.000964284 | 0.000807434 / -0.000807434 | -0.000194788 / 0.000194788 | -0.00166637 / 0.00166637 | -0.00101557 / 0.00101557 | -0.001288 / 0.001288 | -0.00393865 / 0.00393865 | -0.00250512 / 0.00250512 | -0.00124642 / 0.00124642 | -0.000913322 / 0.000913322 | 0.000537902 / -0.000537902 | -3.99053e-05 / 3.99053e-05 | 0 / 0 | 0 / 0 | -0.000450045 / 0.000450045 |
 | Effective NP 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Effective NP 6 | 0.000129849 / -0.000129849 | -0.000758648 / 0.000758648 | -0.00117135 / 0.00117135 | -0.00136927 / 0.00136927 | -0.00163531 / 0.00163531 | 0.00232732 / -0.00232732 | 0.00168946 / -0.00168946 | -0.000112683 / 0.000112683 | 0.00524241 / -0.00524241 | -0.00224021 / 0.00224021 | 0.00380695 / -0.00380695 | 0.000826329 / -0.000826329 | -6.46114e-05 / 6.46114e-05 | 4.67002e-05 / -4.67002e-05 | 0 / 0 | 0 / 0 | -0.000776827 / 0.000776827 |
