 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | btag L EV 11 | 0.0266118 / -0.0266118 | 0 / 0 | -0.00416803 / 0.00416803 | -0.000886635 / 0.000886635 | -0.00222582 / 0.00222582 | -0.493099 / 0.493099 | -0.0748577 / 0.0748577 | -0.015796 / 0.015796 | -0.400204 / 0.400204 | -0.07619 / 0.07619 | -0.00467592 / 0.00467592 | -0.014065 / 0.014065 | -0.00481517 / 0.00481517 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00405089 / -0.00405089 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | btag L EV 13 | -0.00582123 / 0.00582123 | 0 / 0 | -0.000527324 / 0.000527324 | -0.00042395 / 0.00042395 | -6.44609e-05 / 6.44609e-05 | 0.44066 / -0.44066 | 0.0687757 / -0.0687757 | 0.00923158 / -0.00923158 | 0.42729 / -0.42729 | 0.10265 / -0.10265 | 0.00748315 / -0.00748315 | 0.0606779 / -0.0606779 | 0.00287834 / -0.00287834 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00516475 / 0.00516475 |
 | btag L EV 14 | -0.0523224 / 0.0523224 | 0 / 0 | -0.0051421 / 0.0051421 | -0.000558697 / 0.000558697 | -0.00144409 / 0.00144409 | -0.325937 / 0.325937 | -0.0554602 / 0.0554602 | -0.0112642 / 0.0112642 | -0.268248 / 0.268248 | -0.0498224 / 0.0498224 | -0.00301385 / 0.00301385 | 0.00980411 / -0.00980411 | -0.00326961 / 0.00326961 | 0 / 0 | 0 / 0 | 0 / 0 | 0.00143951 / -0.00143951 |
 | btag L EV 15 | -0.0210546 / 0.0210546 | 0 / 0 | -0.00179588 / 0.00179588 | 0.000300697 / -0.000300697 | -6.55935e-05 / 6.55935e-05 | -0.0933269 / 0.0933269 | -0.0158113 / 0.0158113 | -0.00284249 / 0.00284249 | -0.0870131 / 0.0870131 | -0.0175378 / 0.0175378 | -0.00123305 / 0.00123305 | 0.00227337 / -0.00227337 | -0.000713249 / 0.000713249 | 0 / 0 | 0 / 0 | 0 / 0 | 0.000755133 / -0.000755133 |
 | btag L EV 16 | -0.0349244 / 0.0349244 | 0 / 0 | -0.00198806 / 0.00198806 | 0.000115461 / -0.000115461 | -0.000391062 / 0.000391062 | 0.0548768 / -0.0548768 | 0.0120061 / -0.0120061 | 0.000560215 / -0.000560215 | 0.0631267 / -0.0631267 | 0.0144732 / -0.0144732 | 0.00132267 / -0.00132267 | -0.00160568 / 0.00160568 | 0.000358461 / -0.000358461 | 0 / 0 | 0 / 0 | 0 / 0 | -0.00250816 / 0.00250816 |
 | b-tag extrap. | 0.00158784 / -0.00158784 | 0.00528168 / -0.00528168 | 0.00193785 / -0.00193785 | 0.0018307 / -0.0018307 | 0.00205 / -0.00205 | 1.30513e-05 / -1.30513e-05 | 0.0141203 / -0.0141203 | 0.00311494 / -0.00311494 | 0.000472639 / -0.000472639 | 0.0260575 / -0.0260575 | 0.000410496 / -0.000410496 | 0.00388356 / -0.00388356 | 0.00530005 / -0.00530005 | 0 / 0 | 0 / 0 | 0 / 0 | 0.0021691 / -0.0021691 |
 | b-tag extrap. from charm | 0 / 0 | 0.0554757 / -0.0554757 | 0.00484262 / -0.00484262 | 0.0022457 / -0.0022457 | 0.00148373 / -0.00148373 | 0.000657616 / -0.000657616 | 4.98539e-05 / -4.98539e-05 | 2.23143e-06 / -2.23143e-06 | 0.0614128 / -0.0614128 | 0.0160297 / -0.0160297 | 0.00255824 / -0.00255824 | 0.00977658 / -0.00977658 | 0.000623844 / -0.000623844 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | JVT uncertainty | 0.00375513 / -0.00375513 | 0.00151262 / -0.00151262 | -0.000462156 / 0.000462156 | -0.000953241 / 0.000953241 | -0.000543863 / 0.000543863 | 0.00726668 / -0.00726668 | 0.00507051 / -0.00507051 | 0.00865601 / -0.00865601 | 0.00787199 / -0.00787199 | 0.00193608 / -0.00193608 | 0.00878476 / -0.00878476 | 0.00554768 / -0.00554768 | 0.00533666 / -0.00533666 | -0.00490254 / 0.00490254 | 0 / 0 | 0 / 0 | 0.00620958 / -0.00620958 |
 | Electron E_{T} res. | 0 / 0 | 0 / 0 | -1.13473e-06 / 1.13473e-06 | -0.00108697 / 0.00108697 | -0.000456934 / 0.000456934 | 0.000116603 / -0.000116603 | -0.000119189 / 0.000119189 | 0.00198794 / -0.00198794 | -7.83909e-05 / 7.83909e-05 | 3.70873e-05 / -3.70873e-05 | 2.11298e-05 / -2.11298e-05 | 0 / 0 | -4.13358e-05 / 4.13358e-05 | 0.00054872 / -0.00054872 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Electron E_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0.000572476 / -0.000572476 | 0.000230864 / -0.000230864 | 0.000375792 / -0.000375792 | 0.00015696 / -0.00015696 | 6.79477e-05 / -6.79477e-05 | 0.00076866 / -0.00076866 | -5.75384e-05 / 5.75384e-05 | -6.72046e-06 / 6.72046e-06 | 0 / 0 | -3.38428e-06 / 3.38428e-06 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon ID p_{T} res. | 0 / 0 | 0.000253328 / -0.000253328 | -9.02786e-06 / 9.02786e-06 | 0.00072799 / -0.00072799 | 0.000359184 / -0.000359184 | -0.000133634 / 0.000133634 | -0.000105181 / 0.000105181 | -5.67974e-06 / 5.67974e-06 | -0.000918654 / 0.000918654 | 0.000201553 / -0.000201553 | -0.0662312 / 0.0662312 | 5.01771e-05 / -5.01771e-05 | 5.17168e-05 / -5.17168e-05 | 0 / 0 | 0 / 0 | 0 / 0 | 3.58495e-05 / -3.58495e-05 |
 | Muon MS p_{T} res. | 0 / 0 | 0 / 0 | -3.89672e-07 / 3.89672e-07 | 0.0007238 / -0.0007238 | -7.32779e-05 / 7.32779e-05 | -0.000107135 / 0.000107135 | -4.13656e-05 / 4.13656e-05 | -1.81951e-05 / 1.81951e-05 | -0.00100791 / 0.00100791 | 3.76569e-05 / -3.76569e-05 | 6.19881e-06 / -6.19881e-06 | 0 / 0 | -3.38428e-06 / 3.38428e-06 | 0 / 0 | 0 / 0 | 0 / 0 | -1.50718e-05 / 1.50718e-05 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | -0.000737841 / 0.000737841 | 0.000401496 / -0.000401496 | -0.000458664 / 0.000458664 | -9.69496e-05 / 9.69496e-05 | -1.2026e-05 / 1.2026e-05 | -0.000949308 / 0.000949308 | 7.93304e-05 / -7.93304e-05 | 2.8909e-06 / -2.8909e-06 | 0 / 0 | -6.42467e-07 / 6.42467e-07 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Effective NP 1 | -0.0389685 / 0.0389685 | -0.195194 / 0.195194 | -0.0232108 / 0.0232108 | -0.00608107 / 0.00608107 | -0.0274422 / 0.0274422 | 0.0583985 / -0.0583985 | 0.0395869 / -0.0395869 | 0.0220277 / -0.0220277 | 0.0661639 / -0.0661639 | 0.0375517 / -0.0375517 | 0.0291176 / -0.0291176 | -0.0465637 / 0.0465637 | -0.0154533 / 0.0154533 | -0.139096 / 0.139096 | 0 / 0 | 0 / 0 | -0.0031687 / 0.0031687 |
 | Effective NP 2 | -0.000174344 / 0.000174344 | -0.000222474 / 0.000222474 | 0.00753455 / -0.00753455 | 0.00154217 / -0.00154217 | 0.00690177 / -0.00690177 | -0.0142528 / 0.0142528 | -0.0107307 / 0.0107307 | -0.00371285 / 0.00371285 | -0.0159558 / 0.0159558 | -0.00490822 / 0.00490822 | -0.00774758 / 0.00774758 | -0.000270396 / 0.000270396 | -0.00934498 / 0.00934498 | -0.0033671 / 0.0033671 | 0 / 0 | 0 / 0 | -0.000746101 / 0.000746101 |
 | Effective NP 3 | 2.88188e-05 / -2.88188e-05 | 0.000214589 / -0.000214589 | -0.00013711 / 0.00013711 | -0.000627041 / 0.000627041 | -0.000967349 / 0.000967349 | 0.00109171 / -0.00109171 | 0.000538039 / -0.000538039 | 0.000407056 / -0.000407056 | 0.00349249 / -0.00349249 | -0.000340478 / 0.000340478 | 0.000700951 / -0.000700951 | 6.57108e-05 / -6.57108e-05 | -1.19278e-05 / 1.19278e-05 | 0.000154436 / -0.000154436 | 0 / 0 | 0 / 0 | -1.07288e-06 / 1.07288e-06 |
 | Effective NP 4 | 0.000109166 / -0.000109166 | -0.000112104 / 0.000112104 | 0.00135851 / -0.00135851 | 0.000739872 / -0.000739872 | 0.000727327 / -0.000727327 | -0.00170398 / 0.00170398 | -0.000388473 / 0.000388473 | 0.00011997 / -0.00011997 | -0.00173796 / 0.00173796 | 8.01947e-05 / -8.01947e-05 | 0.00048536 / -0.00048536 | -6.69691e-05 / 6.69691e-05 | 0.000395083 / -0.000395083 | -0.000138551 / 0.000138551 | 0 / 0 | 0 / 0 | 0.000102314 / -0.000102314 |
 | Effective NP 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -0 / -0 |
 | Effective NP 6 | 0.000138635 / -0.000138635 | 6.16014e-05 / -6.16014e-05 | -0.000110735 / 0.000110735 | -0.000687778 / 0.000687778 | -0.00127535 / 0.00127535 | 0.00239337 / -0.00239337 | -0.000678053 / 0.000678053 | 0.000759602 / -0.000759602 | 0.00330223 / -0.00330223 | 0.000408997 / -0.000408997 | 0.0014483 / -0.0014483 | 8.55591e-05 / -8.55591e-05 | 0.000221981 / -0.000221981 | 0.000144959 / -0.000144959 | 0 / 0 | 0 / 0 | 0.014003 / -0.014003 |
 | Effective NP 7 | 3.80671e-06 / -3.80671e-06 | 6.03535e-05 / -6.03535e-05 | 0.000277945 / -0.000277945 | 0.000757146 / -0.000757146 | 0.00189987 / -0.00189987 | -0.00444439 / 0.00444439 | 0.000930777 / -0.000930777 | -0.00025806 / 0.00025806 | -0.00619001 / 0.00619001 | 6.4075e-05 / -6.4075e-05 | -0.000630051 / 0.000630051 | -2.65241e-06 / 2.65241e-06 | -0.00787823 / 0.00787823 | 0.000148535 / -0.000148535 | 0 / 0 | 0 / 0 | -0.0138525 / 0.0138525 |
