 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | Muon Isol. (syst.) | 0.000332835 / -0.000332835 | 0.000319889 / -0.000319889 | 0.000331871 / -0.000331871 | 0.000402919 / -0.000402919 | 0.000388619 / -0.000388619 | 0.000376666 / -0.000376666 | 0.000403242 / -0.000403242 | 0.000354962 / -0.000354962 | 0.0002576 / -0.0002576 | 0.000331289 / -0.000331289 | 0.000366697 / -0.000366697 | 0.000380731 / -0.000380731 | 0.00046213 / -0.00046213 | 0 / 0 | 0 / 0 | 0.000611981 / -0.000611981 | 0.000340073 / -0.000340073 |
 | Muon TTVA (stat.) | 0.000378098 / -0.000378098 | 0.000369174 / -0.000369174 | 0.000369505 / -0.000369505 | 0.000371562 / -0.000371562 | 0.000370253 / -0.000370253 | 0.00037304 / -0.00037304 | 0.00037518 / -0.00037518 | 0.000352484 / -0.000352484 | 0.000247762 / -0.000247762 | 0.000318819 / -0.000318819 | 0.000317549 / -0.000317549 | 0.0003744 / -0.0003744 | 0.000365985 / -0.000365985 | 0 / 0 | 0 / 0 | 0.000424152 / -0.000424152 | 0.000392469 / -0.000392469 |
 | Muon TTVA (syst.) | 0.000380688 / -0.000380688 | 0.000390859 / -0.000390859 | 0.00034915 / -0.00034915 | 0.000380224 / -0.000380224 | 0.00037319 / -0.00037319 | 0.000233282 / -0.000233282 | 0.000229741 / -0.000229741 | 0.000262208 / -0.000262208 | 0.000173359 / -0.000173359 | 0.000273832 / -0.000273832 | 0.000336399 / -0.000336399 | 0.000427918 / -0.000427918 | 0.000316302 / -0.000316302 | 0 / 0 | 0 / 0 | 0.000412476 / -0.000412476 | 0.000344593 / -0.000344593 |
 | Pile-up uncertainty | -0.0020492 / 0.0020492 | -0.0112827 / 0.0112827 | -0.00314079 / 0.00314079 | 0.00873002 / -0.00873002 | -0.0112347 / 0.0112347 | 0.00821181 / -0.00821181 | 0.0487819 / -0.0487819 | 0.00748021 / -0.00748021 | 0.0149165 / -0.0149165 | -0.00858754 / 0.00858754 | -0.0134624 / 0.0134624 | 0.000569589 / -0.000569589 | -0.0229024 / 0.0229024 | 0 / 0 | 0 / 0 | 0.0475935 / -0.0475935 | -0.0118529 / 0.0118529 |
 | btag B EV 0 | -0.0763491 / 0.0763491 | -0.0746441 / 0.0746441 | -0.114329 / 0.114329 | -0.0888616 / 0.0888616 | -0.0913376 / 0.0913376 | 0 / 0 | 0 / 0 | -0.134951 / 0.134951 | 0 / 0 | 0 / 0 | -0.133234 / 0.133234 | -0.0964136 / 0.0964136 | -0.120336 / 0.120336 | 0 / 0 | 0 / 0 | -0.0959657 / 0.0959657 | -0.117128 / 0.117128 |
 | btag B EV 1 | -0.0166398 / 0.0166398 | -0.0170713 / 0.0170713 | -0.0234814 / 0.0234814 | -0.0261587 / 0.0261587 | -0.0256995 / 0.0256995 | 0 / 0 | 0 / 0 | -0.0136044 / 0.0136044 | 0 / 0 | 0 / 0 | -0.0122597 / 0.0122597 | -0.0188811 / 0.0188811 | -0.0151346 / 0.0151346 | 0 / 0 | 0 / 0 | -0.0307541 / 0.0307541 | -0.0226237 / 0.0226237 |
 | btag B EV 2 | 0.0130781 / -0.0130781 | 0.0125372 / -0.0125372 | 0.0165723 / -0.0165723 | 0.0129186 / -0.0129186 | 0.0141345 / -0.0141345 | 0 / 0 | 0 / 0 | 0.0134437 / -0.0134437 | 0 / 0 | 0 / 0 | 0.0135781 / -0.0135781 | 0.0133779 / -0.0133779 | 0.0139665 / -0.0139665 | 0 / 0 | 0 / 0 | 0.00986577 / -0.00986577 | 0.0197565 / -0.0197565 |
 | btag B EV 3 | -9.40742e-05 / 9.40742e-05 | 0.000190472 / -0.000190472 | -0.000375699 / 0.000375699 | 0.000927864 / -0.000927864 | 0.00112302 / -0.00112302 | 0 / 0 | 0 / 0 | -0.00251597 / 0.00251597 | 0 / 0 | 0 / 0 | -0.00238376 / 0.00238376 | -0.000642781 / 0.000642781 | -0.00237876 / 0.00237876 | 0 / 0 | 0 / 0 | -0.00109588 / 0.00109588 | -0.00153563 / 0.00153563 |
 | btag B EV 4 | -0.000396001 / 0.000396001 | -0.000410225 / 0.000410225 | -0.000399678 / 0.000399678 | -0.000518367 / 0.000518367 | -0.000552619 / 0.000552619 | 0 / 0 | 0 / 0 | 0.000375753 / -0.000375753 | 0 / 0 | 0 / 0 | 0.000296775 / -0.000296775 | -0.000241472 / 0.000241472 | 0.000209055 / -0.000209055 | 0 / 0 | 0 / 0 | -5.35931e-05 / 5.35931e-05 | -0.00053405 / 0.00053405 |
 | btag B EV 5 | 3.60308e-06 / -3.60308e-06 | -2.37728e-06 / 2.37728e-06 | -4.15945e-05 / 4.15945e-05 | -5.87658e-05 / 5.87658e-05 | -3.55177e-05 / 3.55177e-05 | 0 / 0 | 0 / 0 | -0.000136437 / 0.000136437 | 0 / 0 | 0 / 0 | -8.26644e-05 / 8.26644e-05 | -3.48244e-05 / 3.48244e-05 | -6.7446e-05 / 6.7446e-05 | 0 / 0 | 0 / 0 | -0.000163737 / 0.000163737 | 1.84129e-05 / -1.84129e-05 |
 | btag C EV 0 | -0.233708 / 0.233708 | -0.270086 / 0.270086 | -0.00864661 / 0.00864661 | -0.0606521 / 0.0606521 | -0.0080694 / 0.0080694 | -0.000501516 / 0.000501516 | -0.664729 / 0.664729 | -0.0699907 / 0.0699907 | -0.0615744 / 0.0615744 | -0.656144 / 0.656144 | -0.0443457 / 0.0443457 | -0.137596 / 0.137596 | -0.0641086 / 0.0641086 | 0 / 0 | 0 / 0 | -0.0500078 / 0.0500078 | -0.00250327 / 0.00250327 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 0 | -0.0668472 / 0.0668472 | -0.0126504 / 0.0126504 | -0.00359083 / 0.00359083 | -0.0115504 / 0.0115504 | -0.0020628 / 0.0020628 | -0.99 / 0.99 | -0.312466 / 0.312466 | -0.0555766 / 0.0555766 | -0.99 / 0.99 | -0.323181 / 0.323181 | -0.0508781 / 0.0508781 | -0.0413293 / 0.0413293 | -0.0310012 / 0.0310012 | 0 / 0 | 0 / 0 | 0.000314787 / -0.000314787 | -0.00152398 / 0.00152398 |
 | btag L EV 1 | -1.171e-05 / 1.171e-05 | 3.10206e-05 / -3.10206e-05 | -4.2901e-05 / 4.2901e-05 | 0.000170103 / -0.000170103 | 1.44499e-05 / -1.44499e-05 | 0.00327844 / -0.00327844 | 0.000684598 / -0.000684598 | 0.000197787 / -0.000197787 | 0.000544052 / -0.000544052 | -1.068e-05 / 1.068e-05 | -0.000194001 / 0.000194001 | 2.55529e-05 / -2.55529e-05 | -5.35127e-05 / 5.35127e-05 | 0 / 0 | 0 / 0 | -1.5101e-05 / 1.5101e-05 | -9.61874e-06 / 9.61874e-06 |
 | btag L EV 2 | -6.1365e-06 / 6.1365e-06 | 4.90531e-05 / -4.90531e-05 | -1.09992e-05 / 1.09992e-05 | -1.2115e-05 / 1.2115e-05 | 2.07154e-05 / -2.07154e-05 | 0.000667916 / -0.000667916 | 0.000326764 / -0.000326764 | 2.29998e-05 / -2.29998e-05 | -0.000245447 / 0.000245447 | -3.43073e-06 / 3.43073e-06 | -0.000138349 / 0.000138349 | 9.26388e-05 / -9.26388e-05 | 5.26245e-05 / -5.26245e-05 | 0 / 0 | 0 / 0 | -1.05085e-05 / 1.05085e-05 | -2.67794e-05 / 2.67794e-05 |
 | btag L EV 3 | -8.12382e-05 / 8.12382e-05 | 3.88482e-06 / -3.88482e-06 | -1.81212e-05 / 1.81212e-05 | -2.81769e-05 / 2.81769e-05 | 3.72015e-06 / -3.72015e-06 | -0.000737216 / 0.000737216 | -0.000184255 / 0.000184255 | -6.89455e-05 / 6.89455e-05 | -0.00127366 / 0.00127366 | -0.000273593 / 0.000273593 | 3.44131e-05 / -3.44131e-05 | -9.12067e-05 / 9.12067e-05 | 2.5091e-05 / -2.5091e-05 | 0 / 0 | 0 / 0 | -7.78404e-08 / 7.78404e-08 | -1.35939e-05 / 1.35939e-05 |
 | btag L EV 4 | 5.28639e-05 / -5.28639e-05 | 2.26711e-05 / -2.26711e-05 | 8.8499e-06 / -8.8499e-06 | -9.99896e-05 / 9.99896e-05 | 1.12388e-05 / -1.12388e-05 | 0.000287171 / -0.000287171 | 7.16592e-05 / -7.16592e-05 | 4.06671e-05 / -4.06671e-05 | 0.000632674 / -0.000632674 | 0.000192419 / -0.000192419 | 1.31745e-05 / -1.31745e-05 | 9.85937e-05 / -9.85937e-05 | -4.32432e-05 / 4.32432e-05 | 0 / 0 | 0 / 0 | -7.78404e-08 / 7.78404e-08 | -1.27747e-05 / 1.27747e-05 |
 | btag L EV 5 | -3.09077e-05 / 3.09077e-05 | -9.45113e-06 / 9.45113e-06 | -5.89994e-06 / 5.89994e-06 | 2.86155e-05 / -2.86155e-05 | -2.78032e-06 / 2.78032e-06 | -0.000343678 / 0.000343678 | -3.41142e-05 / 3.41142e-05 | -2.28921e-05 / 2.28921e-05 | -0.000430876 / 0.000430876 | -0.000140242 / 0.000140242 | -7.72884e-05 / 7.72884e-05 | -3.64073e-05 / 3.64073e-05 | 4.44644e-05 / -4.44644e-05 | 0 / 0 | 0 / 0 | 1.55681e-07 / -1.55681e-07 | 3.03376e-06 / -3.03376e-06 |
 | btag L EV 6 | 1.66642e-05 / -1.66642e-05 | -4.05877e-07 / 4.05877e-07 | 3.24496e-06 / -3.24496e-06 | 2.1489e-05 / -2.1489e-05 | -1.05731e-06 / 1.05731e-06 | 0.000268687 / -0.000268687 | 6.6648e-05 / -6.6648e-05 | 1.51896e-05 / -1.51896e-05 | 0.000306747 / -0.000306747 | 6.28868e-05 / -6.28868e-05 | 6.13927e-06 / -6.13927e-06 | 1.28142e-06 / -1.28142e-06 | 4.62408e-05 / -4.62408e-05 | 0 / 0 | 0 / 0 | -1.71249e-06 / 1.71249e-06 | 5.2266e-06 / -5.2266e-06 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.87617e-16 / -1.87617e-16 | 0 / 2.87199e-16 | 0 / 0 | 0 / 0 | -1.11134e-16 / 1.11134e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1.87617e-16 / 0 | 1.43599e-16 / 1.43599e-16 | 0 / 0 | 1.53985e-16 / 1.53985e-16 | -1.11134e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.87617e-16 / -1.87617e-16 | 2.87199e-16 / 0 | 0 / 0 | -1.53985e-16 / 0 | 1.11134e-16 / -1.11134e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 11 | -0.0175641 / 0.0175641 | -0.0031521 / 0.0031521 | -0.000513547 / 0.000513547 | -0.00583399 / 0.00583399 | -0.00107207 / 0.00107207 | -0.365793 / 0.365793 | -0.0600398 / 0.0600398 | -0.00836465 / 0.00836465 | -0.296659 / 0.296659 | -0.0671353 / 0.0671353 | -0.0089392 / 0.0089392 | -0.019029 / 0.019029 | -0.0108196 / 0.0108196 | 0 / 0 | 0 / 0 | 0.000231497 / -0.000231497 | -0.000935792 / 0.000935792 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.87617e-16 / -1.87617e-16 | 0 / 2.87199e-16 | 0 / 0 | 0 / 0 | -1.11134e-16 / 1.11134e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 13 | 0.0134442 / -0.0134442 | 0.00243091 / -0.00243091 | 0.000124278 / -0.000124278 | 0.00139925 / -0.00139925 | 0.000683842 / -0.000683842 | 0.348443 / -0.348443 | 0.0618766 / -0.0618766 | 0.00407086 / -0.00407086 | 0.328783 / -0.328783 | 0.0858023 / -0.0858023 | 0.0118948 / -0.0118948 | 0.0128082 / -0.0128082 | 0.00908656 / -0.00908656 | 0 / 0 | 0 / 0 | 7.62836e-06 / -7.62836e-06 | 0.00112148 / -0.00112148 |
 | btag L EV 14 | -0.0133974 / 0.0133974 | -0.00237316 / 0.00237316 | -0.000648234 / 0.000648234 | -0.00429539 / 0.00429539 | -0.000661913 / 0.000661913 | -0.24411 / 0.24411 | -0.0448728 / 0.0448728 | -0.00992869 / 0.00992869 | -0.203024 / 0.203024 | -0.0438646 / 0.0438646 | -0.00223595 / 0.00223595 | -0.0121557 / 0.0121557 | -0.00820127 / 0.00820127 | 0 / 0 | 0 / 0 | 0.00015895 / -0.00015895 | -0.000455708 / 0.000455708 |
 | btag L EV 15 | -0.00436474 / 0.00436474 | -0.000766005 / 0.000766005 | -0.000249609 / 0.000249609 | -0.000868386 / 0.000868386 | -0.000164392 / 0.000164392 | -0.0708524 / 0.0708524 | -0.0134725 / 0.0134725 | -0.00187833 / 0.00187833 | -0.0662315 / 0.0662315 | -0.0155258 / 0.0155258 | -0.000439837 / 0.000439837 | -0.00362516 / 0.00362516 | -0.00306688 / 0.00306688 | 0 / 0 | 0 / 0 | 2.21067e-05 / -2.21067e-05 | -0.000172334 / 0.000172334 |
 | btag L EV 16 | 0.000474368 / -0.000474368 | 0.000796272 / -0.000796272 | 7.12206e-05 / -7.12206e-05 | -0.000287744 / 0.000287744 | 5.52932e-05 / -5.52932e-05 | 0.0427416 / -0.0427416 | 0.00795822 / -0.00795822 | 0.00130905 / -0.00130905 | 0.05113 / -0.05113 | 0.0139667 / -0.0139667 | 0.00348959 / -0.00348959 | 0.00216122 / -0.00216122 | 0.0012001 / -0.0012001 | 0 / 0 | 0 / 0 | -2.70106e-05 / 2.70106e-05 | -0.000263087 / 0.000263087 |
 | b-tag extrap. | 0.00237522 / -0.00237522 | 0.00512419 / -0.00512419 | 0.00117388 / -0.00117388 | 0.00392191 / -0.00392191 | 0.00134415 / -0.00134415 | 8.76319e-06 / -8.76319e-06 | 0.0141128 / -0.0141128 | 0.00321868 / -0.00321868 | 0.00043625 / -0.00043625 | 0.0110995 / -0.0110995 | 0.00129575 / -0.00129575 | 0.00321797 / -0.00321797 | 0.00354017 / -0.00354017 | 0 / 0 | 0 / 0 | 0.00625257 / -0.00625257 | 0.000556481 / -0.000556481 |
 | b-tag extrap. from charm | 0.00830662 / -0.00830662 | 0.00337069 / -0.00337069 | 0.000112225 / -0.000112225 | 0.00308279 / -0.00308279 | 0.00075942 / -0.00075942 | 0.000430806 / -0.000430806 | 5.62789e-05 / -5.62789e-05 | 9.0491e-06 / -9.0491e-06 | 0.0517601 / -0.0517601 | 0.0125892 / -0.0125892 | 0.00204899 / -0.00204899 | 0.00338324 / -0.00338324 | 0.00207212 / -0.00207212 | 0 / 0 | 0 / 0 | 0.0277553 / -0.0277553 | 1.91073e-10 / -1.91073e-10 |
 | JVT uncertainty | 0.00455632 / -0.00455632 | 0.00271879 / -0.00271879 | 0.00157621 / -0.00157621 | -0.00138056 / 0.00138056 | -0.00069375 / 0.00069375 | 0.00738324 / -0.00738324 | 0.00531454 / -0.00531454 | 0.00376028 / -0.00376028 | 0.00790231 / -0.00790231 | 0.00659616 / -0.00659616 | 0.00560664 / -0.00560664 | 0.00514756 / -0.00514756 | 0.00497574 / -0.00497574 | 0 / 0 | 0 / 0 | -0.00907701 / 0.00907701 | 0.00520677 / -0.00520677 |
 | Electron E_{T} res. | 0.000113047 / -0.000113047 | -0.000234829 / 0.000234829 | -3.15225e-05 / 3.15225e-05 | 7.21417e-05 / -7.21417e-05 | 0.000166115 / -0.000166193 | 0.000132455 / -0.000132556 | -0.00011171 / 0.00011171 | -0.000383725 / 0.000383833 | -0.000242554 / 0.000242554 | -5.36387e-05 / 5.36984e-05 | 0.000330127 / -0.000330127 | -0.000743221 / 0.000743297 | -0.000266342 / 0.000266342 | 0 / 0 | 0 / 0 | -6.72541e-05 / 6.72541e-05 | -0.00025111 / 0.00025121 |
 | Electron E_{T} scale | 0.000433158 / -0.000433158 | 2.21493e-05 / -2.22652e-05 | 0.000375152 / -0.000375152 | 0.000182328 / -0.000182328 | 1.22961e-05 / -1.22961e-05 | 0.000400286 / -0.000400286 | 0.000253255 / -0.000253178 | 0.000209207 / -0.000209207 | 0.000691452 / -0.000691452 | -0.000201309 / 0.000201309 | -0.000195793 / 0.000195793 | 0.000389098 / -0.000389098 | -0.000175082 / 0.000175082 | 0 / 0 | 0 / 0 | 6.72541e-05 / -6.72541e-05 | 0.000312969 / -0.00031298 |
 | Muon ID p_{T} res. | -0.000434396 / 0.000434396 | 5.33438e-05 / -5.33438e-05 | 4.29852e-06 / -4.21424e-06 | -0.000337465 / 0.000337355 | 2.77249e-05 / -2.77249e-05 | -9.18624e-05 / 9.18624e-05 | 3.57718e-05 / -3.57718e-05 | 1.57282e-05 / -1.57282e-05 | -0.00067219 / 0.00067219 | 0.000333348 / -0.000333348 | -0.00449162 / 0.00449162 | 0.000494099 / -0.000494024 | 0.00011624 / -0.000116351 | 0 / 0 | 0 / 0 | 0 / 0 | -2.67092e-05 / 2.68085e-05 |
 | Muon MS p_{T} res. | 1.12596e-05 / -1.12596e-05 | 3.85003e-05 / -3.85003e-05 | -3.10168e-05 / 3.10168e-05 | 0.000132771 / -0.000132771 | -0.000105574 / 0.000105652 | -8.28977e-05 / 8.28977e-05 | 0.000120267 / -0.000120267 | -0.000151465 / 0.000151572 | -0.00015666 / 0.00015666 | -0.000143613 / 0.000143613 | 6.99544e-05 / -6.99544e-05 | -0.00213363 / 0.00213363 | -0.000140998 / 0.000140998 | 0 / 0 | 0 / 0 | 9.34085e-07 / -9.34085e-07 | 0.000666824 / -0.000666835 |
 | Muon p_{T} scale | -0.000135228 / 0.000135228 | 0.000107963 / -0.000108079 | -0.000316658 / 0.000316658 | -0.000115668 / 0.000115668 | -0.000139564 / 0.000139564 | -0.000402099 / 0.000401999 | -0.000146865 / 0.000146865 | -0.000108158 / 0.000108158 | -0.000774453 / 0.000774453 | 0.000159246 / -0.000159186 | 3.38489e-05 / -3.38489e-05 | 1.05528e-05 / -1.04775e-05 | -2.88658e-05 / 2.88658e-05 | 0 / 0 | 0 / 0 | 0 / 0 | -0.000716616 / 0.000716715 |
 | Muon p_{T} scale | -2.09727e-16 / -2.09727e-16 | 0 / 0 | -1.56993e-16 / -1.56993e-16 | 6.12649e-16 / 6.12649e-16 | 0 / 0 | 3.75235e-16 / 3.75235e-16 | 0 / 0 | -2.00658e-16 / -2.00658e-16 | 3.0797e-16 / 3.0797e-16 | -1.11134e-16 / -1.11134e-16 | -4.94498e-16 / -4.94498e-16 | -5.61606e-16 / -5.61606e-16 | -4.1359e-16 / -4.1359e-16 | 0 / 0 | 0 / 0 | 0 / 0 | -5.30036e-09 / -5.30036e-09 |
 | b JES response | -2.09727e-16 / -2.09727e-16 | 0 / 0 | -1.56993e-16 / -1.56993e-16 | 6.12649e-16 / 6.12649e-16 | 0 / 0 | 3.75235e-16 / 3.75235e-16 | 0 / 0 | -2.00658e-16 / -2.00658e-16 | 3.0797e-16 / 3.0797e-16 | -1.11134e-16 / -1.11134e-16 | -4.94498e-16 / -4.94498e-16 | -5.61606e-16 / -5.61606e-16 | -4.1359e-16 / -4.1359e-16 | 0 / 0 | 0 / 0 | 0 / 0 | -5.30036e-09 / -5.30036e-09 |
