 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | btag B EV 3 | -0.000836031 / 0.000836031 | 0.00151945 / -0.00151945 | -0.000454408 / 0.000454408 | 0.000762888 / -0.000762888 | 0.000471254 / -0.000471254 | 0 / 0 | 0 / 0 | -0.00352798 / 0.00352798 | 0 / 0 | 0 / 0 | -0.00150219 / 0.00150219 | -0.00321959 / 0.00321959 | -0.00614871 / 0.00614871 | 0 / 0 | 0 / 0 | 0.00213232 / -0.00213232 | -nan / -nan |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 0 | -0.0944072 / 0.0944072 | -0.215167 / 0.215167 | -0.0124427 / 0.0124427 | -0.0113505 / 0.0113505 | -0.00776498 / 0.00776498 | -0.00063274 / 0.00063274 | -0.367661 / 0.367661 | -0.0140689 / 0.0140689 | -0.0262421 / 0.0262421 | -0.376992 / 0.376992 | -0.0145195 / 0.0145195 | -0.0210843 / 0.0210843 | -0.0125376 / 0.0125376 | 0 / 0 | 0 / 0 | -0.014409 / 0.014409 | -nan / -nan |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 0 | -0.408437 / 0.408437 | -0.0769745 / 0.0769745 | -0.0107748 / 0.0107748 | -0.00717904 / 0.00717904 | -0.00505046 / 0.00505046 | -0.962732 / 0.962732 | -0.434472 / 0.434472 | -0.011889 / 0.011889 | -0.962733 / 0.962733 | -0.334549 / 0.334549 | -0.0136521 / 0.0136521 | -0.0142114 / 0.0142114 | -0.0163973 / 0.0163973 | 0 / 0 | 0 / 0 | -0.00840503 / 0.00840503 | -nan / -nan |
 | btag L EV 1 | 0.00196198 / -0.00196198 | 0.000730166 / -0.000730166 | 0.000313273 / -0.000313273 | -6.5977e-05 / 6.5977e-05 | 7.05133e-06 / -7.05133e-06 | 0.003314 / -0.003314 | -0.000244538 / 0.000244538 | -0.000179783 / 0.000179783 | 0.00221684 / -0.00221684 | 0.000264573 / -0.000264573 | 0.000345761 / -0.000345761 | 0.000854111 / -0.000854111 | 0.00033046 / -0.00033046 | 0 / 0 | 0 / 0 | -0.000156446 / 0.000156446 | -nan / -nan |
 | btag L EV 2 | -0.00217154 / 0.00217154 | -0.000425241 / 0.000425241 | -6.17218e-05 / 6.17218e-05 | 3.85801e-05 / -3.85801e-05 | 7.191e-06 / -7.191e-06 | 0.0014003 / -0.0014003 | 0.00102004 / -0.00102004 | -0.000199368 / 0.000199368 | 0.00145416 / -0.00145416 | 0.000371255 / -0.000371255 | -7.28013e-06 / 7.28013e-06 | -7.46947e-05 / 7.46947e-05 | -0.000541988 / 0.000541988 | 0 / 0 | 0 / 0 | 0.000195415 / -0.000195415 | -nan / -nan |
 | btag L EV 3 | -0.000805033 / 0.000805033 | -0.000328317 / 0.000328317 | -1.78778e-05 / 1.78778e-05 | -1.35475e-05 / 1.35475e-05 | -2.60319e-05 / 2.60319e-05 | -0.00136478 / 0.00136478 | -0.000240481 / 0.000240481 | -0.000484427 / 0.000484427 | -0.00179946 / 0.00179946 | -0.000703255 / 0.000703255 | -0.000216021 / 0.000216021 | -0.000235775 / 0.000235775 | 0.000652464 / -0.000652464 | 0 / 0 | 0 / 0 | 7.83003e-07 / -7.83003e-07 | -nan / -nan |
 | btag L EV 4 | -0.000960774 / 0.000960774 | -0.000397246 / 0.000397246 | -5.48235e-05 / 5.48235e-05 | 4.98001e-05 / -4.98001e-05 | 1.43312e-05 / -1.43312e-05 | 0.000988526 / -0.000988526 | 0.000412481 / -0.000412481 | 3.49196e-05 / -3.49196e-05 | 0.000426548 / -0.000426548 | 0.000355407 / -0.000355407 | -0.000186161 / 0.000186161 | 0.000632491 / -0.000632491 | 0.000309899 / -0.000309899 | 0 / 0 | 0 / 0 | 0.000126338 / -0.000126338 | -nan / -nan |
 | btag L EV 5 | -0.000211724 / 0.000211724 | 5.73906e-05 / -5.73906e-05 | -6.35936e-06 / 6.35936e-06 | -1.49253e-05 / 1.49253e-05 | -1.14756e-05 / 1.14756e-05 | -0.000695986 / 0.000695986 | -0.000195712 / 0.000195712 | 8.7411e-05 / -8.7411e-05 | -0.000229616 / 0.000229616 | -0.00017773 / 0.00017773 | -5.90653e-05 / 5.90653e-05 | -2.12298e-05 / 2.12298e-05 | -5.88327e-05 / 5.88327e-05 | 0 / 0 | 0 / 0 | -1.82201e-05 / 1.82201e-05 | -nan / -nan |
 | btag L EV 6 | -0.000114315 / 0.000114315 | 0.000158997 / -0.000158997 | 8.23501e-06 / -8.23501e-06 | 1.47302e-06 / -1.47302e-06 | -1.09908e-06 / 1.09908e-06 | 0.000265575 / -0.000265575 | -5.8392e-05 / 5.8392e-05 | -4.1125e-05 / 4.1125e-05 | 0.000663309 / -0.000663309 | 0.000101734 / -0.000101734 | -2.70425e-05 / 2.70425e-05 | 4.35256e-06 / -4.35256e-06 | 0.000112212 / -0.000112212 | 0 / 0 | 0 / 0 | -1.17704e-05 / 1.17704e-05 | -nan / -nan |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 11 | -0.121871 / 0.121871 | -0.0163514 / 0.0163514 | -0.00438969 / 0.00438969 | -0.00392527 / 0.00392527 | -0.0015139 / 0.0015139 | -0.563776 / 0.563776 | -0.114775 / 0.114775 | -0.0110132 / 0.0110132 | -0.519004 / 0.519004 | -0.0994353 / 0.0994353 | -0.0080119 / 0.0080119 | -0.00964296 / 0.00964296 | -0.00461984 / 0.00461984 | 0 / 0 | 0 / 0 | -0.00341382 / 0.00341382 | -nan / -nan |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 13 | 0.104498 / -0.104498 | 0.0182745 / -0.0182745 | 0.00279811 / -0.00279811 | 0.00107722 / -0.00107722 | 0.000925563 / -0.000925563 | 0.328807 / -0.328807 | 0.0791176 / -0.0791176 | 0.0084942 / -0.0084942 | 0.339119 / -0.339119 | 0.0601837 / -0.0601837 | 0.0124216 / -0.0124216 | -0.00227649 / 0.00227649 | -0.00476639 / 0.00476639 | 0 / 0 | 0 / 0 | 0.0002477 / -0.0002477 | -nan / -nan |
 | btag L EV 14 | -0.0812803 / 0.0812803 | -0.0122716 / 0.0122716 | -0.00307765 / 0.00307765 | -0.00323908 / 0.00323908 | -0.00116941 / 0.00116941 | -0.379544 / 0.379544 | -0.0878229 / 0.0878229 | -0.00651087 / 0.00651087 | -0.341132 / 0.341132 | -0.0724272 / 0.0724272 | -0.00292284 / 0.00292284 | -0.00383503 / 0.00383503 | -0.00270074 / 0.00270074 | 0 / 0 | 0 / 0 | -0.00288006 / 0.00288006 | -nan / -nan |
 | btag L EV 15 | -0.0216402 / 0.0216402 | -0.00343417 / 0.00343417 | -0.000644659 / 0.000644659 | -0.00105379 / 0.00105379 | -0.000239901 / 0.000239901 | -0.0867282 / 0.0867282 | -0.0208815 / 0.0208815 | 0.00231666 / -0.00231666 | -0.0830539 / 0.0830539 | -0.0173132 / 0.0173132 | -0.000807941 / 0.000807941 | 0.00352171 / -0.00352171 | 0.000637561 / -0.000637561 | 0 / 0 | 0 / 0 | -0.000585753 / 0.000585753 | -nan / -nan |
 | btag L EV 16 | 0.0533524 / -0.0533524 | -0.000529281 / 0.000529281 | -0.000324752 / 0.000324752 | 9.02825e-05 / -9.02825e-05 | -0.000345584 / 0.000345584 | 0.0366768 / -0.0366768 | 0.00572092 / -0.00572092 | -3.55691e-05 / 3.55691e-05 | 0.0606623 / -0.0606623 | 0.00953921 / -0.00953921 | 0.000856249 / -0.000856249 | -0.00261918 / 0.00261918 | 0.00220791 / -0.00220791 | 0 / 0 | 0 / 0 | -0.000215653 / 0.000215653 | -nan / -nan |
 | b-tag extrap. | 0.00376998 / -0.00376998 | 0.0163491 / -0.0163491 | 0.00291562 / -0.00291562 | 0.00297566 / -0.00297566 | 0.00230268 / -0.00230268 | 0.000112022 / -0.000112022 | 0.0296106 / -0.0296106 | 0.00450652 / -0.00450652 | 0.0010825 / -0.0010825 | 0.0251372 / -0.0251372 | 0.00106106 / -0.00106106 | 0.00470664 / -0.00470664 | 0.00294302 / -0.00294302 | 0 / 0 | 0 / 0 | 0.00712341 / -0.00712341 | -nan / -nan |
 | b-tag extrap. from charm | 0 / 0 | 0.00310383 / -0.00310383 | 0.000572486 / -0.000572486 | 0.00111612 / -0.00111612 | 0.000496695 / -0.000496695 | 0.00132622 / -0.00132622 | 0.000112311 / -0.000112311 | 2.32126e-05 / -2.32126e-05 | 0.0552992 / -0.0552992 | 0.016464 / -0.016464 | 0.0050581 / -0.0050581 | 0.00193431 / -0.00193431 | 7.88375e-05 / -7.88375e-05 | 0 / 0 | 0 / 0 | 0.00101726 / -0.00101726 | -nan / -nan |
 | JVT uncertainty | 0.00806255 / -0.00806255 | 0.0108505 / -0.0108505 | 0.00988978 / -0.00988978 | 0.00813668 / -0.00813668 | 0.00867197 / -0.00867197 | 0.0119016 / -0.0119016 | 0.0124311 / -0.0124311 | 0.0111662 / -0.0111662 | 0.011594 / -0.011594 | 0.0123574 / -0.0123574 | 0.00883838 / -0.00883838 | 0.00927878 / -0.00927878 | 0.014858 / -0.014858 | 0 / 0 | 0 / 0 | 0.00715445 / -0.00715445 | -nan / -nan |
 | Electron E_{T} res. | -4.68665e-05 / 4.68665e-05 | 0 / 0 | -0.000458463 / 0.000458463 | 6.0586e-05 / -6.0586e-05 | 8.36177e-05 / -8.36177e-05 | 0.000141312 / -0.000141312 | -0.000176177 / 0.000176177 | 7.21681e-05 / -7.21681e-05 | -0.000300981 / 0.000300981 | -0.0753334 / 0.0753334 | -0.000198691 / 0.000198691 | -0.000125454 / 0.000125454 | -0.000440686 / 0.000440686 | 0 / 0 | 0 / 0 | -0.000385482 / 0.000385482 | -nan / -nan |
 | Electron E_{T} scale | 0 / 0 | 0 / 0 | 0.000260208 / -0.000260208 | 0.000335023 / -0.000335023 | 0.00016809 / -0.00016809 | 0.000281273 / -0.000281273 | 3.41684e-05 / -3.41684e-05 | 0.000106868 / -0.000106868 | -0.000515946 / 0.000515946 | 0.0753744 / -0.0753744 | -5.72331e-05 / 5.72331e-05 | 4.13954e-05 / -4.13954e-05 | 0.000375242 / -0.000375242 | 0 / 0 | 0 / 0 | -0.000344351 / 0.000344351 | -nan / -nan |
 | Muon ID p_{T} res. | 0 / 0 | -1.78639e-05 / 1.78639e-05 | 0.000392806 / -0.000392806 | -5.89225e-05 / 5.89225e-05 | -0.000131369 / 0.000131369 | -4.68023e-05 / 4.68023e-05 | 8.94962e-05 / -8.94962e-05 | 0.00178851 / -0.00178851 | -4.96581e-05 / 4.96581e-05 | -0.00272288 / 0.00272288 | 7.59959e-06 / -7.59959e-06 | 2.41905e-06 / -2.41905e-06 | -5.60284e-06 / 5.60284e-06 | 0 / 0 | 0 / 0 | -0.000372101 / 0.000372101 | -nan / -nan |
 | Muon MS p_{T} res. | 0 / 0 | -1.35601e-05 / 1.35601e-05 | -0.000501616 / 0.000501616 | -2.48262e-05 / 2.48262e-05 | 9.59877e-05 / -9.59877e-05 | -0.00154477 / 0.00154477 | -0.000240758 / 0.000240758 | -0.000130061 / 0.000130061 | -0.000582534 / 0.000582534 | -0.0040343 / 0.0040343 | 0.000166211 / -0.000166211 | 0 / 0 | -9.61683e-06 / 9.61683e-06 | 0 / 0 | 0 / 0 | 0.000407167 / -0.000407167 | -nan / -nan |
 | Muon p_{T} scale | 0 / 0 | -1.51817e-05 / 1.51817e-05 | -0.000110951 / 0.000110951 | -5.23766e-05 / 5.23766e-05 | -0.000244887 / 0.000244887 | -0.000173892 / 0.000173892 | -0.0113528 / 0.0113528 | -7.04644e-06 / 7.04644e-06 | -0.000392078 / 0.000392078 | 7.24632e-05 / -7.24632e-05 | 6.10038e-06 / -6.10038e-06 | 0 / 0 | -7.82869e-06 / 7.82869e-06 | 0 / 0 | 0 / 0 | -0.000466111 / 0.000466111 | -nan / -nan |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 1 | 0.0271841 / -0.0271841 | 0.0370677 / -0.0370677 | 0.0288496 / -0.0288496 | 0.0209232 / -0.0209232 | 0.0216078 / -0.0216078 | 0.0793361 / -0.0793361 | 0.0737561 / -0.0737561 | 0.0583514 / -0.0583514 | 0.0796934 / -0.0796934 | 0.0505729 / -0.0505729 | 0.162062 / -0.162062 | 0.0338372 / -0.0338372 | 0.0625431 / -0.0625431 | 0 / 0 | 0 / 0 | 0.0117383 / -0.0117383 | -nan / -nan |
 | Effective NP 2 | 0.00183724 / -0.00183724 | -0.011151 / 0.011151 | -0.0069951 / 0.0069951 | -0.006169 / 0.006169 | -0.00570452 / 0.00570452 | -0.0178949 / 0.0178949 | -0.0122813 / 0.0122813 | -0.0106339 / 0.0106339 | -0.0262758 / 0.0262758 | -0.0127798 / 0.0127798 | -0.116429 / 0.116429 | -0.0101997 / 0.0101997 | -0.0118695 / 0.0118695 | 0 / 0 | 0 / 0 | -0.00335352 / 0.00335352 | -nan / -nan |
 | Effective NP 3 | -0.000235881 / 0.000235881 | 5.23031e-05 / -5.23031e-05 | 0.00107116 / -0.00107116 | 0.000846266 / -0.000846266 | 0.000933385 / -0.000933385 | 0.00181676 / -0.00181676 | 0.001776 / -0.001776 | 0.000594699 / -0.000594699 | 0.00347281 / -0.00347281 | 0.000892601 / -0.000892601 | 0.000154291 / -0.000154291 | 0.000100008 / -0.000100008 | 0.00564606 / -0.00564606 | 0 / 0 | 0 / 0 | 0.000117449 / -0.000117449 | -nan / -nan |
 | Effective NP 4 | 0.000288665 / -0.000288665 | -5.48072e-07 / 5.48072e-07 | -0.000806215 / 0.000806215 | -0.000308178 / 0.000308178 | -0.000436384 / 0.000436384 | -0.00157056 / 0.00157056 | -0.000774026 / 0.000774026 | 0.000287606 / -0.000287606 | -0.00201583 / 0.00201583 | -0.00079307 / 0.00079307 | 0.000292948 / -0.000292948 | -5.87106e-05 / 5.87106e-05 | 0.000374496 / -0.000374496 | 0 / 0 | 0 / 0 | 3.501e-05 / -3.501e-05 | -nan / -nan |
 | Effective NP 5 | -0.000335838 / 0.000335838 | -1.28746e-05 / 1.28746e-05 | -0.000815542 / 0.000815542 | -0.000221901 / 0.000221901 | -0.000336113 / 0.000336113 | -0.000244619 / 0.000244619 | -0.000356741 / 0.000356741 | -0.000784673 / 0.000784673 | -0.000914849 / 0.000914849 | -0.000867365 / 0.000867365 | -0.000645351 / 0.000645351 | -0.000101184 / 0.000101184 | -0.000639278 / 0.000639278 | 0 / 0 | 0 / 0 | -0.000108112 / 0.000108112 | -nan / -nan |
 | Effective NP 6 | 5.06169e-05 / -5.06169e-05 | 9.95398e-06 / -9.95398e-06 | 0.0015522 / -0.0015522 | 0.00115398 / -0.00115398 | 0.0011296 / -0.0011296 | 0.0024406 / -0.0024406 | 0.00231803 / -0.00231803 | 0.00102007 / -0.00102007 | 0.0048529 / -0.0048529 | 0.00157634 / -0.00157634 | 0.000578719 / -0.000578719 | 6.85371e-05 / -6.85371e-05 | 0.00598116 / -0.00598116 | 0 / 0 | 0 / 0 | 0.000131222 / -0.000131222 | -nan / -nan |
 | Effective NP 7 | 0.00025636 / -0.00025636 | 2.02656e-06 / -2.02656e-06 | -0.00143222 / 0.00143222 | -0.00118186 / 0.00118186 | -0.00140182 / 0.00140182 | -0.00520225 / 0.00520225 | -0.00278082 / 0.00278082 | -0.000595722 / 0.000595722 | -0.0096853 / 0.0096853 | -0.00196838 / 0.00196838 | -9.84886e-05 / 9.84886e-05 | 1.18664e-05 / -1.18664e-05 | -0.00557298 / 0.00557298 | 0 / 0 | 0 / 0 | 8.24376e-06 / -8.24376e-06 | -nan / -nan |
