 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | Muon ID (syst.) | 0.00367104 / -0.00367104 | 0.00375206 / -0.00375206 | 0.00364305 / -0.00364305 | 0.00389136 / -0.00389136 | 0.00376982 / -0.00376982 | 0.0045494 / -0.0045494 | 0.00492515 / -0.00492515 | 0.00466511 / -0.00466511 | 0.00298712 / -0.00298712 | 0.00293641 / -0.00293641 | 0.00310148 / -0.00310148 | 0.0038025 / -0.0038025 | 0.00399243 / -0.00399243 | 0 / 0 | 0 / 0 | 0.00410731 / -0.00410731 | 0.00362074 / -0.00362074 |
 | Muon Trig. (stat.) | 0.00268835 / -0.00268835 | 0.00276009 / -0.00276009 | 0.00273136 / -0.00273136 | 0.00270049 / -0.00270049 | 0.00276762 / -0.00276762 | 0.00274929 / -0.00274929 | 0.00288245 / -0.00288245 | 0.00279885 / -0.00279885 | 0.00172732 / -0.00172732 | 0.00172888 / -0.00172888 | 0.00200956 / -0.00200956 | 0.00261001 / -0.00261001 | 0.00255037 / -0.00255037 | 0 / 0 | 0 / 0 | 0.00277616 / -0.00277616 | 0.00268981 / -0.00268981 |
 | Muon Trig. (syst.) | 0.00497271 / -0.00497271 | 0.00491526 / -0.00491526 | 0.00473601 / -0.00473601 | 0.00470618 / -0.00470618 | 0.00479641 / -0.00479641 | 0.0050507 / -0.0050507 | 0.00510796 / -0.00510796 | 0.00568835 / -0.00568835 | 0.00335157 / -0.00335157 | 0.00308965 / -0.00308965 | 0.00384215 / -0.00384215 | 0.00466445 / -0.00466445 | 0.00435481 / -0.00435481 | 0 / 0 | 0 / 0 | 0.00476644 / -0.00476644 | 0.00499598 / -0.00499598 |
 | Muon Isol. (stat.) | 0.000153633 / -0.000153633 | 0.000154484 / -0.000154484 | 0.000151094 / -0.000151094 | 0.000153934 / -0.000153934 | 0.000150158 / -0.000150158 | 0.000181888 / -0.000181888 | 0.000186633 / -0.000186633 | 0.000217945 / -0.000217945 | 0.000108304 / -0.000108304 | 0.000105384 / -0.000105384 | 0.000117993 / -0.000117993 | 0.000142154 / -0.000142154 | 0.000152181 / -0.000152181 | 0 / 0 | 0 / 0 | 0.000150693 / -0.000150693 | 0.000160125 / -0.000160125 |
 | Muon Isol. (syst.) | 0.000396266 / -0.000396266 | 0.000406294 / -0.000406294 | 0.00038258 / -0.00038258 | 0.000439005 / -0.000439005 | 0.000425087 / -0.000425087 | 0.000479943 / -0.000479943 | 0.000559863 / -0.000559863 | 0.000504782 / -0.000504782 | 0.000336864 / -0.000336864 | 0.000343067 / -0.000343067 | 0.00043175 / -0.00043175 | 0.000475031 / -0.000475031 | 0.000485991 / -0.000485991 | 0 / 0 | 0 / 0 | 0.000511329 / -0.000511329 | 0.000366918 / -0.000366918 |
 | Muon TTVA (stat.) | 0.00038306 / -0.00038306 | 0.000380962 / -0.000380962 | 0.000376612 / -0.000376612 | 0.000373684 / -0.000373684 | 0.000383594 / -0.000383594 | 0.000388749 / -0.000388749 | 0.000415188 / -0.000415188 | 0.000409318 / -0.000409318 | 0.000262838 / -0.000262838 | 0.000234697 / -0.000234697 | 0.000300532 / -0.000300532 | 0.000361592 / -0.000361592 | 0.000341275 / -0.000341275 | 0 / 0 | 0 / 0 | 0.000380681 / -0.000380681 | 0.000378151 / -0.000378151 |
 | Muon TTVA (syst.) | 0.000394721 / -0.000394721 | 0.000365823 / -0.000365823 | 0.00038667 / -0.00038667 | 0.000373684 / -0.000373684 | 0.000419076 / -0.000419076 | 0.0002266 / -0.0002266 | 0.00028241 / -0.00028241 | 0.000275312 / -0.000275312 | 0.000168344 / -0.000168344 | 0.00017971 / -0.00017971 | 0.000291228 / -0.000291228 | 0.000401759 / -0.000401759 | 0.000260087 / -0.000260087 | 0 / 0 | 0 / 0 | 0.000416147 / -0.000416147 | 0.000407615 / -0.000407615 |
 | Pile-up uncertainty | 0.0055409 / -0.0055409 | 0.00717627 / -0.00717627 | -0.00591114 / 0.00591114 | -0.000663898 / 0.000663898 | -0.00555064 / 0.00555064 | 0.0194975 / -0.0194975 | -0.00892131 / 0.00892131 | 0.0329987 / -0.0329987 | 0.0134385 / -0.0134385 | -0.00742413 / 0.00742413 | 0.021445 / -0.021445 | 0.0203284 / -0.0203284 | 0.00870922 / -0.00722277 | 0 / 0 | 0 / 0 | -0.00646298 / 0.00646298 | -0.00155071 / 0.00155071 |
 | btag B EV 0 | -0.0755064 / 0.0755064 | -0.0723635 / 0.0723635 | -0.0961709 / 0.0961709 | -0.0749905 / 0.0749905 | -0.0706929 / 0.0706929 | 0 / 0 | 0 / 0 | -0.123608 / 0.123608 | 0 / 0 | 0 / 0 | -0.111327 / 0.111327 | -0.0916409 / 0.0916409 | -0.103551 / 0.103551 | 0 / 0 | 0 / 0 | -0.0661192 / 0.0661192 | -0.113788 / 0.113788 |
 | btag B EV 1 | -0.0181992 / 0.0181992 | -0.0185854 / 0.0185854 | -0.0217235 / 0.0217235 | -0.0209763 / 0.0209763 | -0.0194289 / 0.0194289 | 0 / 0 | 0 / 0 | -0.015661 / 0.015661 | 0 / 0 | 0 / 0 | -0.0165307 / 0.0165307 | -0.0228674 / 0.0228674 | -0.0177435 / 0.0177435 | 0 / 0 | 0 / 0 | -0.0244887 / 0.0244887 | -0.0211155 / 0.0211155 |
 | btag B EV 2 | 0.0119051 / -0.0119051 | 0.0111426 / -0.0111426 | 0.0126396 / -0.0126396 | 0.00990378 / -0.00990378 | 0.0100369 / -0.0100369 | 0 / 0 | 0 / 0 | 0.0118268 / -0.0118268 | 0 / 0 | 0 / 0 | 0.0121139 / -0.0121139 | 0.00953852 / -0.00953852 | 0.0116133 / -0.0116133 | 0 / 0 | 0 / 0 | 0.0069988 / -0.0069988 | 0.0173211 / -0.0173211 |
 | btag B EV 3 | 0.000369008 / -0.000369008 | 0.000523873 / -0.000523873 | -0.000126823 / 0.000126823 | 0.000499086 / -0.000499086 | 0.000570168 / -0.000570168 | 0 / 0 | 0 / 0 | -0.00243719 / 0.00243719 | 0 / 0 | 0 / 0 | -0.00191221 / 0.00191221 | -0.00109284 / 0.00109284 | -0.0019211 / 0.0019211 | 0 / 0 | 0 / 0 | 0.00100901 / -0.00100901 | -0.000857719 / 0.000857719 |
 | btag B EV 4 | -0.000378625 / 0.000378625 | -0.000340423 / 0.000340423 | -0.000270105 / 0.000270105 | -0.000281066 / 0.000281066 | -0.000267634 / 0.000267634 | 0 / 0 | 0 / 0 | 8.027e-05 / -8.027e-05 | 0 / 0 | 0 / 0 | 0.000678833 / -0.000678833 | -0.000265541 / 0.000265541 | -0.00010492 / 0.00010492 | 0 / 0 | 0 / 0 | -0.000335684 / 0.000335684 | -0.000355346 / 0.000355346 |
 | btag B EV 5 | -1.73915e-05 / 1.73915e-05 | -3.03451e-05 / 3.03451e-05 | -5.9271e-05 / 5.9271e-05 | -4.72235e-05 / 4.72235e-05 | -3.32646e-05 / 3.32646e-05 | 0 / 0 | 0 / 0 | -0.000123963 / 0.000123963 | 0 / 0 | 0 / 0 | -0.000112277 / 0.000112277 | -6.90916e-05 / 6.90916e-05 | -0.000172207 / 0.000172207 | 0 / 0 | 0 / 0 | -8.34069e-05 / 8.34069e-05 | -6.79605e-05 / 6.79605e-05 |
 | btag C EV 0 | -0.187575 / 0.187575 | -0.25612 / 0.25612 | -0.00649383 / 0.00649383 | -0.0579172 / 0.0579172 | -0.0108324 / 0.0108324 | -0.0010552 / 0.0010552 | -0.636742 / 0.636742 | -0.0567817 / 0.0567817 | -0.0532295 / 0.0532295 | -0.647055 / 0.647055 | -0.0559876 / 0.0559876 | -0.077931 / 0.077931 | -0.0610425 / 0.0610425 | 0 / 0 | 0 / 0 | -0.00565835 / 0.00565835 | -0.00530326 / 0.00530326 |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 0 | -0.132663 / 0.132663 | -0.0293403 / 0.0293403 | -0.00255395 / 0.00255395 | -0.0150673 / 0.0150673 | -0.00273529 / 0.00273529 | -0.99 / 0.99 | -0.326855 / 0.326855 | -0.0500838 / 0.0500838 | -0.99 / 0.99 | -0.303565 / 0.303565 | -0.0401548 / 0.0401548 | -0.0484226 / 0.0484226 | -0.0295565 / 0.0295565 | 0 / 0 | 0 / 0 | -0.000831779 / 0.000831779 | -0.0139363 / 0.0139363 |
 | btag L EV 1 | 0.000494784 / -0.000494784 | 0.000184392 / -0.000184392 | 1.97123e-05 / -1.97123e-05 | 4.56411e-05 / -4.56411e-05 | -1.55235e-05 / 1.55235e-05 | 0.00376174 / -0.00376174 | 0.000673734 / -0.000673734 | 2.27543e-05 / -2.27543e-05 | 0.00302806 / -0.00302806 | 0.000943423 / -0.000943423 | -0.000179042 / 0.000179042 | -0.00053827 / 0.00053827 | 0.000136016 / -0.000136016 | 0 / 0 | 0 / 0 | 5.27543e-05 / -5.27543e-05 | 9.92684e-05 / -9.92684e-05 |
 | btag L EV 2 | -0.000159314 / 0.000159314 | 3.83182e-05 / -3.83182e-05 | 1.67622e-06 / -1.67622e-06 | 0.000129407 / -0.000129407 | 7.1198e-06 / -7.1198e-06 | 0.00157504 / -0.00157504 | 0.00054956 / -0.00054956 | 0.00073277 / -0.00073277 | 0.00210642 / -0.00210642 | 0.000673123 / -0.000673123 | -0.001377 / 0.001377 | 0.000147128 / -0.000147128 | 3.49563e-05 / -3.49563e-05 | 0 / 0 | 0 / 0 | -1.74757e-05 / 1.74757e-05 | 7.28979e-05 / -7.28979e-05 |
 | btag L EV 3 | -0.000244327 / 0.000244327 | -3.42475e-05 / 3.42475e-05 | 3.82177e-06 / -3.82177e-06 | -7.56565e-06 / 7.56565e-06 | -1.52317e-05 / 1.52317e-05 | -0.000846644 / 0.000846644 | -0.00035319 / 0.00035319 | -0.000315595 / 0.000315595 | -0.00212871 / 0.00212871 | -0.000541804 / 0.000541804 | 0.000568471 / -0.000568471 | -0.000113773 / 0.000113773 | 0.000112746 / -0.000112746 | 0 / 0 | 0 / 0 | -1.63543e-05 / 1.63543e-05 | 4.56606e-05 / -4.56606e-05 |
 | btag L EV 4 | -6.44331e-05 / 6.44331e-05 | 1.35241e-05 / -1.35241e-05 | 1.50189e-05 / -1.50189e-05 | 3.96084e-05 / -3.96084e-05 | 1.21387e-05 / -1.21387e-05 | 0.000523193 / -0.000523193 | 0.00051918 / -0.00051918 | 0.000208087 / -0.000208087 | 0.000701592 / -0.000701592 | -7.8782e-05 / 7.8782e-05 | -9.95083e-05 / 9.95083e-05 | 0.000154651 / -0.000154651 | 9.0454e-05 / -9.0454e-05 | 0 / 0 | 0 / 0 | 6.30808e-06 / -6.30808e-06 | 1.72926e-05 / -1.72926e-05 |
 | btag L EV 5 | -3.21418e-05 / 3.21418e-05 | -1.60136e-05 / 1.60136e-05 | -8.38108e-06 / 8.38108e-06 | -8.90076e-07 / 8.90076e-07 | -2.5678e-06 / 2.5678e-06 | -0.000450046 / 0.000450046 | -0.000129946 / 0.000129946 | -1.61948e-05 / 1.61948e-05 | -0.000463954 / 0.000463954 | 4.36687e-06 / -4.36687e-06 | -0.000112673 / 0.000112673 | -1.13272e-05 / 1.13272e-05 | 3.80967e-06 / -3.80967e-06 | 0 / 0 | 0 / 0 | -1.10275e-05 / 1.10275e-05 | -5.74943e-06 / 5.74943e-06 |
 | btag L EV 6 | 4.56962e-05 / -4.56962e-05 | 8.8142e-06 / -8.8142e-06 | -2.58137e-06 / 2.58137e-06 | 1.23622e-06 / -1.23622e-06 | 2.50944e-06 / -2.50944e-06 | 0.000193239 / -0.000193239 | -1.47295e-05 / 1.47295e-05 | -2.52002e-06 / 2.52002e-06 | 0.000430797 / -0.000430797 | 0.000136576 / -0.000136576 | 0.000254289 / -0.000254289 | 2.65415e-05 / -2.65415e-05 | -3.23307e-05 / 3.23307e-05 | 0 / 0 | 0 / 0 | 2.00924e-06 / -2.00924e-06 | -4.66717e-06 / 4.66717e-06 |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.43344e-16 / -1.43344e-16 | -3.9571e-16 / -1.31903e-16 | 0 / 0 | -2.61141e-16 / 1.30571e-16 | 1.65999e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.43344e-16 / -1.43344e-16 | -3.9571e-16 / 0 | 1.38056e-16 / 0 | 0 / 1.30571e-16 | -1.65999e-16 / 1.65999e-16 | -1.13259e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.43344e-16 / -1.43344e-16 | -1.31903e-16 / -3.9571e-16 | 0 / 0 | 1.30571e-16 / -2.61141e-16 | 0 / 1.65999e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 11 | -0.0404686 / 0.0404686 | -0.0109899 / 0.0109899 | -0.000662072 / 0.000662072 | -0.0064268 / 0.0064268 | -0.000779735 / 0.000779735 | -0.423063 / 0.423063 | -0.0899284 / 0.0899284 | -0.0218777 / 0.0218777 | -0.383347 / 0.383347 | -0.0815528 / 0.0815528 | -0.0117582 / 0.0117582 | -0.0161314 / 0.0161314 | -0.00979065 / 0.00979065 | 0 / 0 | 0 / 0 | -0.00128853 / 0.00128853 | 0.000110424 / -0.000110424 |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -1.43344e-16 / -1.43344e-16 | -3.9571e-16 / -1.31903e-16 | 0 / 0 | -2.61141e-16 / 1.30571e-16 | 1.65999e-16 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | btag L EV 13 | 0.0301216 / -0.0301216 | 0.0076838 / -0.0076838 | 0.0001696 / -0.0001696 | 0.00237962 / -0.00237962 | 0.000782361 / -0.000782361 | 0.275031 / -0.275031 | 0.0564437 / -0.0564437 | 0.0084868 / -0.0084868 | 0.278984 / -0.278984 | 0.0692567 / -0.0692567 | 0.013649 / -0.013649 | 0.014035 / -0.014035 | 0.0077619 / -0.0077619 | 0 / 0 | 0 / 0 | 0.000433482 / -0.000433482 | -0.00181147 / 0.00181147 |
 | btag L EV 14 | -0.0278199 / 0.0278199 | -0.00727552 / 0.00727552 | -0.000590196 / 0.000590196 | -0.00455783 / 0.00455783 | -0.000480645 / 0.000480645 | -0.285969 / 0.285969 | -0.0615699 / 0.0615699 | -0.0132416 / 0.0132416 | -0.257085 / 0.257085 | -0.0534827 / 0.0534827 | -0.00591666 / 0.00591666 | -0.0102217 / 0.0102217 | -0.00869316 / 0.00869316 | 0 / 0 | 0 / 0 | -0.00078038 / 0.00078038 | -0.00167618 / 0.00167618 |
 | btag L EV 15 | -0.00756065 / 0.00756065 | -0.00188321 / 0.00188321 | -0.000140433 / 0.000140433 | -0.000917026 / 0.000917026 | -0.000133467 / 0.000133467 | -0.0669528 / 0.0669528 | -0.0143455 / 0.0143455 | -0.00251468 / 0.00251468 | -0.0665138 / 0.0665138 | -0.0140151 / 0.0140151 | -0.00234354 / 0.00234354 | -0.00334624 / 0.00334624 | -0.00212338 / 0.00212338 | 0 / 0 | 0 / 0 | -0.000201438 / 0.000201438 | -0.000513474 / 0.000513474 |
 | btag L EV 16 | 0.00408968 / -0.00408968 | 0.000305839 / -0.000305839 | -5.34713e-05 / 5.34713e-05 | -0.000304752 / 0.000304752 | 5.01888e-05 / -5.01888e-05 | 0.0319664 / -0.0319664 | 0.0103949 / -0.0103949 | -0.000567931 / 0.000567931 | 0.0430027 / -0.0430027 | 0.0134705 / -0.0134705 | 0.00371063 / -0.00371063 | 0.00200182 / -0.00200182 | -0.000283769 / 0.000283769 | 0 / 0 | 0 / 0 | 0.000401241 / -0.000401241 | 0.000448311 / -0.000448311 |
 | b-tag extrap. | 0.00345896 / -0.00345896 | 0.00765735 / -0.00765735 | 0.0015276 / -0.0015276 | 0.0036285 / -0.0036285 | 0.00128121 / -0.00128121 | 1.20438e-05 / -1.20438e-05 | 0.023806 / -0.023806 | 0.00557977 / -0.00557977 | 0.00075988 / -0.00075988 | 0.020218 / -0.020218 | 0.00210719 / -0.00210719 | 0.00491712 / -0.00491712 | 0.00485553 / -0.00485553 | 0 / 0 | 0 / 0 | 0.00330861 / -0.00330861 | 0.00054198 / -0.00054198 |
 | b-tag extrap. from charm | 0.00407643 / -0.00407643 | 0.00106807 / -0.00106807 | 0.000158101 / -0.000158101 | 0.00144148 / -0.00144148 | 0.000737133 / -0.000737133 | 0.000856033 / -0.000856033 | 0.00012513 / -0.00012513 | 3.02032e-05 / -3.02032e-05 | 0.0459956 / -0.0459956 | 0.0104949 / -0.0104949 | 0.00352137 / -0.00352137 | 0.00113907 / -0.00113907 | 0.000232184 / -0.000232184 | 0 / 0 | 0 / 0 | 0.000259987 / -0.000259987 | 2.38603e-05 / -2.38603e-05 |
 | JVT uncertainty | 0.0101634 / -0.0101634 | 0.00963456 / -0.00963456 | 0.00939408 / -0.00939408 | 0.00792836 / -0.00792836 | 0.00827257 / -0.00827257 | 0.0117567 / -0.0117567 | 0.0118849 / -0.0118849 | 0.0101228 / -0.0101228 | 0.0116712 / -0.0116712 | 0.0116178 / -0.0116178 | 0.0105379 / -0.0105379 | 0.0102904 / -0.0102904 | 0.0103867 / -0.0103867 | 0 / 0 | 0 / 0 | 0.00618276 / -0.00618276 | 0.0102075 / -0.0102075 |
 | Electron E_{T} res. | 0.000288628 / -0.000288628 | -0.000174535 / 0.000174535 | 8.16652e-05 / -8.16652e-05 | 0.000119864 / -0.000119864 | -0.000126289 / 0.000126289 | 0.000134521 / -0.000134521 | -0.000230432 / 0.000230503 | 0.000210125 / -0.000210125 | -0.000333183 / 0.000333183 | -0.035974 / 0.035974 | -0.00420939 / 0.00420939 | 0.00108975 / -0.00108975 | -0.000100802 / 0.000100699 | 0 / 0 | 0 / 0 | 0.000167748 / -0.000167842 | -0.000279964 / 0.000279983 |
 | Electron E_{T} scale | 0.000500216 / -0.000500316 | 0.000153004 / -0.000153004 | 0.000269938 / -0.000270005 | 0.000135687 / -0.000135687 | 0.000291562 / -0.000291678 | 0.000316833 / -0.000316833 | 4.171e-05 / -4.16392e-05 | 0.000189224 / -0.000189224 | -0.0005697 / 0.0005697 | 0.0364273 / -0.0364273 | -0.000343855 / 0.000343855 | 0.00044573 / -0.00044573 | 0.000175657 / -0.000175657 | 0 / 0 | 0 / 0 | 0.000360449 / -0.000360449 | 0.00037758 / -0.000377561 |
 | Muon ID p_{T} res. | 0.000135843 / -0.000135942 | -0.000367707 / 0.000367707 | 5.12252e-05 / -5.12252e-05 | -0.000135292 / 0.000135292 | 2.78956e-05 / -2.78956e-05 | -1.31597e-05 / 1.31597e-05 | -2.93882e-05 / 2.93882e-05 | 0.000328121 / -0.000328121 | -3.15448e-06 / 3.08438e-06 | -0.000773739 / 0.000773739 | 1.70256e-06 / -1.70256e-06 | 1.67191e-06 / -1.67191e-06 | -0.000148474 / 0.000148474 | 0 / 0 | 0 / 0 | 2.9905e-06 / -2.9905e-06 | 3.06029e-05 / -3.0584e-05 |
 | Muon MS p_{T} res. | 8.95984e-05 / -8.9698e-05 | 0.000823623 / -0.000823556 | 0.000127392 / -0.000127392 | -0.00011749 / 0.00011749 | 0.000155702 / -0.000155702 | -0.00107509 / 0.00107517 | -0.000185181 / 0.000185252 | -0.000226505 / 0.000226505 | -0.0005418 / 0.00054173 | -0.00290005 / 0.00290005 | 0.00364529 / -0.00364535 | -0.000998881 / 0.000998797 | -0.000131279 / 0.000131279 | 0 / 0 | 0 / 0 | 0.000209428 / -0.000209522 | -0.000898297 / 0.000898316 |
 | Muon p_{T} scale | -0.000201422 / 0.000201322 | -1.54753e-06 / 1.54753e-06 | -0.000199336 / 0.000199269 | -0.000213816 / 0.000213816 | -0.00025853 / 0.00025853 | -0.000175308 / 0.000175385 | -0.00454448 / 0.00454448 | -8.69407e-05 / 8.69407e-05 | -0.000361293 / 0.000361293 | 0.000186082 / -0.000185993 | 9.66809e-06 / -9.72889e-06 | -4.68134e-06 / 4.68134e-06 | -0.000109348 / 0.000109348 | 0 / 0 | 0 / 0 | 7.59774e-05 / -7.59774e-05 | 0.000822694 / -0.000822675 |
 | Muon p_{T} scale | 0 / 0 | -1.25326e-16 / -1.25326e-16 | 3.74663e-16 / 3.74663e-16 | 0 / 0 | 0 / 0 | -4.30032e-16 / -4.30032e-16 | -3.9571e-16 / -3.9571e-16 | 0 / 0 | 1.30571e-16 / 1.30571e-16 | -1.65999e-16 / -1.65999e-16 | 2.26518e-16 / 2.26518e-16 | 3.11417e-16 / 3.11417e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 9.46836e-09 / 9.46836e-09 |
 | b JES response | 0 / 0 | -1.25326e-16 / -1.25326e-16 | 3.74663e-16 / 3.74663e-16 | 0 / 0 | 0 / 0 | -4.30032e-16 / -4.30032e-16 | -3.9571e-16 / -3.9571e-16 | 0 / 0 | 1.30571e-16 / 1.30571e-16 | -1.65999e-16 / -1.65999e-16 | 2.26518e-16 / 2.26518e-16 | 3.11417e-16 / 3.11417e-16 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 9.46836e-09 / 9.46836e-09 |
