 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | QCDE      | QCDMU      | SM-4tops      | t#rightarrow Hu |
 | Muon ID (syst.) | 0.00296105 / -0.00296105 | 0.00387749 / -0.00387749 | 0.00331963 / -0.00331963 | 0.00358704 / -0.00358704 | 0.00351047 / -0.00351047 | 0.00414442 / -0.00414442 | 0.0040703 / -0.0040703 | 0.0045233 / -0.0045233 | 0.00300545 / -0.00300545 | 0.00417283 / -0.00417283 | 0.0025814 / -0.0025814 | 0.00402679 / -0.00402679 | 0.00304106 / -0.00304106 | 0 / 0 | 0 / 0 | 0.00320541 / -0.00320541 | -nan / -nan |
 | Muon Trig. (stat.) | 0.00291238 / -0.00291238 | 0.00257219 / -0.00257219 | 0.00250008 / -0.00250008 | 0.00270496 / -0.00270496 | 0.00264626 / -0.00264626 | 0.00254693 / -0.00254693 | 0.00273623 / -0.00273623 | 0.00247056 / -0.00247056 | 0.00183201 / -0.00183201 | 0.00198674 / -0.00198674 | 0.00115572 / -0.00115572 | 0.0029086 / -0.0029086 | 0.00277574 / -0.00277574 | 0 / 0 | 0 / 0 | 0.00284886 / -0.00284886 | -nan / -nan |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (syst.) | 0.000578363 / -0.000578363 | 0.0003641 / -0.0003641 | 0.000415422 / -0.000415422 | 0.000361088 / -0.000361088 | 0.000388285 / -0.000388285 | 0.000230389 / -0.000230389 | 0.000269022 / -0.000269022 | 0.000156656 / -0.000156656 | 0.00017637 / -0.00017637 | 0.000128358 / -0.000128358 | 0.000161069 / -0.000161069 | 0.000373551 / -0.000373551 | 0.000349738 / -0.000349738 | 0 / 0 | 0 / 0 | 0.000235213 / -0.000235213 | -nan / -nan |
 | Pile-up uncertainty | -0.0621653 / 0.0621653 | 0.182715 / -0.182715 | 0.00759548 / -0.00759548 | -0.0141199 / 0.0141199 | -0.0272226 / 0.0272226 | 0.0175627 / -0.0175627 | 0.00834811 / -0.00834811 | -0.0691644 / 0.0691644 | 0.00152412 / -0.00152412 | -0.0321593 / 0.0321593 | 0.188966 / -0.188966 | 0.0554571 / -0.0554571 | 0.0113768 / -0.0113768 | 0 / 0 | 0 / 0 | -0.0806849 / 0.0806849 | -nan / -nan |
 | btag B EV 0 | -0.0464442 / 0.0464442 | -0.0515734 / 0.0515734 | -0.0894347 / 0.0894347 | -0.0849506 / 0.0849506 | -0.0845813 / 0.0845813 | 0 / 0 | 0 / 0 | -0.111418 / 0.111418 | 0 / 0 | 0 / 0 | -0.0993576 / 0.0993576 | -0.0981263 / 0.0981263 | -0.107299 / 0.107299 | 0 / 0 | 0 / 0 | -0.0794053 / 0.0794053 | -nan / -nan |
 | btag B EV 1 | -0.0173902 / 0.0173902 | -0.0139662 / 0.0139662 | -0.0300041 / 0.0300041 | -0.0374781 / 0.0374781 | -0.036012 / 0.036012 | 0 / 0 | 0 / 0 | -0.0238981 / 0.0238981 | 0 / 0 | 0 / 0 | -0.0365453 / 0.0365453 | -0.0277607 / 0.0277607 | -0.0259616 / 0.0259616 | 0 / 0 | 0 / 0 | -0.0569147 / 0.0569147 | -nan / -nan |
 | btag B EV 2 | 0.0133811 / -0.0133811 | 0.012245 / -0.012245 | 0.0207221 / -0.0207221 | 0.0203208 / -0.0203208 | 0.0221649 / -0.0221649 | 0 / 0 | 0 / 0 | 0.0171723 / -0.0171723 | 0 / 0 | 0 / 0 | 0.0157622 / -0.0157622 | 0.0195387 / -0.0195387 | 0.0187472 / -0.0187472 | 0 / 0 | 0 / 0 | 0.00979571 / -0.00979571 | -nan / -nan |
 | btag B EV 3 | -0.000601575 / 0.000601575 | -0.00293931 / 0.00293931 | 0.000104365 / -0.000104365 | 0.000692513 / -0.000692513 | 0.000854608 / -0.000854608 | 0 / 0 | 0 / 0 | -0.00438597 / 0.00438597 | 0 / 0 | 0 / 0 | -0.00236472 / 0.00236472 | -0.0027369 / 0.0027369 | -0.00300226 / 0.00300226 | 0 / 0 | 0 / 0 | 0.00299113 / -0.00299113 | -nan / -nan |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 0 | -0.112082 / 0.112082 | -0.228625 / 0.228625 | -0.0192714 / 0.0192714 | -0.00879391 / 0.00879391 | -0.0064812 / 0.0064812 | -0.000557579 / 0.000557579 | -0.381287 / 0.381287 | -0.0165084 / 0.0165084 | -0.0243427 / 0.0243427 | -0.4045 / 0.4045 | -0.00215428 / 0.00215428 | -0.0120716 / 0.0120716 | -0.0142269 / 0.0142269 | 0 / 0 | 0 / 0 | -0.00793665 / 0.00793665 | -nan / -nan |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 0 | -0.427864 / 0.427864 | -0.0151131 / 0.0151131 | -0.00376264 / 0.00376264 | -0.0076462 / 0.0076462 | -0.00349888 / 0.00349888 | -0.962732 / 0.962732 | -0.378775 / 0.378775 | -0.0204277 / 0.0204277 | -0.962732 / 0.962732 | -0.312943 / 0.312943 | -0.0267364 / 0.0267364 | -0.00711953 / 0.00711953 | -0.00611032 / 0.00611032 | 0 / 0 | 0 / 0 | 0.000212612 / -0.000212612 | -nan / -nan |
 | btag L EV 1 | 0.00736277 / -0.00736277 | 1.75055e-05 / -1.75055e-05 | 0.000310103 / -0.000310103 | 0.000100666 / -0.000100666 | 0.00010696 / -0.00010696 | 0.00480174 / -0.00480174 | 0.00251734 / -0.00251734 | 0.000157363 / -0.000157363 | 0.00416142 / -0.00416142 | 6.87184e-06 / -6.87184e-06 | 0.000351001 / -0.000351001 | -0.000728537 / 0.000728537 | 0.000196979 / -0.000196979 | 0 / 0 | 0 / 0 | -1.36706e-05 / 1.36706e-05 | -nan / -nan |
 | btag L EV 2 | -5.01765e-05 / 5.01765e-05 | -0.000138211 / 0.000138211 | -4.73984e-05 / 4.73984e-05 | -5.96767e-06 / 5.96767e-06 | 2.97923e-05 / -2.97923e-05 | 0.00126178 / -0.00126178 | 0.000761387 / -0.000761387 | 0.000108733 / -0.000108733 | 0.00130156 / -0.00130156 | -0.00100905 / 0.00100905 | -0.00271422 / 0.00271422 | 0.000649625 / -0.000649625 | 0.000219845 / -0.000219845 | 0 / 0 | 0 / 0 | -4.59344e-06 / 4.59344e-06 | -nan / -nan |
 | btag L EV 3 | 0.00176591 / -0.00176591 | -0.000430823 / 0.000430823 | 1.9228e-05 / -1.9228e-05 | -1.38869e-05 / 1.38869e-05 | 3.71577e-06 / -3.71577e-06 | -0.0016593 / 0.0016593 | -5.41535e-05 / 5.41535e-05 | 3.76955e-05 / -3.76955e-05 | -0.00097841 / 0.00097841 | -0.00121875 / 0.00121875 | 0.000166648 / -0.000166648 | -0.000239468 / 0.000239468 | 0.00110935 / -0.00110935 | 0 / 0 | 0 / 0 | -4.23437e-06 / 4.23437e-06 | -nan / -nan |
 | btag L EV 4 | -0.00130466 / 0.00130466 | -0.000136066 / 0.000136066 | -6.21881e-05 / 6.21881e-05 | -2.01326e-05 / 2.01326e-05 | -1.63657e-05 / 1.63657e-05 | 0.000507017 / -0.000507017 | 0.000308492 / -0.000308492 | 8.31811e-05 / -8.31811e-05 | 0.000490755 / -0.000490755 | -0.000139722 / 0.000139722 | -0.00127622 / 0.00127622 | 0.000740121 / -0.000740121 | -4.66919e-06 / 4.66919e-06 | 0 / 0 | 0 / 0 | 1.02736e-07 / -1.02736e-07 | -nan / -nan |
 | btag L EV 5 | 0.000355554 / -0.000355554 | -1.24187e-05 / 1.24187e-05 | 8.18278e-06 / -8.18278e-06 | 1.85545e-06 / -1.85545e-06 | 2.99784e-06 / -2.99784e-06 | -0.000507583 / 0.000507583 | -0.000214254 / 0.000214254 | -2.66361e-06 / 2.66361e-06 | -0.000339538 / 0.000339538 | -0.000133693 / 0.000133693 | -9.30582e-05 / 9.30582e-05 | -0.00011884 / 0.00011884 | -0.000113199 / 0.000113199 | 0 / 0 | 0 / 0 | -5.58862e-07 / 5.58862e-07 | -nan / -nan |
 | btag L EV 6 | -0.000378808 / 0.000378808 | 0.000211475 / -0.000211475 | 4.80933e-06 / -4.80933e-06 | 1.01657e-05 / -1.01657e-05 | 6.33926e-06 / -6.33926e-06 | 0.000457209 / -0.000457209 | -7.4936e-06 / 7.4936e-06 | 3.74084e-05 / -3.74084e-05 | 0.000243604 / -0.000243604 | 0.000235115 / -0.000235115 | -0.00143186 / 0.00143186 | 1.3994e-06 / -1.3994e-06 | -2.53102e-07 / 2.53102e-07 | 0 / 0 | 0 / 0 | 9.64786e-07 / -9.64786e-07 | -nan / -nan |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 11 | -0.0790845 / 0.0790845 | -0.0183974 / 0.0183974 | -0.00366473 / 0.00366473 | -0.00279522 / 0.00279522 | -0.00216174 / 0.00216174 | -0.512444 / 0.512444 | -0.131897 / 0.131897 | -0.00949919 / 0.00949919 | -0.478383 / 0.478383 | -0.0871367 / 0.0871367 | -0.00323167 / 0.00323167 | -0.00422035 / 0.00422035 | -0.00562308 / 0.00562308 | 0 / 0 | 0 / 0 | 0.000192861 / -0.000192861 | -nan / -nan |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 13 | 0.066385 / -0.066385 | 0.0285051 / -0.0285051 | 0.00124327 / -0.00124327 | -6.76468e-05 / 6.76468e-05 | 0.000365675 / -0.000365675 | 0.361968 / -0.361968 | 0.0918575 / -0.0918575 | 0.0102013 / -0.0102013 | 0.412205 / -0.412205 | 0.0808165 / -0.0808165 | 0.0207892 / -0.0207892 | -0.000912524 / 0.000912524 | 0.00140732 / -0.00140732 | 0 / 0 | 0 / 0 | -4.61832e-05 / 4.61832e-05 | -nan / -nan |
 | btag L EV 14 | -0.071685 / 0.071685 | -0.00347884 / 0.00347884 | -0.00254217 / 0.00254217 | -0.00276269 / 0.00276269 | -0.00168447 / 0.00168447 | -0.352028 / 0.352028 | -0.0919106 / 0.0919106 | -0.00523601 / 0.00523601 | -0.310999 / 0.310999 | -0.0595061 / 0.0595061 | -0.00455747 / 0.00455747 | -0.00296864 / 0.00296864 | -0.0054248 / 0.0054248 | 0 / 0 | 0 / 0 | 0.000137731 / -0.000137731 | -nan / -nan |
 | btag L EV 15 | -0.0198003 / 0.0198003 | -0.00125029 / 0.00125029 | -0.000468257 / 0.000468257 | -0.000756822 / 0.000756822 | -0.000375607 / 0.000375607 | -0.0895104 / 0.0895104 | -0.0239143 / 0.0239143 | -0.00111458 / 0.00111458 | -0.0887112 / 0.0887112 | -0.0185942 / 0.0185942 | -0.00616515 / 0.00616515 | 0.000602591 / -0.000602591 | -8.12227e-05 / 8.12227e-05 | 0 / 0 | 0 / 0 | 2.98562e-05 / -2.98562e-05 | -nan / -nan |
 | btag L EV 16 | -0.00329715 / 0.00329715 | 0.00586452 / -0.00586452 | -0.00110585 / 0.00110585 | 7.27182e-05 / -7.27182e-05 | 1.4549e-05 / -1.4549e-05 | 0.0430569 / -0.0430569 | 0.0042358 / -0.0042358 | -0.000543735 / 0.000543735 | 0.057088 / -0.057088 | 0.0237711 / -0.0237711 | 0.00130783 / -0.00130783 | -0.00132671 / 0.00132671 | 0.00146623 / -0.00146623 | 0 / 0 | 0 / 0 | -4.93091e-06 / 4.93091e-06 | -nan / -nan |
 | b-tag extrap. | 0.0023855 / -0.0023855 | 0.00877468 / -0.00877468 | 0.00129574 / -0.00129574 | 0.00275739 / -0.00275739 | 0.00188947 / -0.00188947 | 1.57468e-05 / -1.57468e-05 | 0.0254488 / -0.0254488 | 0.00352804 / -0.00352804 | 0.00064522 / -0.00064522 | 0.0214491 / -0.0214491 | 0.000558524 / -0.000558524 | 0.00346204 / -0.00346204 | 0.00341634 / -0.00341634 | 0 / 0 | 0 / 0 | 0.0108921 / -0.0108921 | -nan / -nan |
 | b-tag extrap. from charm | 0 / 0 | 0 / 0 | 0.000954504 / -0.000954504 | 0.00116757 / -0.00116757 | 0.000703425 / -0.000703425 | 0.00130265 / -0.00130265 | 8.03564e-05 / -8.03564e-05 | 6.49647e-06 / -6.49647e-06 | 0.0515303 / -0.0515303 | 0.0116045 / -0.0116045 | 0.0010874 / -0.0010874 | 0 / 0 | 0.000812928 / -0.000812928 | 0 / 0 | 0 / 0 | -0.00021816 / 0.00021816 | -nan / -nan |
 | JVT uncertainty | 0.00531798 / -0.00531798 | 0.00386408 / -0.00386408 | 0.00467579 / -0.00467579 | 0.00277392 / -0.00277392 | 0.00257588 / -0.00257588 | 0.00870018 / -0.00870018 | 0.00785265 / -0.00785265 | 0.00938375 / -0.00938375 | 0.00878075 / -0.00878075 | 0.00824942 / -0.00824942 | 0.00888907 / -0.00888907 | 0.00910054 / -0.00910054 | 0.00155178 / -0.00155178 | 0 / 0 | 0 / 0 | -0.00820939 / 0.00820939 | -nan / -nan |
 | Electron E_{T} res. | 0 / 0 | -7.7188e-06 / 7.7188e-06 | 0.000442447 / -0.000442447 | -0.000742284 / 0.000742284 | -0.000145341 / 0.000145341 | 0.000486709 / -0.000486709 | -0.000297536 / 0.000297536 | -5.92547e-05 / 5.92547e-05 | -0.0014796 / 0.0014796 | -0.00180714 / 0.00180714 | -5.10216e-05 / 5.10216e-05 | -0.000130884 / 0.000130884 | 1.43158e-06 / -1.43158e-06 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron E_{T} scale | 0 / 0 | 0 / 0 | -0.000463305 / 0.000463305 | -0.000601531 / 0.000601531 | 0.000684396 / -0.000684396 | 0.000603966 / -0.000603966 | 0.000144848 / -0.000144848 | 7.39098e-05 / -7.39098e-05 | -0.000260204 / 0.000260204 | -0.00086365 / 0.00086365 | 6.79473e-05 / -6.79473e-05 | 0 / 0 | 4.79817e-06 / -4.79817e-06 | 0 / 0 | 0 / 0 | 0.000376786 / -0.000376786 | -nan / -nan |
 | Muon ID p_{T} res. | 0 / 0 | 0 / 0 | -0.000110217 / 0.000110217 | -0.00077656 / 0.00077656 | 0.000324654 / -0.000324654 | -3.65576e-05 / 3.65576e-05 | -8.32677e-05 / 8.32677e-05 | 5.48363e-06 / -5.48363e-06 | 3.15607e-05 / -3.15607e-05 | 4.11868e-05 / -4.11868e-05 | -5.04622e-07 / 5.04622e-07 | 0 / 0 | 3.69656e-06 / -3.69656e-06 | 0 / 0 | 0 / 0 | -6.01416e-06 / 6.01416e-06 | -nan / -nan |
 | Muon MS p_{T} res. | 0 / 0 | 0 / 0 | -5.68422e-05 / 5.68422e-05 | -0.000191882 / 0.000191882 | 0.000247611 / -0.000247611 | 0.000215425 / -0.000215425 | 6.19992e-05 / -6.19992e-05 | -0.00130316 / 0.00130316 | -0.000521034 / 0.000521034 | -0.0153587 / 0.0153587 | 1.61847e-05 / -1.61847e-05 | 0 / 0 | -2.86472e-05 / 2.86472e-05 | 0 / 0 | 0 / 0 | -6.07377e-06 / 6.07377e-06 | -nan / -nan |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | -0.000437726 / 0.000437726 | -0.000234948 / 0.000234948 | -0.000154911 / 0.000154911 | -0.000319395 / 0.000319395 | -7.96221e-05 / 7.96221e-05 | -1.18529e-06 / 1.18529e-06 | 0.000532061 / -0.000532061 | 2.95882e-05 / -2.95882e-05 | 3.25808e-07 / -3.25808e-07 | 0 / 0 | -9.76606e-08 / 9.76606e-08 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 1 | 0.130154 / -0.130154 | 0.0235063 / -0.0235063 | -0.00353113 / 0.00353113 | -0.00436891 / 0.00436891 | -0.00565728 / 0.00565728 | 0.0655245 / -0.0655245 | 0.0442202 / -0.0442202 | 0.0508508 / -0.0508508 | 0.052834 / -0.052834 | 0.042457 / -0.042457 | 0.0129821 / -0.0129821 | 0.0419951 / -0.0419951 | 0.0182913 / -0.0182913 | 0 / 0 | 0 / 0 | -0.0336235 / 0.0336235 | -nan / -nan |
 | Effective NP 2 | -2.07535e-05 / 2.07535e-05 | -0.000166134 / 0.000166134 | 0.00155631 / -0.00155631 | 0.000735873 / -0.000735873 | 0.00311205 / -0.00311205 | -0.0137272 / 0.0137272 | -0.016175 / 0.016175 | -0.006145 / 0.006145 | -0.0129258 / 0.0129258 | -0.0150234 / 0.0150234 | -0.00311234 / 0.00311234 | 0.00215497 / -0.00215497 | 0.00513 / -0.00513 | 0 / 0 | 0 / 0 | 0.0258246 / -0.0258246 | -nan / -nan |
 | Effective NP 3 | -1.84774e-06 / 1.84774e-06 | 7.46539e-05 / -7.46539e-05 | -0.00113195 / 0.00113195 | 0.000651194 / -0.000651194 | 0.000191949 / -0.000191949 | 0.00166313 / -0.00166313 | 0.00112876 / -0.00112876 | 0.000388957 / -0.000388957 | 0.00159788 / -0.00159788 | 6.73532e-06 / -6.73532e-06 | 0.000279518 / -0.000279518 | 8.30591e-05 / -8.30591e-05 | 0.000258945 / -0.000258945 | 0 / 0 | 0 / 0 | 0.000185288 / -0.000185288 | -nan / -nan |
 | Effective NP 4 | 8.95798e-07 / -8.95798e-07 | 2.07443e-05 / -2.07443e-05 | 0.00115127 / -0.00115127 | 8.65262e-06 / -8.65262e-06 | -0.000123344 / 0.000123344 | -0.000892871 / 0.000892871 | -0.00143325 / 0.00143325 | 0.000535228 / -0.000535228 | -0.000657737 / 0.000657737 | 0.00014145 / -0.00014145 | 0.000267086 / -0.000267086 | -4.62909e-05 / 4.62909e-05 | 0.000289761 / -0.000289761 | 0 / 0 | 0 / 0 | -7.41199e-05 / 7.41199e-05 | -nan / -nan |
 | Effective NP 5 | -2.89083e-06 / 2.89083e-06 | -0.000149847 / 0.000149847 | 0.00167579 / -0.00167579 | -7.39945e-05 / 7.39945e-05 | -0.000226676 / 0.000226676 | 0.000960471 / -0.000960471 | -0.00153584 / 0.00153584 | -0.000971854 / 0.000971854 | 0.00053671 / -0.00053671 | -0.000246948 / 0.000246948 | -0.000598824 / 0.000598824 | -0.000342258 / 0.000342258 | -0.000794433 / 0.000794433 | 0 / 0 | 0 / 0 | -3.51608e-05 / 3.51608e-05 | -nan / -nan |
 | Effective NP 6 | 7.95549e-06 / -7.95549e-06 | 0.000109611 / -0.000109611 | -0.0020512 / 0.0020512 | -0.000263408 / 0.000263408 | -0.000340282 / 0.000340282 | 0.00234201 / -0.00234201 | 0.00425468 / -0.00425468 | 0.000720181 / -0.000720181 | 0.00251839 / -0.00251839 | 0.00124773 / -0.00124773 | 0.000810027 / -0.000810027 | 0.000362196 / -0.000362196 | 0.000690996 / -0.000690996 | 0 / 0 | 0 / 0 | 3.62739e-05 / -3.62739e-05 | -nan / -nan |
 | Effective NP 7 | 9.05156e-07 / -9.05156e-07 | -5.44805e-05 / 5.44805e-05 | 0.00168993 / -0.00168993 | 0.000581838 / -0.000581838 | 0.00168462 / -0.00168462 | -0.00479646 / 0.00479646 | -0.00468175 / 0.00468175 | 0.000101984 / -0.000101984 | -0.00507599 / 0.00507599 | -0.00162505 / 0.00162505 | -0.0007939 / 0.0007939 | -5.35648e-06 / 5.35648e-06 | -7.72487e-05 / 7.72487e-05 | 0 / 0 | 0 / 0 | 1.60962e-05 / -1.60962e-05 | -nan / -nan |
