 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | btag L EV 0 | -0.0771625 / 0.0771625 | -0.0150507 / 0.0150507 | -0.00253383 / 0.00253383 | -0.0104993 / 0.0104993 | -0.00150023 / 0.00150023 | -0.952277 / 0.952277 | -0.255637 / 0.255637 | -0.0365827 / 0.0365827 | -0.969708 / 0.969708 | -0.258042 / 0.258042 | -0.0333553 / 0.0333553 | -0.0263086 / 0.0263086 | -0.0234226 / 0.0234226 | -0.000649209 / 0.000649209 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 1 | 9.6979e-05 / -9.6979e-05 | 9.6624e-06 / -9.6624e-06 | -6.26757e-06 / 6.26757e-06 | 5.76769e-05 / -5.76769e-05 | -3.09309e-06 / 3.09309e-06 | 0.00349456 / -0.00349456 | 0.00103785 / -0.00103785 | -1.70828e-05 / 1.70828e-05 | 0.00214191 / -0.00214191 | 0.000503148 / -0.000503148 | -0.000479545 / 0.000479545 | -6.7649e-05 / 6.7649e-05 | 0.000204079 / -0.000204079 | 0.000210695 / -0.000210695 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 2 | -9.55868e-06 / 9.55868e-06 | 4.10736e-06 / -4.10736e-06 | -1.30768e-05 / 1.30768e-05 | 6.84144e-05 / -6.84144e-05 | 1.57232e-06 / -1.57232e-06 | 0.000284522 / -0.000284522 | -0.000229021 / 0.000229021 | 9.18048e-05 / -9.18048e-05 | 0.000921197 / -0.000921197 | -0.00057006 / 0.00057006 | -0.000425505 / 0.000425505 | 0.00010423 / -0.00010423 | -0.000272204 / 0.000272204 | 0.000228652 / -0.000228652 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 3 | -0.000151605 / 0.000151605 | -4.06014e-05 / 4.06014e-05 | -3.07172e-06 / 3.07172e-06 | -1.79027e-05 / 1.79027e-05 | -1.27076e-05 / 1.27076e-05 | -0.00141977 / 0.00141977 | -0.000455757 / 0.000455757 | -0.000119753 / 0.000119753 | -0.00039587 / 0.00039587 | -0.000491568 / 0.000491568 | 0.000206286 / -0.000206286 | -6.85298e-05 / 6.85298e-05 | -0.000158706 / 0.000158706 | 0.000170304 / -0.000170304 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 5 | -3.60082e-05 / 3.60082e-05 | -1.50688e-05 / 1.50688e-05 | -1.03947e-06 / 1.03947e-06 | -1.69452e-05 / 1.69452e-05 | -5.6324e-06 / 5.6324e-06 | -0.000348227 / 0.000348227 | -0.000187533 / 0.000187533 | -0.000136407 / 0.000136407 | -0.000377739 / 0.000377739 | -5.6476e-05 / 5.6476e-05 | -7.19314e-05 / 7.19314e-05 | -2.36279e-06 / 2.36279e-06 | -3.07945e-05 / 3.07945e-05 | 2.96808e-06 / -2.96808e-06 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 6 | 3.94253e-05 / -3.94253e-05 | 8.32938e-06 / -8.32938e-06 | 8.00695e-07 / -8.00695e-07 | 6.56948e-06 / -6.56948e-06 | 1.09591e-06 / -1.09591e-06 | 0.000298998 / -0.000298998 | 2.90969e-06 / -2.90969e-06 | 2.7694e-05 / -2.7694e-05 | 0.000138767 / -0.000138767 | 7.64552e-05 / -7.64552e-05 | 5.70926e-05 / -5.70926e-05 | 1.49573e-05 / -1.49573e-05 | 1.84756e-05 / -1.84756e-05 | -4.4015e-05 / 4.4015e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 11 | -0.0261953 / 0.0261953 | -0.00461898 / 0.00461898 | -0.000670853 / 0.000670853 | -0.00522011 / 0.00522011 | -0.000748933 / 0.000748933 | -0.381411 / 0.381411 | -0.0812614 / 0.0812614 | -0.0145736 / 0.0145736 | -0.332021 / 0.332021 | -0.0728289 / 0.0728289 | -0.0123484 / 0.0123484 | -0.0135843 / 0.0135843 | -0.00940806 / 0.00940806 | -0.00249466 / 0.00249466 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 13 | 0.0222899 / -0.0222899 | 0.00462608 / -0.00462608 | 0.000794427 / -0.000794427 | 0.00159837 / -0.00159837 | 0.000581088 / -0.000581088 | 0.274966 / -0.274966 | 0.071554 / -0.071554 | 0.00965492 / -0.00965492 | 0.28711 / -0.28711 | 0.0716809 / -0.0716809 | 0.00998053 / -0.00998053 | 0.00439351 / -0.00439351 | 0.0062091 / -0.0062091 | -0.000591894 / 0.000591894 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 14 | -0.0179945 / 0.0179945 | -0.00311546 / 0.00311546 | -0.000441289 / 0.000441289 | -0.00400566 / 0.00400566 | -0.000418758 / 0.000418758 | -0.265049 / 0.265049 | -0.0540274 / 0.0540274 | -0.0115426 / 0.0115426 | -0.226447 / 0.226447 | -0.0504824 / 0.0504824 | -0.00938264 / 0.00938264 | -0.0104539 / 0.0104539 | -0.00808489 / 0.00808489 | -0.00195825 / 0.00195825 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 15 | -0.00553871 / 0.00553871 | -0.000925544 / 0.000925544 | -0.00015246 / 0.00015246 | -0.000935706 / 0.000935706 | -6.0959e-05 / 6.0959e-05 | -0.0692561 / 0.0692561 | -0.0138862 / 0.0138862 | -0.0033751 / 0.0033751 | -0.065775 / 0.065775 | -0.0163646 / 0.0163646 | -0.00348001 / 0.00348001 | -0.00306736 / 0.00306736 | -0.00178427 / 0.00178427 | -0.000579592 / 0.000579592 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 16 | 0.00369644 / -0.00369644 | 6.68108e-05 / -6.68108e-05 | 0.000103656 / -0.000103656 | -4.59678e-05 / 4.59678e-05 | -3.09297e-05 / 3.09297e-05 | 0.0337345 / -0.0337345 | 0.00985924 / -0.00985924 | 0.000600255 / -0.000600255 | 0.0461636 / -0.0461636 | 0.012498 / -0.012498 | 0.0023622 / -0.0023622 | 0.00310441 / -0.00310441 | 0.00136729 / -0.00136729 | 0.00159842 / -0.00159842 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b-tag extrap. | 0.00300568 / -0.00300568 | 0.00693886 / -0.00693886 | 0.00112726 / -0.00112726 | 0.00334764 / -0.00334764 | 0.00116339 / -0.00116339 | 1.10837e-05 / -1.10837e-05 | 0.0212679 / -0.0212679 | 0.00377288 / -0.00377288 | 0.000467394 / -0.000467394 | 0.0156262 / -0.0156262 | 0.00171551 / -0.00171551 | 0.00407005 / -0.00407005 | 0.00452052 / -0.00452052 | 0.00519869 / -0.00519869 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b-tag extrap. from charm | 0.00525307 / -0.00525307 | 0.00122713 / -0.00122713 | 0.000156033 / -0.000156033 | 0.00274973 / -0.00274973 | 0.00063891 / -0.00063891 | 0.000983744 / -0.000983744 | 7.29312e-05 / -7.29312e-05 | 2.94302e-05 / -2.94302e-05 | 0.0433497 / -0.0433497 | 0.00715143 / -0.00715143 | 0.00153669 / -0.00153669 | 0.00380021 / -0.00380021 | -0.00127969 / 0.00127969 | 0.000629312 / -0.000629312 | 0 / 0 | 0 / 0 | -nan / -nan |
 | JVT uncertainty | 0.00732614 / -0.00732614 | 0.00573566 / -0.00573566 | 0.00517672 / -0.00517672 | 0.002815 / -0.002815 | 0.0027541 / -0.0027541 | 0.008695 / -0.008695 | 0.00763991 / -0.00763991 | 0.00837618 / -0.00837618 | 0.0088248 / -0.0088248 | 0.00796969 / -0.00796969 | 0.00729817 / -0.00729817 | 0.00608927 / -0.00608927 | 0.00771887 / -0.00771887 | -0.00683804 / 0.00683804 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron E_{T} res. | -0.000314595 / 0.000314595 | 0.000212017 / -0.000212017 | 0.000181905 / -0.000181905 | -9.60581e-05 / 9.60581e-05 | 0.000432973 / -0.000432973 | 0.000457195 / -0.000457195 | -0.000332647 / 0.000332647 | -9.94367e-05 / 9.94367e-05 | -0.00155282 / 0.00155282 | -0.00264666 / 0.00264666 | 8.58617e-05 / -8.58617e-05 | 0.000525857 / -0.000525857 | 9.26961e-05 / -9.26961e-05 | 4.90751e-05 / -4.90751e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron E_{T} scale | 0.000600915 / -0.000600915 | 0.00012965 / -0.00012965 | 0.000311389 / -0.000311389 | 0.00021461 / -0.00021461 | 0.000257826 / -0.000257826 | 0.000641934 / -0.000641934 | 0.000302043 / -0.000302043 | 0.000137596 / -0.000137596 | -0.00025248 / 0.00025248 | -0.00087128 / 0.00087128 | 0.000109863 / -0.000109863 | 5.26258e-05 / -5.26258e-05 | 0.00010867 / -0.00010867 | -5.77148e-06 / 5.77148e-06 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID p_{T} res. | -0.000180824 / 0.000180824 | -0.000246546 / 0.000246546 | -0.000340318 / 0.000340318 | 0.000104337 / -0.000104337 | -8.00022e-05 / 8.00022e-05 | -8.08382e-05 / 8.08382e-05 | 1.88221e-05 / -1.88221e-05 | 7.25036e-05 / -7.25036e-05 | 9.25926e-05 / -9.25926e-05 | 0.000114548 / -0.000114548 | -8.1882e-07 / 8.1882e-07 | 0.000388213 / -0.000388213 | 6.82914e-05 / -6.82914e-05 | 0.00133 / -0.00133 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon MS p_{T} res. | -0.000158139 / 0.000158139 | -0.000693117 / 0.000693117 | -1.68222e-06 / 1.68222e-06 | 4.13187e-05 / -4.13187e-05 | 6.86239e-06 / -6.86239e-06 | 0.000145456 / -0.000145456 | -5.31906e-05 / 5.31906e-05 | -0.000664038 / 0.000664038 | -0.000443067 / 0.000443067 | -0.00472573 / 0.00472573 | 0.000164435 / -0.000164435 | 0.000257478 / -0.000257478 | -0.000853192 / 0.000853192 | -0.00132888 / 0.00132888 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon p_{T} scale | -0.000603719 / 0.000603719 | -0.00010358 / 0.00010358 | -0.000153146 / 0.000153146 | 9.55805e-05 / -9.55805e-05 | -5.62823e-05 / 5.62823e-05 | -0.000328065 / 0.000328065 | -0.00016474 / 0.00016474 | -2.96439e-05 / 2.96439e-05 | 0.0005523 / -0.0005523 | 7.49314e-05 / -7.49314e-05 | 1.17403e-05 / -1.17403e-05 | -0.00044587 / 0.00044587 | -1.70629e-06 / 1.70629e-06 | -1.53792e-06 / 1.53792e-06 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 1 | 0.025235 / -0.025235 | 0.00689054 / -0.00689054 | 0.0048659 / -0.0048659 | -0.00177218 / 0.00177218 | -0.0105705 / 0.0105705 | 0.0626323 / -0.0626323 | 0.0487103 / -0.0487103 | 0.0431442 / -0.0431442 | 0.053654 / -0.053654 | 0.0557413 / -0.0557413 | 0.0214682 / -0.0214682 | 0.0104999 / -0.0104999 | 0.0385625 / -0.0385625 | -0.0358162 / 0.0358162 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 2 | -0.00664411 / 0.00664411 | 0.000211094 / -0.000211094 | -0.00155598 / 0.00155598 | 0.00198281 / -0.00198281 | 0.00411396 / -0.00411396 | -0.0131341 / 0.0131341 | -0.01655 / 0.01655 | -0.00765784 / 0.00765784 | -0.0137557 / 0.0137557 | -0.0233447 / 0.0233447 | -0.01167 / 0.01167 | -4.53503e-05 / 4.53503e-05 | -0.00667808 / 0.00667808 | 0.00208324 / -0.00208324 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 3 | 0.00109584 / -0.00109584 | -0.000181892 / 0.000181892 | 2.83298e-05 / -2.83298e-05 | -0.000367901 / 0.000367901 | -0.000816416 / 0.000816416 | 0.00153725 / -0.00153725 | 0.00198888 / -0.00198888 | 8.63597e-05 / -8.63597e-05 | 0.0017522 / -0.0017522 | 0.00049716 / -0.00049716 | 0.00245708 / -0.00245708 | 0.000610681 / -0.000610681 | 0.00343289 / -0.00343289 | 0.000120189 / -0.000120189 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 4 | -0.000893479 / 0.000893479 | 3.60599e-05 / -3.60599e-05 | -0.000121029 / 0.000121029 | 7.59068e-05 / -7.59068e-05 | 0.000457709 / -0.000457709 | -0.000715252 / 0.000715252 | -0.00184818 / 0.00184818 | 0.000259193 / -0.000259193 | -0.000644134 / 0.000644134 | -4.47639e-05 / 4.47639e-05 | -0.00201467 / 0.00201467 | -0.000993913 / 0.000993913 | -0.00272095 / 0.00272095 | -2.84985e-05 / 2.84985e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 6 | 0.00128858 / -0.00128858 | -0.000247464 / 0.000247464 | 7.18051e-05 / -7.18051e-05 | -0.000307404 / 0.000307404 | -0.000974336 / 0.000974336 | 0.002313 / -0.002313 | 0.00637333 / -0.00637333 | 0.000570162 / -0.000570162 | 0.00267033 / -0.00267033 | 0.002271 / -0.002271 | 0.00365326 / -0.00365326 | -0.00103445 / 0.00103445 | 0.00509473 / -0.00509473 | -0.00213128 / 0.00213128 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 7 | -0.00151619 / 0.00151619 | 0.000690129 / -0.000690129 | 0.000183773 / -0.000183773 | 0.000457148 / -0.000457148 | 0.00136233 / -0.00136233 | -0.00431496 / 0.00431496 | -0.0071206 / 0.0071206 | 2.94208e-05 / -2.94208e-05 | -0.00494356 / 0.00494356 | -0.0028156 / 0.0028156 | -0.0034006 / 0.0034006 | 0.000880054 / -0.000880054 | -0.00488479 / 0.00488479 | 0.00124816 / -0.00124816 | 0 / 0 | 0 / 0 | -nan / -nan |
