 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | Muon ID (syst.) | 0.0035013 / -0.0035013 | 0.00354087 / -0.00354087 | 0.00361365 / -0.00361365 | 0.00396559 / -0.00396559 | 0.00369892 / -0.00369892 | 0.00450271 / -0.00450271 | 0.00483602 / -0.00483602 | 0.0045132 / -0.0045132 | 0.00277048 / -0.00277048 | 0.00305972 / -0.00305972 | 0.00283509 / -0.00283509 | 0.00419006 / -0.00419006 | 0.00419754 / -0.00419754 | 0.00417095 / -0.00417095 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Trig. (stat.) | 0.00271025 / -0.00271025 | 0.00271362 / -0.00271362 | 0.00261793 / -0.00261793 | 0.00261661 / -0.00261661 | 0.0026854 / -0.0026854 | 0.00264883 / -0.00264883 | 0.00291941 / -0.00291941 | 0.00256684 / -0.00256684 | 0.00166821 / -0.00166821 | 0.00185499 / -0.00185499 | 0.00166425 / -0.00166425 | 0.0028328 / -0.0028328 | 0.00246403 / -0.00246403 | 0.0026345 / -0.0026345 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (syst.) | 0.000402033 / -0.000402033 | 0.000387311 / -0.000387311 | 0.000356466 / -0.000356466 | 0.000348985 / -0.000348985 | 0.000391752 / -0.000391752 | 0.000231296 / -0.000231296 | 0.000286579 / -0.000286579 | 0.000172734 / -0.000172734 | 0.000170231 / -0.000170231 | 0.000143021 / -0.000143021 | 0.000283241 / -0.000283241 | 0.000382364 / -0.000382364 | 0.000314772 / -0.000314772 | 0.000344604 / -0.000344604 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Pile-up uncertainty | 0.00796729 / -0.00796729 | -0.00326061 / 0.00326061 | -0.00166404 / 0.00166404 | 0.000282973 / -0.000282973 | -0.00422198 / 0.00422198 | 0.00625771 / -0.00625771 | -0.0189187 / 0.0189187 | 0.0223624 / -0.0223624 | 0.000941545 / -0.000941545 | -0.0108559 / 0.0108559 | 0.0397295 / -0.0397295 | 0.0068039 / -0.0068039 | 0.0178934 / -0.0178934 | -0.000796497 / 0.000796497 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 0 | -0.0462883 / 0.0462883 | -0.0413336 / 0.0413336 | -0.0149165 / 0.0149165 | -0.0340475 / 0.0340475 | -0.0108773 / 0.0108773 | 0 / 0 | 0 / 0 | -0.0480751 / 0.0480751 | 0 / 0 | 0 / 0 | -0.049192 / 0.049192 | -0.0430626 / 0.0430626 | -0.0451908 / 0.0451908 | -0.00272539 / 0.00272539 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 1 | -0.0141002 / 0.0141002 | -0.0127245 / 0.0127245 | -0.00386226 / 0.00386226 | -0.0141881 / 0.0141881 | -0.00299042 / 0.00299042 | 0 / 0 | 0 / 0 | -0.0136224 / 0.0136224 | 0 / 0 | 0 / 0 | -0.0122092 / 0.0122092 | -0.0182231 / 0.0182231 | -0.017641 / 0.017641 | 0.000367105 / -0.000367105 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 2 | 0.0109703 / -0.0109703 | 0.00954857 / -0.00954857 | 0.00267142 / -0.00267142 | 0.00714818 / -0.00714818 | 0.00172445 / -0.00172445 | 0 / 0 | 0 / 0 | 0.00799257 / -0.00799257 | 0 / 0 | 0 / 0 | 0.00939131 / -0.00939131 | 0.00790983 / -0.00790983 | 0.00753275 / -0.00753275 | 0.000869632 / -0.000869632 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 3 | -0.000586003 / 0.000586003 | -0.000486612 / 0.000486612 | -0.000491321 / 0.000491321 | 0.000114948 / -0.000114948 | -0.000124127 / 0.000124127 | 0 / 0 | 0 / 0 | -0.000903815 / 0.000903815 | 0 / 0 | 0 / 0 | -0.00158355 / 0.00158355 | -0.000261277 / 0.000261277 | -0.000673652 / 0.000673652 | -0.000351489 / 0.000351489 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 0 | -0.00413758 / 0.00413758 | -0.0124139 / 0.0124139 | -0.000863016 / 0.000863016 | -0.00573558 / 0.00573558 | -0.00208288 / 0.00208288 | -7.37906e-05 / 7.37906e-05 | -0.17567 / 0.17567 | -0.00430733 / 0.00430733 | -0.0106947 / 0.0106947 | -0.182214 / 0.182214 | -0.00489688 / 0.00489688 | -0.00387502 / 0.00387502 | -0.00589234 / 0.00589234 | -0.00105351 / 0.00105351 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 0 | -0.00351831 / 0.00351831 | -0.00158638 / 0.00158638 | -0.00145349 / 0.00145349 | -0.00183663 / 0.00183663 | -0.000723958 / 0.000723958 | -0.797628 / 0.797628 | -0.177102 / 0.177102 | -0.000828326 / 0.000828326 | -0.75602 / 0.75602 | -0.1638 / 0.1638 | -0.00638962 / 0.00638962 | -0.00489324 / 0.00489324 | -0.00227371 / 0.00227371 | 0.00140208 / -0.00140208 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 1 | 1.49012e-05 / -1.49012e-05 | 6.9648e-05 / -6.9648e-05 | -5.39422e-06 / 5.39422e-06 | 5.30481e-05 / -5.30481e-05 | -1.39177e-05 / 1.39177e-05 | 0.0016174 / -0.0016174 | 0.000224859 / -0.000224859 | 8.22842e-05 / -8.22842e-05 | 0.0020605 / -0.0020605 | -0.000283867 / 0.000283867 | -0.000200629 / 0.000200629 | -2.38419e-06 / 2.38419e-06 | 3.16501e-05 / -3.16501e-05 | -1.88351e-05 / 1.88351e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 2 | 8.61287e-06 / -8.61287e-06 | 2.03848e-05 / -2.03848e-05 | 4.91738e-06 / -4.91738e-06 | 2.85208e-05 / -2.85208e-05 | 5.48363e-06 / -5.48363e-06 | 0.000694335 / -0.000694335 | 0.000453383 / -0.000453383 | 7.83205e-05 / -7.83205e-05 | 8.33869e-05 / -8.33869e-05 | 0.000113755 / -0.000113755 | -2.37823e-05 / 2.37823e-05 | 1.7792e-05 / -1.7792e-05 | -0.00126016 / 0.00126016 | 1.34706e-05 / -1.34706e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 3 | 1.07288e-06 / -1.07288e-06 | 2.02656e-05 / -2.02656e-05 | 1.37091e-06 / -1.37091e-06 | 1.23978e-05 / -1.23978e-05 | -3.45707e-06 / 3.45707e-06 | -0.00108695 / 0.00108695 | -5.08428e-05 / 5.08428e-05 | 0.000274092 / -0.000274092 | -0.000925362 / 0.000925362 | -0.000444829 / 0.000444829 | 0.00065583 / -0.00065583 | -1.89841e-05 / 1.89841e-05 | -0.000127077 / 0.000127077 | -3.30806e-06 / 3.30806e-06 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 5 | 0 / 0 | -3.48687e-06 / 3.48687e-06 | -1.2815e-06 / 1.2815e-06 | -9.83477e-07 / 9.83477e-07 | 2.11596e-06 / -2.11596e-06 | -0.000619859 / 0.000619859 | -8.35955e-05 / 8.35955e-05 | -2.36034e-05 / 2.36034e-05 | -0.000163257 / 0.000163257 | -5.06341e-05 / 5.06341e-05 | -0.000101656 / 0.000101656 | -3.30806e-06 / 3.30806e-06 | 2.65241e-05 / -2.65241e-05 | 4.05312e-06 / -4.05312e-06 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 6 | 2.68221e-07 / -2.68221e-07 | -4.85778e-06 / 4.85778e-06 | -1.87755e-06 / 1.87755e-06 | -2.23517e-06 / 2.23517e-06 | 2.11596e-06 / -2.11596e-06 | 0.0002473 / -0.0002473 | 5.16176e-05 / -5.16176e-05 | 1.2219e-06 / -1.2219e-06 | 0.000454783 / -0.000454783 | -5.33462e-06 / 5.33462e-06 | 3.00407e-05 / -3.00407e-05 | 7.51018e-06 / -7.51018e-06 | 0.000119686 / -0.000119686 | 3.27826e-07 / -3.27826e-07 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 11 | -0.00111684 / 0.00111684 | -0.00109607 / 0.00109607 | -0.000209272 / 0.000209272 | -0.0016664 / 0.0016664 | 7.56383e-05 / -7.56383e-05 | -0.272853 / 0.272853 | -0.0627908 / 0.0627908 | -0.00666109 / 0.00666109 | -0.261548 / 0.261548 | -0.0477566 / 0.0477566 | -0.00198349 / 0.00198349 | -0.000586748 / 0.000586748 | -0.00484809 / 0.00484809 | 0.000328541 / -0.000328541 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 13 | 0.000712037 / -0.000712037 | 0.00047335 / -0.00047335 | 0.000273228 / -0.000273228 | 0.000497222 / -0.000497222 | -5.47171e-05 / 5.47171e-05 | 0.176222 / -0.176222 | 0.0463473 / -0.0463473 | -0.00138921 / 0.00138921 | 0.187078 / -0.187078 | 0.0467145 / -0.0467145 | 0.00166419 / -0.00166419 | 0.00132933 / -0.00132933 | 0.00043574 / -0.00043574 | 0.000139683 / -0.000139683 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 14 | -0.000896305 / 0.000896305 | -0.000752747 / 0.000752747 | -0.00023374 / 0.00023374 | -0.00110853 / 0.00110853 | -5.24223e-05 / 5.24223e-05 | -0.183652 / 0.183652 | -0.0417509 / 0.0417509 | -0.0044618 / 0.0044618 | -0.178343 / 0.178343 | -0.0274941 / 0.0274941 | 0.00386104 / -0.00386104 | -0.000372171 / 0.000372171 | -0.00239074 / 0.00239074 | 0.000390083 / -0.000390083 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 15 | -0.000275671 / 0.000275671 | -0.000186712 / 0.000186712 | -0.000101864 / 0.000101864 | -0.000232279 / 0.000232279 | -2.32756e-05 / 2.32756e-05 | -0.041065 / 0.041065 | -0.00958014 / 0.00958014 | -0.000239074 / 0.000239074 | -0.0494749 / 0.0494749 | -0.00649562 / 0.00649562 | -1.86861e-05 / 1.86861e-05 | -0.000121623 / 0.000121623 | -0.00152203 / 0.00152203 | 6.76215e-05 / -6.76215e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 16 | 4.04418e-05 / -4.04418e-05 | 8.77082e-05 / -8.77082e-05 | -0.000194639 / 0.000194639 | 0.000107497 / -0.000107497 | -0.00016287 / 0.00016287 | 0.0214651 / -0.0214651 | 0.00566494 / -0.00566494 | 0.000438809 / -0.000438809 | 0.0417287 / -0.0417287 | 0.00795981 / -0.00795981 | 0.00216401 / -0.00216401 | 0.00034073 / -0.00034073 | 0.000686109 / -0.000686109 | 0.000123978 / -0.000123978 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b-tag extrap. | 0.00074333 / -0.00074333 | 0.00130358 / -0.00130358 | 0.000322521 / -0.000322521 | 0.00163102 / -0.00163102 | 0.000345379 / -0.000345379 | 9.12547e-05 / -9.12547e-05 | 0.0193189 / -0.0193189 | 0.000959486 / -0.000959486 | 0.000383228 / -0.000383228 | 0.0137798 / -0.0137798 | 0.00114495 / -0.00114495 | 0.0022518 / -0.0022518 | 0.00334263 / -0.00334263 | -0.000312477 / 0.000312477 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b-tag extrap. from charm | 0.000163883 / -0.000163883 | 0.000162333 / -0.000162333 | -1.46627e-05 / 1.46627e-05 | 0.00047943 / -0.00047943 | 0.000203431 / -0.000203431 | 0.000216365 / -0.000216365 | 6.72042e-05 / -6.72042e-05 | -6.4373e-06 / 6.4373e-06 | 0.0222676 / -0.0222676 | 0.00770581 / -0.00770581 | 0.000820607 / -0.000820607 | 8.88109e-06 / -8.88109e-06 | -9.86159e-05 / 9.86159e-05 | -0.00014022 / 0.00014022 | 0 / 0 | 0 / 0 | -nan / -nan |
 | JVT uncertainty | 0.0100623 / -0.0100623 | 0.00955105 / -0.00955105 | 0.00924748 / -0.00924748 | 0.00687781 / -0.00687781 | 0.00789952 / -0.00789952 | 0.0113004 / -0.0113004 | 0.0107311 / -0.0107311 | 0.0096066 / -0.0096066 | 0.0107799 / -0.0107799 | 0.0108077 / -0.0108077 | 0.0108723 / -0.0108723 | 0.0104132 / -0.0104132 | 0.00883213 / -0.00883213 | 0.00536263 / -0.00536263 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron E_{T} res. | 5.80251e-05 / -5.80251e-05 | 0.000179261 / -0.000179261 | 6.1065e-05 / -6.1065e-05 | -0.000103951 / 0.000103951 | -0.000295013 / 0.000295013 | 0.000257015 / -0.000257015 | 0.000227779 / -0.000227779 | 0.0021008 / -0.0021008 | 0.00125411 / -0.00125411 | -0.000471264 / 0.000471264 | 0.000776499 / -0.000776499 | 0.000277042 / -0.000277042 | -0.00017938 / 0.00017938 | 0.00155011 / -0.00155011 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron E_{T} scale | 0.000184208 / -0.000184208 | 0.000323743 / -0.000323743 | 0.00036785 / -0.00036785 | 0.000531733 / -0.000531733 | 0.000226051 / -0.000226051 | 0.00043112 / -0.00043112 | 8.51452e-05 / -8.51452e-05 | 0.00177106 / -0.00177106 | 0.000363618 / -0.000363618 | 0.00327113 / -0.00327113 | -0.000256658 / 0.000256658 | -0.000594229 / 0.000594229 | 0.00238958 / -0.00238958 | 0.000395685 / -0.000395685 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID p_{T} res. | 0.000189364 / -0.000189364 | -0.000127167 / 0.000127167 | -9.2566e-05 / 9.2566e-05 | 0.000133425 / -0.000133425 | -0.00027138 / 0.00027138 | 2.35438e-05 / -2.35438e-05 | -0.000427246 / 0.000427246 | 0.00176954 / -0.00176954 | 1.54972e-05 / -1.54972e-05 | -0.000578642 / 0.000578642 | -0.000366479 / 0.000366479 | -0.000263214 / 0.000263214 | 0.00100273 / -0.00100273 | -0.000388294 / 0.000388294 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon MS p_{T} res. | -5.67436e-05 / 5.67436e-05 | -0.0001508 / 0.0001508 | 0.000245869 / -0.000245869 | -0.000106156 / 0.000106156 | 0.000110239 / -0.000110239 | -0.000265181 / 0.000265181 | 0.000245512 / -0.000245512 | -0.00115862 / 0.00115862 | -0.000452548 / 0.000452548 | 0.000306726 / -0.000306726 | 0.000832677 / -0.000832677 | -0.000150621 / 0.000150621 | -0.000118613 / 0.000118613 | -0.000257701 / 0.000257701 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon p_{T} scale | -0.000196874 / 0.000196874 | -0.000146329 / 0.000146329 | -0.000281185 / 0.000281185 | -0.000131011 / 0.000131011 | -0.000185519 / 0.000185519 | -0.000475407 / 0.000475407 | -0.000424832 / 0.000424832 | -0.00132558 / 0.00132558 | -0.000499457 / 0.000499457 | -3.93391e-05 / 3.93391e-05 | -0.000171483 / 0.000171483 | -0.000321835 / 0.000321835 | 5.96046e-07 / -5.96046e-07 | -1.71065e-05 / 1.71065e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 1 | 0.0412052 / -0.0412052 | 0.0334405 / -0.0334405 | 0.0370423 / -0.0370423 | 0.0223613 / -0.0223613 | 0.0215658 / -0.0215658 | 0.0792888 / -0.0792888 | 0.0698644 / -0.0698644 | 0.0487191 / -0.0487191 | 0.0657868 / -0.0657868 | 0.0643874 / -0.0643874 | 0.0559188 / -0.0559188 | 0.0475025 / -0.0475025 | 0.0331042 / -0.0331042 | 0.000622094 / -0.000622094 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 2 | -0.0120283 / 0.0120283 | -0.00962538 / 0.00962538 | -0.00977635 / 0.00977635 | -0.0060738 / 0.0060738 | -0.00443625 / 0.00443625 | -0.0148061 / 0.0148061 | -0.0153444 / 0.0153444 | -0.00947893 / 0.00947893 | -0.0387526 / 0.0387526 | -0.00495097 / 0.00495097 | -0.00471002 / 0.00471002 | -0.0138926 / 0.0138926 | -0.00918764 / 0.00918764 | -3.99649e-05 / 3.99649e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 3 | 0.00195715 / -0.00195715 | 0.00162995 / -0.00162995 | 0.000784099 / -0.000784099 | 0.00149578 / -0.00149578 | -9.67085e-05 / 9.67085e-05 | 0.00749111 / -0.00749111 | 0.00367004 / -0.00367004 | 0.00139922 / -0.00139922 | 0.0109028 / -0.0109028 | -0.003333 / 0.003333 | -0.00550207 / 0.00550207 | 0.0016982 / -0.0016982 | 0.00157568 / -0.00157568 | -0.000157356 / 0.000157356 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 4 | -0.0016233 / 0.0016233 | -0.000749797 / 0.000749797 | 0.000555575 / -0.000555575 | -0.0012646 / 0.0012646 | 0.000523537 / -0.000523537 | -0.00385478 / 0.00385478 | -0.00327033 / 0.00327033 | -0.0014644 / 0.0014644 | -0.00447845 / 0.00447845 | 0.00507694 / -0.00507694 | 0.00404325 / -0.00404325 | 0.000997066 / -0.000997066 | -0.00164518 / 0.00164518 | -0.00124547 / 0.00124547 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 6 | 0.00174811 / -0.00174811 | 0.00200847 / -0.00200847 | 0.00274193 / -0.00274193 | 0.00193402 / -0.00193402 | 0.000978798 / -0.000978798 | 0.00370061 / -0.00370061 | 0.000502616 / -0.000502616 | -0.00499684 / 0.00499684 | 0.0116057 / -0.0116057 | 0.00460717 / -0.00460717 | -0.000489652 / 0.000489652 | 0.00271469 / -0.00271469 | 0.00383514 / -0.00383514 | 0.00127351 / -0.00127351 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 7 | -0.00266159 / 0.00266159 | -0.0023717 / 0.0023717 | -0.00132132 / 0.00132132 | -0.00199717 / 0.00199717 | -0.00110039 / 0.00110039 | -0.00586963 / 0.00586963 | -0.00526336 / 0.00526336 | -0.00223842 / 0.00223842 | -0.0115665 / 0.0115665 | -0.00261942 / 0.00261942 | -0.00292182 / 0.00292182 | -0.00435767 / 0.00435767 | -0.00142336 / 0.00142336 | -0.000176191 / 0.000176191 | 0 / 0 | 0 / 0 | -nan / -nan |
