 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | Muon ID (syst.) | 0.00451696 / -0.00451696 | 0.00497822 / -0.00497822 | 0.00385932 / -0.00385932 | 0.00373973 / -0.00373973 | 0.00370837 / -0.00370837 | 0.00456309 / -0.00456309 | 0.00534341 / -0.00534341 | 0.00509734 / -0.00509734 | 0.00308167 / -0.00308167 | 0.00262977 / -0.00262977 | 0.00360279 / -0.00360279 | 0.00450083 / -0.00450083 | 0.00445509 / -0.00445509 | 0.00421963 / -0.00421963 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Trig. (stat.) | 0.00313475 / -0.00313475 | 0.0028135 / -0.0028135 | 0.00279124 / -0.00279124 | 0.00270222 / -0.00270222 | 0.00277976 / -0.00277976 | 0.00274239 / -0.00274239 | 0.00296496 / -0.00296496 | 0.00294949 / -0.00294949 | 0.00175133 / -0.00175133 | 0.00149657 / -0.00149657 | 0.00177764 / -0.00177764 | 0.00287887 / -0.00287887 | 0.00282883 / -0.00282883 | 0.0027424 / -0.0027424 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Trig. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon Isol. (syst.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (stat.) | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon TTVA (syst.) | 0.000557171 / -0.000557171 | 0.000518837 / -0.000518837 | 0.000387816 / -0.000387816 | 0.000397469 / -0.000397469 | 0.000421175 / -0.000421175 | 0.000239701 / -0.000239701 | 0.000258694 / -0.000258694 | 0.000269284 / -0.000269284 | 0.000172439 / -0.000172439 | 0.000193826 / -0.000193826 | 0.000241777 / -0.000241777 | 0.000406838 / -0.000406838 | 0.000336488 / -0.000336488 | 0.000406398 / -0.000406398 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Pile-up uncertainty | 0.0812921 / -0.0812921 | -0.0484439 / 0.0484439 | 0.00287222 / -0.00287222 | -0.00904037 / 0.00904037 | -0.00690285 / 0.00690285 | 0.0194602 / -0.0194602 | -0.0128476 / 0.0128476 | -0.00100938 / 0.00100938 | 0.0112065 / -0.0112065 | 0.00430034 / -0.00430034 | 0.0446219 / -0.0446219 | 0.012515 / -0.012515 | -0.0490472 / 0.0490472 | -0.0156207 / 0.0156207 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 0 | -0.0423646 / 0.0423646 | -0.0429849 / 0.0429849 | -0.0894123 / 0.0894123 | -0.083336 / 0.083336 | -0.0849567 / 0.0849567 | 0 / 0 | 0 / 0 | -0.115605 / 0.115605 | 0 / 0 | 0 / 0 | -0.103023 / 0.103023 | -0.0997255 / 0.0997255 | -0.110542 / 0.110542 | -0.0747528 / 0.0747528 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 1 | -0.0176237 / 0.0176237 | -0.0219381 / 0.0219381 | -0.030831 / 0.030831 | -0.0364244 / 0.0364244 | -0.0349942 / 0.0349942 | 0 / 0 | 0 / 0 | -0.020632 / 0.020632 | 0 / 0 | 0 / 0 | -0.027897 / 0.027897 | -0.0271995 / 0.0271995 | -0.0198542 / 0.0198542 | -0.0450206 / 0.0450206 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 2 | 0.0167425 / -0.0167425 | 0.00931606 / -0.00931606 | 0.0188886 / -0.0188886 | 0.0189086 / -0.0189086 | 0.0202399 / -0.0202399 | 0 / 0 | 0 / 0 | 0.0165279 / -0.0165279 | 0 / 0 | 0 / 0 | 0.0209795 / -0.0209795 | 0.0159255 / -0.0159255 | 0.0204399 / -0.0204399 | 0.0135183 / -0.0135183 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 3 | -0.000834636 / 0.000834636 | 0.0015203 / -0.0015203 | -0.000454206 / 0.000454206 | 0.000763503 / -0.000763503 | 0.000471655 / -0.000471655 | 0 / 0 | 0 / 0 | -0.0035277 / 0.0035277 | 0 / 0 | 0 / 0 | -0.00150189 / 0.00150189 | -0.00321876 / 0.00321876 | -0.00614853 / 0.00614853 | 0.0021324 / -0.0021324 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 0 | -0.0936668 / 0.0936668 | -0.213719 / 0.213719 | -0.0123362 / 0.0123362 | -0.0112532 / 0.0112532 | -0.00769819 / 0.00769819 | -0.000627108 / 0.000627108 | -0.365506 / 0.365506 | -0.0139509 / 0.0139509 | -0.0266834 / 0.0266834 | -0.374799 / 0.374799 | -0.0143953 / 0.0143953 | -0.0209085 / 0.0209085 | -0.0124306 / 0.0124306 | -0.0142858 / 0.0142858 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 0 | -0.404328 / 0.404328 | -0.0763448 / 0.0763448 | -0.0107047 / 0.0107047 | -0.00713081 / 0.00713081 | -0.00501808 / 0.00501808 | -0.952277 / 0.952277 | -0.43003 / 0.43003 | -0.0118147 / 0.0118147 | -0.969708 / 0.969708 | -0.331365 / 0.331365 | -0.013561 / 0.013561 | -0.0141067 / 0.0141067 | -0.0162924 / 0.0162924 | -0.00835041 / 0.00835041 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 1 | 0.00196335 / -0.00196335 | 0.000729782 / -0.000729782 | 0.000313304 / -0.000313304 | -6.59645e-05 / 6.59645e-05 | 7.04932e-06 / -7.04932e-06 | 0.00331463 / -0.00331463 | -0.000243709 / 0.000243709 | -0.000179699 / 0.000179699 | 0.00248323 / -0.00248323 | 0.000264781 / -0.000264781 | 0.000345625 / -0.000345625 | 0.000855045 / -0.000855045 | 0.000330502 / -0.000330502 | -0.000156464 / 0.000156464 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 2 | -0.002168 / 0.002168 | -0.000425119 / 0.000425119 | -6.17228e-05 / 6.17228e-05 | 3.85626e-05 / -3.85626e-05 | 7.2002e-06 / -7.2002e-06 | 0.00140047 / -0.00140047 | 0.00101981 / -0.00101981 | -0.000199748 / 0.000199748 | 0.00153039 / -0.00153039 | 0.000371577 / -0.000371577 | -7.40437e-06 / 7.40437e-06 | -7.51894e-05 / 7.51894e-05 | -0.000542536 / 0.000542536 | 0.000195414 / -0.000195414 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 3 | -0.000803089 / 0.000803089 | -0.000328661 / 0.000328661 | -1.78856e-05 / 1.78856e-05 | -1.35785e-05 / 1.35785e-05 | -2.60105e-05 / 2.60105e-05 | -0.00136463 / 0.00136463 | -0.000240307 / 0.000240307 | -0.000484172 / 0.000484172 | -0.00185702 / 0.00185702 | -0.000703261 / 0.000703261 | -0.000215896 / 0.000215896 | -0.000235618 / 0.000235618 | 0.000652342 / -0.000652342 | 7.85454e-07 / -7.85454e-07 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 5 | -0.000211171 / 0.000211171 | 5.71407e-05 / -5.71407e-05 | -6.36071e-06 / 6.36071e-06 | -1.49201e-05 / 1.49201e-05 | -1.14752e-05 / 1.14752e-05 | -0.000696011 / 0.000696011 | -0.000195661 / 0.000195661 | 8.735e-05 / -8.735e-05 | -0.000262092 / 0.000262092 | -0.000177728 / 0.000177728 | -5.91088e-05 / 5.91088e-05 | -2.10087e-05 / 2.10087e-05 | -5.88413e-05 / 5.88413e-05 | -1.82186e-05 / 1.82186e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 6 | -0.000115019 / 0.000115019 | 0.000159073 / -0.000159073 | 8.23548e-06 / -8.23548e-06 | 1.47466e-06 / -1.47466e-06 | -1.10029e-06 / 1.10029e-06 | 0.000265551 / -0.000265551 | -5.84061e-05 / 5.84061e-05 | -4.11791e-05 / 4.11791e-05 | 0.0006964 / -0.0006964 | 0.000101766 / -0.000101766 | -2.70551e-05 / 2.70551e-05 | 4.35722e-06 / -4.35722e-06 | 0.000112159 / -0.000112159 | -1.17707e-05 / 1.17707e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 11 | -0.12189 / 0.12189 | -0.0163548 / 0.0163548 | -0.00438925 / 0.00438925 | -0.00392441 / 0.00392441 | -0.0015136 / 0.0015136 | -0.564355 / 0.564355 | -0.11479 / 0.11479 | -0.0110138 / 0.0110138 | -0.54186 / 0.54186 | -0.0994394 / 0.0994394 | -0.00800913 / 0.00800913 | -0.00964189 / 0.00964189 | -0.00461782 / 0.00461782 | -0.00341335 / 0.00341335 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 13 | 0.104597 / -0.104597 | 0.0182457 / -0.0182457 | 0.0027963 / -0.0027963 | 0.00107675 / -0.00107675 | 0.000924877 / -0.000924877 | 0.329729 / -0.329729 | 0.0791311 / -0.0791311 | 0.0084917 / -0.0084917 | 0.348389 / -0.348389 | 0.0601738 / -0.0601738 | 0.0124159 / -0.0124159 | -0.00227495 / 0.00227495 | -0.00476473 / 0.00476473 | 0.00024749 / -0.00024749 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 14 | -0.0812606 / 0.0812606 | -0.0122712 / 0.0122712 | -0.00307678 / 0.00307678 | -0.00323746 / 0.00323746 | -0.00116904 / 0.00116904 | -0.38004 / 0.38004 | -0.0878253 / 0.0878253 | -0.00650789 / 0.00650789 | -0.353803 / 0.353803 | -0.0724236 / 0.0724236 | -0.00291942 / 0.00291942 | -0.00383102 / 0.00383102 | -0.0026986 / 0.0026986 | -0.00287916 / 0.00287916 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 15 | -0.0216269 / 0.0216269 | -0.00343407 / 0.00343407 | -0.000644684 / 0.000644684 | -0.00105354 / 0.00105354 | -0.000239864 / 0.000239864 | -0.0867239 / 0.0867239 | -0.0208783 / 0.0208783 | 0.00231893 / -0.00231893 | -0.0851303 / 0.0851303 | -0.0173113 / 0.0173113 | -0.000807728 / 0.000807728 | 0.00352376 / -0.00352376 | 0.000637433 / -0.000637433 | -0.000585755 / 0.000585755 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 16 | 0.0533077 / -0.0533077 | -0.000525555 / 0.000525555 | -0.000324741 / 0.000324741 | 9.06137e-05 / -9.06137e-05 | -0.000345721 / 0.000345721 | 0.0366703 / -0.0366703 | 0.00572541 / -0.00572541 | -3.58667e-05 / 3.58667e-05 | 0.062831 / -0.062831 | 0.00953817 / -0.00953817 | 0.000855166 / -0.000855166 | -0.0026172 / 0.0026172 | 0.00220907 / -0.00220907 | -0.000215584 / 0.000215584 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b-tag extrap. | 0.00377347 / -0.00377347 | 0.0163526 / -0.0163526 | 0.00291546 / -0.00291546 | 0.00297572 / -0.00297572 | 0.00230264 / -0.00230264 | 0.000111991 / -0.000111991 | 0.0296125 / -0.0296125 | 0.00450754 / -0.00450754 | 0.00111298 / -0.00111298 | 0.025137 / -0.025137 | 0.00106082 / -0.00106082 | 0.0047068 / -0.0047068 | 0.00294348 / -0.00294348 | 0.00712297 / -0.00712297 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b-tag extrap. from charm | 0 / 0 | 0.00310595 / -0.00310595 | 0.000572403 / -0.000572403 | 0.00111609 / -0.00111609 | 0.000496619 / -0.000496619 | 0.00132588 / -0.00132588 | 0.000112314 / -0.000112314 | 2.3224e-05 / -2.3224e-05 | 0.0568405 / -0.0568405 | 0.0164639 / -0.0164639 | 0.00505911 / -0.00505911 | 0.00193513 / -0.00193513 | 7.88423e-05 / -7.88423e-05 | 0.00101723 / -0.00101723 | 0 / 0 | 0 / 0 | -nan / -nan |
 | JVT uncertainty | 0.00806965 / -0.00806965 | 0.0108463 / -0.0108463 | 0.00988897 / -0.00988897 | 0.00813599 / -0.00813599 | 0.00867127 / -0.00867127 | 0.0119005 / -0.0119005 | 0.0124297 / -0.0124297 | 0.011165 / -0.011165 | 0.01182 / -0.01182 | 0.0123567 / -0.0123567 | 0.00883837 / -0.00883837 | 0.00927775 / -0.00927775 | 0.0148565 / -0.0148565 | 0.0071539 / -0.0071539 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron E_{T} res. | -4.68665e-05 / 4.68665e-05 | 0 / 0 | -0.000458416 / 0.000458416 | 6.05775e-05 / -6.05775e-05 | 8.35147e-05 / -8.35147e-05 | 0.000141209 / -0.000141209 | -0.000176176 / 0.000176176 | 7.21681e-05 / -7.21681e-05 | -0.000210059 / 0.000210059 | -0.0753335 / 0.0753335 | -0.000198691 / 0.000198691 | -0.000125454 / 0.000125454 | -0.000440707 / 0.000440707 | -0.000385492 / 0.000385492 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron E_{T} scale | 0 / 0 | 0 / 0 | 0.000260227 / -0.000260227 | 0.000335241 / -0.000335241 | 0.000168172 / -0.000168172 | 0.000281246 / -0.000281246 | 3.41684e-05 / -3.41684e-05 | 0.000106867 / -0.000106867 | -0.000576774 / 0.000576774 | 0.0753744 / -0.0753744 | -5.72331e-05 / 5.72331e-05 | 4.13954e-05 / -4.13954e-05 | 0.000375242 / -0.000375242 | -0.000344313 / 0.000344313 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID p_{T} res. | 0 / 0 | -1.7864e-05 / 1.7864e-05 | 0.000392739 / -0.000392739 | -5.89266e-05 / 5.89266e-05 | -0.000131258 / 0.000131258 | -4.66123e-05 / 4.66123e-05 | 8.94963e-05 / -8.94963e-05 | 0.00178806 / -0.00178806 | 2.03777e-05 / -2.03777e-05 | -0.00272226 / 0.00272226 | 7.59959e-06 / -7.59959e-06 | 2.41908e-06 / -2.41908e-06 | -5.60284e-06 / 5.60284e-06 | -0.000372048 / 0.000372048 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon MS p_{T} res. | 0 / 0 | -1.35601e-05 / 1.35601e-05 | -0.000501671 / 0.000501671 | -2.48937e-05 / 2.48937e-05 | 9.59123e-05 / -9.59123e-05 | -0.0015449 / 0.0015449 | -0.000240743 / 0.000240743 | -0.000130061 / 0.000130061 | -0.000554642 / 0.000554642 | -0.00403422 / 0.00403422 | 0.000166211 / -0.000166211 | 0 / 0 | -9.61682e-06 / 9.61682e-06 | 0.000407102 / -0.000407102 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon p_{T} scale | 0 / 0 | -1.51818e-05 / 1.51818e-05 | -0.000110959 / 0.000110959 | -5.23868e-05 / 5.23868e-05 | -0.000244888 / 0.000244888 | -0.000173967 / 0.000173967 | -0.0113528 / 0.0113528 | -7.04644e-06 / 7.04644e-06 | -0.000446411 / 0.000446411 | 7.24633e-05 / -7.24633e-05 | 6.10039e-06 / -6.10039e-06 | 0 / 0 | -7.82868e-06 / 7.82868e-06 | -0.000466122 / 0.000466122 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 1 | 0.0271024 / -0.0271024 | 0.0369557 / -0.0369557 | 0.0287623 / -0.0287623 | 0.020858 / -0.020858 | 0.0215426 / -0.0215426 | 0.0790908 / -0.0790908 | 0.0735296 / -0.0735296 | 0.0581734 / -0.0581734 | 0.0802451 / -0.0802451 | 0.0504192 / -0.0504192 | 0.161545 / -0.161545 | 0.033735 / -0.033735 | 0.0623521 / -0.0623521 | 0.0117036 / -0.0117036 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 2 | 0.00183676 / -0.00183676 | -0.0111484 / 0.0111484 | -0.00699327 / 0.00699327 | -0.00616743 / 0.00616743 | -0.00570255 / 0.00570255 | -0.0178905 / 0.0178905 | -0.0122785 / 0.0122785 | -0.0106314 / 0.0106314 | -0.026014 / 0.026014 | -0.0127769 / 0.0127769 | -0.116407 / 0.116407 | -0.0101973 / 0.0101973 | -0.0118667 / 0.0118667 | -0.00335294 / 0.00335294 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 3 | -0.000235881 / 0.000235881 | 5.23031e-05 / -5.23031e-05 | 0.00107128 / -0.00107128 | 0.000846845 / -0.000846845 | 0.00093252 / -0.00093252 | 0.0018172 / -0.0018172 | 0.00177599 / -0.00177599 | 0.0005947 / -0.0005947 | 0.00350772 / -0.00350772 | 0.000892601 / -0.000892601 | 0.000154261 / -0.000154261 | 0.000100008 / -0.000100008 | 0.0056461 / -0.0056461 | 0.000117378 / -0.000117378 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 4 | 0.000288665 / -0.000288665 | -5.48039e-07 / 5.48039e-07 | -0.000806397 / 0.000806397 | -0.000309025 / 0.000309025 | -0.00043568 / 0.00043568 | -0.00157122 / 0.00157122 | -0.000774026 / 0.000774026 | 0.000287606 / -0.000287606 | -0.00209019 / 0.00209019 | -0.00079307 / 0.00079307 | 0.000292948 / -0.000292948 | -5.87106e-05 / 5.87106e-05 | 0.000374496 / -0.000374496 | 3.50946e-05 / -3.50946e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 6 | 5.06169e-05 / -5.06169e-05 | 9.95398e-06 / -9.95398e-06 | 0.0015521 / -0.0015521 | 0.00115328 / -0.00115328 | 0.00112952 / -0.00112952 | 0.00244071 / -0.00244071 | 0.00231803 / -0.00231803 | 0.00102007 / -0.00102007 | 0.00476543 / -0.00476543 | 0.00157634 / -0.00157634 | 0.000578719 / -0.000578719 | 6.85371e-05 / -6.85371e-05 | 0.00598118 / -0.00598118 | 0.000131276 / -0.000131276 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 7 | 0.000256479 / -0.000256479 | 2.02656e-06 / -2.02656e-06 | -0.00143286 / 0.00143286 | -0.0011821 / 0.0011821 | -0.00140233 / 0.00140233 | -0.00520395 / 0.00520395 | -0.00278201 / 0.00278201 | -0.000595977 / 0.000595977 | -0.00929171 / 0.00929171 | -0.00196923 / 0.00196923 | -9.85482e-05 / 9.85482e-05 | 1.18664e-05 / -1.18664e-05 | -0.00557532 / 0.00557532 | 8.24227e-06 / -8.24227e-06 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 8 | 0.000291718 / -0.000291718 | 2.33699e-06 / -2.33699e-06 | 0.000735816 / -0.000735816 | 8.07997e-05 / -8.07997e-05 | 0.000303409 / -0.000303409 | 0.00122094 / -0.00122094 | 0.000782929 / -0.000782929 | 0.000459582 / -0.000459582 | 0.00175939 / -0.00175939 | 0.00119877 / -0.00119877 | 0.000313133 / -0.000313133 | -4.725e-05 / 4.725e-05 | 0.000302394 / -0.000302394 | 1.13621e-05 / -1.13621e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
