 |       | t#bar{t}+light      | t#bar{t}+cc      | t#bar{t}+bb      | topEW      | ttH      | W+jetslight      | W+jetscharm      | W+jetsbeauty      | Z+jetslight      | Z+jetscharm      | Z+jetsbeauty      | Single-top      | Dibosons      | SM-4tops      | QCDE      | QCDMU      | t#rightarrow Hc |
 | btag B EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag B EV 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 0 | -0.111191 / 0.111191 | -0.227099 / 0.227099 | -0.0191079 / 0.0191079 | -0.00871779 / 0.00871779 | -0.00642547 / 0.00642547 | -0.000552906 / 0.000552906 | -0.379076 / 0.379076 | -0.0163672 / 0.0163672 | -0.0242664 / 0.0242664 | -0.402198 / 0.402198 | -0.00213295 / 0.00213295 | -0.0119745 / 0.0119745 | -0.0141039 / 0.0141039 | -0.0078685 / 0.0078685 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 1 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 2 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag C EV 3 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 0 | -0.423241 / 0.423241 | -0.0150127 / 0.0150127 | -0.00373849 / 0.00373849 | -0.0075961 / 0.0075961 | -0.00347627 / 0.00347627 | -0.952277 / 0.952277 | -0.375053 / 0.375053 | -0.0202913 / 0.0202913 | -0.969708 / 0.969708 | -0.310019 / 0.310019 | -0.0265531 / 0.0265531 | -0.00707762 / 0.00707762 | -0.00606766 / 0.00606766 | 0.000211266 / -0.000211266 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 1 | 0.00734905 / -0.00734905 | 1.75716e-05 / -1.75716e-05 | 0.000310097 / -0.000310097 | 0.000100696 / -0.000100696 | 0.000107018 / -0.000107018 | 0.00480578 / -0.00480578 | 0.00251758 / -0.00251758 | 0.00015728 / -0.00015728 | 0.00460465 / -0.00460465 | 6.89111e-06 / -6.89111e-06 | 0.000351185 / -0.000351185 | -0.000728916 / 0.000728916 | 0.000196681 / -0.000196681 | -1.36707e-05 / 1.36707e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 2 | -4.50185e-05 / 4.50185e-05 | -0.000138074 / 0.000138074 | -4.73976e-05 / 4.73976e-05 | -5.96676e-06 / 5.96676e-06 | 2.97965e-05 / -2.97965e-05 | 0.00126233 / -0.00126233 | 0.000761405 / -0.000761405 | 0.000108626 / -0.000108626 | 0.00147299 / -0.00147299 | -0.00100904 / 0.00100904 | -0.00271464 / 0.00271464 | 0.000649972 / -0.000649972 | 0.000219745 / -0.000219745 | -4.59356e-06 / 4.59356e-06 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 3 | 0.00176597 / -0.00176597 | -0.000430619 / 0.000430619 | 1.92211e-05 / -1.92211e-05 | -1.38734e-05 / 1.38734e-05 | 3.71821e-06 / -3.71821e-06 | -0.00165908 / 0.00165908 | -5.41279e-05 / 5.41279e-05 | 3.76619e-05 / -3.76619e-05 | -0.00094884 / 0.00094884 | -0.00121871 / 0.00121871 | 0.000166725 / -0.000166725 | -0.000239633 / 0.000239633 | 0.00110868 / -0.00110868 | -4.23447e-06 / 4.23447e-06 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 4 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 5 | 0.000353876 / -0.000353876 | -1.2414e-05 / 1.2414e-05 | 8.18283e-06 / -8.18283e-06 | 1.85956e-06 / -1.85956e-06 | 2.99861e-06 / -2.99861e-06 | -0.000507617 / 0.000507617 | -0.000214236 / 0.000214236 | -2.66705e-06 / 2.66705e-06 | -0.000344651 / 0.000344651 | -0.000133691 / 0.000133691 | -9.30704e-05 / 9.30704e-05 | -0.000118904 / 0.000118904 | -0.000113217 / 0.000113217 | -5.58861e-07 / 5.58861e-07 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 6 | -0.000379395 / 0.000379395 | 0.000211395 / -0.000211395 | 4.80924e-06 / -4.80924e-06 | 1.01674e-05 / -1.01674e-05 | 6.33942e-06 / -6.33942e-06 | 0.000457206 / -0.000457206 | -7.49319e-06 / 7.49319e-06 | 3.73928e-05 / -3.73928e-05 | 0.000241407 / -0.000241407 | 0.000235114 / -0.000235114 | -0.00143215 / 0.00143215 | 1.39998e-06 / -1.39998e-06 | -2.42242e-07 / 2.42242e-07 | 9.64812e-07 / -9.64812e-07 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 7 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 8 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 9 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 10 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 11 | -0.0798655 / 0.0798655 | -0.0183914 / 0.0183914 | -0.00366414 / 0.00366414 | -0.00279507 / 0.00279507 | -0.00216155 / 0.00216155 | -0.513002 / 0.513002 | -0.131915 / 0.131915 | -0.00949811 / 0.00949811 | -0.489093 / 0.489093 | -0.0871371 / 0.0871371 | -0.00322803 / 0.00322803 | -0.004222 / 0.004222 | -0.00562281 / 0.00562281 | 0.000192832 / -0.000192832 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 12 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 13 | 0.0671358 / -0.0671358 | 0.0284959 / -0.0284959 | 0.00124243 / -0.00124243 | -6.7549e-05 / 6.7549e-05 | 0.000365441 / -0.000365441 | 0.363105 / -0.363105 | 0.0918795 / -0.0918795 | 0.0101947 / -0.0101947 | 0.406397 / -0.406397 | 0.0808292 / -0.0808292 | 0.0207781 / -0.0207781 | -0.00091241 / 0.00091241 | 0.00140598 / -0.00140598 | -4.61319e-05 / 4.61319e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 14 | -0.0719661 / 0.0719661 | -0.00347451 / 0.00347451 | -0.00254141 / 0.00254141 | -0.002762 / 0.002762 | -0.00168403 / 0.00168403 | -0.352489 / 0.352489 | -0.0919187 / 0.0919187 | -0.00523499 / 0.00523499 | -0.317812 / 0.317812 | -0.0595003 / 0.0595003 | -0.00455516 / 0.00455516 | -0.00296936 / 0.00296936 | -0.00542278 / 0.00542278 | 0.000137672 / -0.000137672 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 15 | -0.0199077 / 0.0199077 | -0.00124935 / 0.00124935 | -0.000468251 / 0.000468251 | -0.000756808 / 0.000756808 | -0.000375641 / 0.000375641 | -0.0895082 / 0.0895082 | -0.0239141 / 0.0239141 | -0.00111458 / 0.00111458 | -0.0889901 / 0.0889901 | -0.0185937 / 0.0185937 | -0.00616561 / 0.00616561 | 0.000602847 / -0.000602847 | -8.13109e-05 / 8.13109e-05 | 2.98251e-05 / -2.98251e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | btag L EV 16 | -0.0033396 / 0.0033396 | 0.00586127 / -0.00586127 | -0.00110578 / 0.00110578 | 7.2569e-05 / -7.2569e-05 | 1.45295e-05 / -1.45295e-05 | 0.0430491 / -0.0430491 | 0.00423539 / -0.00423539 | -0.000543498 / 0.000543498 | 0.0569613 / -0.0569613 | 0.0237676 / -0.0237676 | 0.00130554 / -0.00130554 | -0.00132726 / 0.00132726 | 0.00146622 / -0.00146622 | -4.98692e-06 / 4.98692e-06 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b-tag extrap. | 0.00240382 / -0.00240382 | 0.00877166 / -0.00877166 | 0.00129564 / -0.00129564 | 0.00275741 / -0.00275741 | 0.00188941 / -0.00188941 | 1.57659e-05 / -1.57659e-05 | 0.025448 / -0.025448 | 0.00352762 / -0.00352762 | 0.000664012 / -0.000664012 | 0.0214477 / -0.0214477 | 0.000558527 / -0.000558527 | 0.00346328 / -0.00346328 | 0.00341524 / -0.00341524 | 0.0108914 / -0.0108914 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b-tag extrap. from charm | 0 / 0 | 0 / 0 | 0.000954416 / -0.000954416 | 0.00116753 / -0.00116753 | 0.000703527 / -0.000703527 | 0.001303 / -0.001303 | 8.03526e-05 / -8.03526e-05 | 6.497e-06 / -6.497e-06 | 0.0518693 / -0.0518693 | 0.011604 / -0.011604 | 0.00108667 / -0.00108667 | 0 / 0 | 0.000813073 / -0.000813073 | -0.000218159 / 0.000218159 | 0 / 0 | 0 / 0 | -nan / -nan |
 | JVT uncertainty | 0.00532544 / -0.00532544 | 0.00386576 / -0.00386576 | 0.00467544 / -0.00467544 | 0.00277355 / -0.00277355 | 0.00257554 / -0.00257554 | 0.00869811 / -0.00869811 | 0.00785197 / -0.00785197 | 0.00938302 / -0.00938302 | 0.00867276 / -0.00867276 | 0.00824879 / -0.00824879 | 0.00888716 / -0.00888716 | 0.00909749 / -0.00909749 | 0.00155009 / -0.00155009 | -0.00820861 / 0.00820861 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron E_{T} res. | 0 / 0 | -7.7188e-06 / 7.7188e-06 | 0.000442463 / -0.000442463 | -0.00074221 / 0.00074221 | -0.00014538 / 0.00014538 | 0.000487098 / -0.000487098 | -0.000297536 / 0.000297536 | -5.92547e-05 / 5.92547e-05 | -0.00138235 / 0.00138235 | -0.00180715 / 0.00180715 | -5.10216e-05 / 5.10216e-05 | -0.000130884 / 0.000130884 | 1.4316e-06 / -1.4316e-06 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Electron E_{T} scale | 0 / 0 | 0 / 0 | -0.000463335 / 0.000463335 | -0.000601649 / 0.000601649 | 0.000684346 / -0.000684346 | 0.000603943 / -0.000603943 | 0.000144848 / -0.000144848 | 7.39098e-05 / -7.39098e-05 | -0.000170609 / 0.000170609 | -0.00086365 / 0.00086365 | 6.79473e-05 / -6.79473e-05 | 0 / 0 | 4.79817e-06 / -4.79817e-06 | 0.000376786 / -0.000376786 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon ID p_{T} res. | 0 / 0 | 0 / 0 | -0.000110166 / 0.000110166 | -0.00077649 / 0.00077649 | 0.000324488 / -0.000324488 | -3.64534e-05 / 3.64534e-05 | -8.32677e-05 / 8.32677e-05 | 5.46149e-06 / -5.46149e-06 | 7.36468e-05 / -7.36468e-05 | 4.11868e-05 / -4.11868e-05 | -5.04628e-07 / 5.04628e-07 | 0 / 0 | 3.69658e-06 / -3.69658e-06 | -6.01416e-06 / 6.01416e-06 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon MS p_{T} res. | 0 / 0 | 0 / 0 | -5.68396e-05 / 5.68396e-05 | -0.000191681 / 0.000191681 | 0.000247637 / -0.000247637 | 0.000215444 / -0.000215444 | 6.19992e-05 / -6.19992e-05 | -0.00130313 / 0.00130313 | -0.000631129 / 0.000631129 | -0.0153583 / 0.0153583 | 1.61847e-05 / -1.61847e-05 | 0 / 0 | -2.86472e-05 / 2.86472e-05 | -6.07377e-06 / 6.07377e-06 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | -0.00043773 / 0.00043773 | -0.00023499 / 0.00023499 | -0.00015489 / 0.00015489 | -0.000319332 / 0.000319332 | -7.96221e-05 / 7.96221e-05 | -1.18529e-06 / 1.18529e-06 | 0.00051586 / -0.00051586 | 2.95882e-05 / -2.95882e-05 | 3.25814e-07 / -3.25814e-07 | 0 / 0 | -9.76771e-08 / 9.76771e-08 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Muon p_{T} scale | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | b JES response | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 1 | 0.129744 / -0.129744 | 0.0234357 / -0.0234357 | -0.00352076 / 0.00352076 | -0.00435337 / 0.00435337 | -0.00564002 / 0.00564002 | 0.0653146 / -0.0653146 | 0.0440861 / -0.0440861 | 0.0506963 / -0.0506963 | 0.0497121 / -0.0497121 | 0.0423283 / -0.0423283 | 0.0129433 / -0.0129433 | 0.0418679 / -0.0418679 | 0.0182365 / -0.0182365 | -0.033525 / 0.033525 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 2 | -2.07534e-05 / 2.07534e-05 | -0.000166073 / 0.000166073 | 0.00155598 / -0.00155598 | 0.000736107 / -0.000736107 | 0.0031114 / -0.0031114 | -0.013721 / 0.013721 | -0.0161713 / 0.0161713 | -0.0061436 / 0.0061436 | -0.0118011 / 0.0118011 | -0.0150201 / 0.0150201 | -0.0031116 / 0.0031116 | 0.00215447 / -0.00215447 | 0.00512874 / -0.00512874 | 0.0258182 / -0.0258182 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 3 | -1.84774e-06 / 1.84774e-06 | 7.46539e-05 / -7.46539e-05 | -0.00113194 / 0.00113194 | 0.00065072 / -0.00065072 | 0.000191975 / -0.000191975 | 0.00166189 / -0.00166189 | 0.00112875 / -0.00112875 | 0.000388957 / -0.000388957 | 0.00134374 / -0.00134374 | 6.73532e-06 / -6.73532e-06 | 0.000279548 / -0.000279548 | 8.30591e-05 / -8.30591e-05 | 0.000258945 / -0.000258945 | 0.000185288 / -0.000185288 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 4 | 8.95581e-07 / -8.95581e-07 | 2.07443e-05 / -2.07443e-05 | 0.00115126 / -0.00115126 | 8.80863e-06 / -8.80863e-06 | -0.000123335 / 0.000123335 | -0.000893702 / 0.000893702 | -0.00143325 / 0.00143325 | 0.000535287 / -0.000535287 | -0.000601969 / 0.000601969 | 0.00014145 / -0.00014145 | 0.000267086 / -0.000267086 | -4.62909e-05 / 4.62909e-05 | 0.000289761 / -0.000289761 | -7.41199e-05 / 7.41199e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 5 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 6 | 7.95571e-06 / -7.95571e-06 | 0.000109611 / -0.000109611 | -0.00205118 / 0.00205118 | -0.000263262 / 0.000263262 | -0.000340131 / 0.000340131 | 0.00234048 / -0.00234048 | 0.0042547 / -0.0042547 | 0.000720181 / -0.000720181 | 0.00213069 / -0.00213069 | 0.00124767 / -0.00124767 | 0.000809999 / -0.000809999 | 0.000362196 / -0.000362196 | 0.000690996 / -0.000690996 | 3.62739e-05 / -3.62739e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 7 | 9.05011e-07 / -9.05011e-07 | -5.45247e-05 / 5.45247e-05 | 0.00169058 / -0.00169058 | 0.000581936 / -0.000581936 | 0.00168539 / -0.00168539 | -0.00479893 / 0.00479893 | -0.00468373 / 0.00468373 | 0.000102013 / -0.000102013 | -0.00493732 / 0.00493732 | -0.00162581 / 0.00162581 | -0.0007942 / 0.0007942 | -5.36442e-06 / 5.36442e-06 | -7.72559e-05 / 7.72559e-05 | 1.60962e-05 / -1.60962e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
 | Effective NP 8 | -3.18885e-06 / 3.18885e-06 | -1.18171e-05 / 1.18171e-05 | -0.0013528 / 0.0013528 | 0.000285146 / -0.000285146 | 0.000228613 / -0.000228613 | 0.000237538 / -0.000237538 | 0.00171433 / -0.00171433 | 0.000592068 / -0.000592068 | 0.000549314 / -0.000549314 | 0.000229031 / -0.000229031 | 0.000335626 / -0.000335626 | 2.9238e-05 / -2.9238e-05 | 0.000436342 / -0.000436342 | -1.98841e-05 / 1.98841e-05 | 0 / 0 | 0 / 0 | -nan / -nan |
